profile	function	candidate_text_bytes	status
Os	DmPhyInit	40	standalone
Os	DmReadPhy	34	standalone
Os	DmSetDefaultPhy	4	standalone
Os	DmSetPhy	58	standalone
Os	dmPhyActDefPhySet		inlined_or_absent
Os	dmPhyActPhyRead		inlined_or_absent
Os	dmPhyActPhyUpdate		inlined_or_absent
Os	dmPhyHciHandler	128	standalone
O1	DmPhyInit	40	standalone
O1	DmReadPhy	30	standalone
O1	DmSetDefaultPhy	8	standalone
O1	DmSetPhy	52	standalone
O1	dmPhyActDefPhySet		inlined_or_absent
O1	dmPhyActPhyRead		inlined_or_absent
O1	dmPhyActPhyUpdate		inlined_or_absent
O1	dmPhyHciHandler	176	standalone
