unit	function	stock_size	best_abs_delta	best_rows
wsf_os	WsfCsEnter	18	2	O2:20(+2),O2_noinline:20(+2),O3:20(+2),O3_noinline:20(+2),Os:20(+2),Os_noinline:20(+2),Os_nosibling:20(+2),Oz:20(+2),Oz_nosibling:20(+2)
wsf_os	WsfCsExit	18	2	O1:20(+2),Og:20(+2),Og_nosibling:20(+2),O2:20(+2),O2_noinline:20(+2),O3:20(+2),O3_noinline:20(+2),Os:20(+2),Os_noinline:20(+2),Os_nosibling:20(+2),Oz:20(+2),Oz_nosibling:20(+2)
wsf_os	WsfTaskLock	8	0	O1:8(+0),Og:8(+0),Og_nosibling:8(+0),Os_nosibling:8(+0),Oz_nosibling:8(+0)
wsf_os	WsfTaskUnlock	8	0	O1:8(+0),Og:8(+0),Og_nosibling:8(+0),Os_nosibling:8(+0),Oz_nosibling:8(+0)
wsf_os	WsfSetOsSpecificEvent	70	6	Os_nosibling:76(+6),Oz_nosibling:76(+6)
wsf_os	WsfSetEvent	64	8	O1:56(-8),Og:56(-8),Og_nosibling:56(-8)
wsf_os	WsfTaskSetReady	30	2	Os_nosibling:32(+2),Oz_nosibling:32(+2)
wsf_os	WsfTaskMsgQueue	4	4	O1:8(+4),Og:8(+4),Og_nosibling:8(+4),O2:8(+4),O2_noinline:8(+4),O3:8(+4),O3_noinline:8(+4),Os:8(+4),Os_noinline:8(+4),Os_nosibling:8(+4),Oz:8(+4),Oz_nosibling:8(+4)
wsf_os	WsfOsSetNextHandler	30	6	O1:24(-6),Og:24(-6),Og_nosibling:24(-6),O2:24(-6),O2_noinline:24(-6),O3:24(-6),O3_noinline:24(-6),Os:24(-6),Os_noinline:24(-6),Os_nosibling:24(-6),Oz:24(-6),Oz_nosibling:24(-6)
wsf_os	wsfOsReadyToSleep	20	0	O1:20(+0),Og:20(+0),Og_nosibling:20(+0),O2:20(+0),O2_noinline:20(+0),O3:20(+0),O3_noinline:20(+0),Os:20(+0),Os_noinline:20(+0),Os_nosibling:20(+0),Oz:20(+0),Oz_nosibling:20(+0)
wsf_os	WsfOsInit	30	6	O2:36(+6),O2_noinline:36(+6),O3:36(+6),O3_noinline:36(+6),Os:36(+6),Os_noinline:36(+6),Os_nosibling:36(+6),Oz:36(+6),Oz_nosibling:36(+6)
wsf_os	wsfOsDispatcher	232	8	Os_noinline:224(-8)
wsf_queue	WsfQueueEnq	38	2	Og:36(-2),Og_nosibling:36(-2),Os:36(-2),Os_noinline:36(-2),Oz:36(-2)
wsf_queue	WsfQueueDeq	36	0	O2:36(+0),O2_noinline:36(+0),O3:36(+0),O3_noinline:36(+0)
wsf_queue	WsfQueuePush	30	2	O1:28(-2),Og:28(-2),Og_nosibling:28(-2),Os:28(-2),Os_noinline:28(-2),Oz:28(-2)
wsf_queue	WsfQueueInsert	60	2	Os:58(-2),Os_noinline:58(-2),Oz:58(-2)
wsf_queue	WsfQueueRemove	46	0	Og:46(+0),Og_nosibling:46(+0),Os_nosibling:46(+0),Oz_nosibling:46(+0)
wsf_queue	WsfQueueCount	32	0	Og:32(+0),Og_nosibling:32(+0)
