shard_id	entry	start	end	exit_status	duration_ns
idle_power_manager	0x3126e0	0x3126e0	0x3128e4	0	28098444723
qf_on_resume_ext	0x31114c	0x31114c	0x311150	0	27541534873
qf_on_resume_internal_hook	0x311150	0x311150	0x311154	0	24953672450
qf_on_resume	0x3110f4	0x3110f4	0x31114c	0	25818859472
qf_on_startup_ext	0x3111a0	0x3111a0	0x3111a4	0	26991902954
qf_on_startup_internal_hook	0x3111a4	0x3111a4	0x3111a8	0	27363845037
qf_on_startup	0x311154	0x311154	0x31119e	0	25341397875
qf_resume_caller	0x30ec92	0x30ec92	0x30ed20	0	26126243703
qf_resume	0x311218	0x311218	0x311230	0	25384797590
qf_run	0x311230	0x311230	0x31125e	0	28461707816
qk_on_idle_ext	0x31161c	0x31161c	0x311620	0	24714206382
qk_on_idle_internal_hook	0x311620	0x311620	0x311634	0	25803825211
qk_on_idle	0x3115e4	0x3115e4	0x31161c	0	26369477629
q_on_assert_ext	0x3117e8	0x3117e8	0x3117f8	0	26225122889
q_on_assert	0x3117d8	0x3117d8	0x3117e8	0	25920625335
wsf_os_assert_path	0x3140d0	0x3140d0	0x314112	0	24814883895
