label	source_path	git_blob	sha256	size	exit_status	duration_ns	function_count	unique_match_count	compiler_anchors_matched	report_sha256
adc	libs/adc/lib_adc.a	2fa36563062f35de071ac2469e7bc2b152637bf6	a56ccf1b754940c81d15520227a82ea25df9332fdae7a3baf1d3742536159777	103882	0	224549277	31	0	True	3bedc8f286471d28fb9fcd54db5dec6138bbbed5b13487c50072b9c6ecb46ce2
aoad	libs/aoad/lib_aoad.a	b31df41c47bdda9ab095d056a3da452b87c7a7bf	e429d2d2ed15699bd5eccef8c6b71153e4bd518d98780e336ab96b227704d682	90178	0	129631365	5	2	True	0009ba3c6903881a1c691e89db116baeff601661389dc31759fbcf29f896e799
dma	libs/dma/lib_dma.a	23a376fd4c524624218935dee3d38688ec542a7a	5e75306ff9f8db04648ae7274201ae2e57242eb8016e96fd3957300e18002fc9	42882	0	177932933	22	0	True	7eeaaa3b4cdbacadf614e0b465b43ea1a9ef4bac2464879246c922a9039c4b03
em_hw_api_di03	libs/em_hw_api/lib_em_hw_api_di03.a	a5464508dffcd0640afc063b2b1de104fb145e0f	01ca9ea4016ea70185a1448c2abd0b9a4628426b15afada0bc8aa83aae418102	293274	0	262492613	51	37	True	1426486d809de50957af9927c2a02cb47f6391f46c876442da50e797701058d0
em_system_di03	libs/em_system/lib_em_system_di03.a	ea9991a66e6df4dd1b4fbcd4051c5739217a76bc	ee2072352dde35173f978de1bd767093b08d7bd5d96873d79eeaa3f5c41f0e61	1499992	0	815826924	95	34	True	64bbe35ebffeca2716b930cb0fdd1599e6f1d0646e1e7d7a8f570b356965c66d
em_system_di04	libs/em_system/lib_em_system_di04.a	e37d4f321d85f5ff6d7bb114a5a795a495168c94	4376c640692341529f004535096c24a8675469e9afb82d65bf4b2ca5e75d2b4e	779866	0	507467227	54	29	True	e9ef6e2790cd2cf8df0f355ffd2819a036c3bcfa177d8c654f0da404b8962fcc
em_system_emcore	libs/em_system/lib_em_system_emcore.a	f0f8354a7eda5458a5138b8756fb46ee3bd2c452	0bed16fb4eb5ac049248faa4fe04410972faeb60518672d308dacdc1c0c13a64	755466	0	492608116	53	28	True	e339224e28dfed5ebeb62d11825a9a172728659c5b1d7dc8553b2343c8f8d9d5
firmware_update_core	libs/firmware_update_core/lib_firmware_update_core.a	d998e2e7f45b3cced1347aedee29b47dc201062c	c9ed23f0724dc96cedd3d8799504640ffac6ebef4c03cbe01790ede57d9369b3	82874	0	175125916	19	0	True	786cdbcc097f3ac8a9d9700dccf478b14bca12e0236d39bca905d69ebae29a04
firmware_update_crypto	libs/firmware_update_crypto/lib_firmware_update_crypto.a	b35e307f3fd2a15c4bf1b336211d78ce3f6598cf	166729788a8b476fa916701a8cdce1cbedfb7ae55ff59af6d4e3deed91a7eed8	40920	0	159854147	15	0	True	db2927de58aab4100f0e5961d40e05bc360d6ac97969cfd4f300976102429656
gpio	libs/gpio/lib_gpio.a	63ae84faec4eed9a2162fc2de0129985eff57822	bbace208c955431a0e48152e29d4508c9b104a67687930f20fe433d14e43cae3	81004	0	156316774	13	0	True	fe17db0705e8ab1a2a97274aa57efc90dce77238b913c58e31b3945512c24a0b
