# Complete terminal static frontier; prior/source-owned rows add zero wave-11 function bytes
entry	call_edges	role	source_owner	provider_identity	license_status	disposition	wave11_additional_function_bytes
0x00439BE4	5	memory-copy-helper	apollo-opacity-wave4	IAR-DLIB-or-compatible-runtime	unavailable	prior-reconciled-zero-opaque	0
0x00439C04	1	memory-copy-helper	apollo-opacity-wave8	MIT-clean-room-runtime	MIT	prior-source-recreated	0
0x0043C0E4	6	memory-zero-helper	apollo-opacity-wave4	IAR-DLIB-proprietary-runtime	unavailable	prior-typed-external-provider-unavailable	0
0x0044A43C	2	strlen-runtime-helper	terminal-boundary	IAR-DLIB-proprietary-runtime	unavailable	typed-external-provider-unavailable	0
0x0046CACC	1	strstr-runtime-helper	terminal-boundary	IAR-DLIB-proprietary-runtime	unavailable	typed-external-provider-unavailable	0
0x00524588	1	ft_div64by32	apollo-opacity-wave8	FreeType-2.9.1-VER-2-9-1	FTL	prior-source-attributed	0
0x005245E0	1	FT_Add64	apollo-opacity-wave8	FreeType-2.9.1-VER-2-9-1	FTL	prior-source-attributed	0
0x00524606	3	FT_MulDiv	apollo-opacity-wave8	FreeType-2.9.1-VER-2-9-1	FTL	prior-source-attributed	0
0x00526E5A	1	FT_Select_Charmap	freetype-base-frontier	FreeType-2.9.1-VER-2-9-1	FTL	source-owned-terminal	0
0x005273F2	1	FT_Get_Module	freetype-base-frontier	FreeType-2.9.1-VER-2-9-1	FTL	source-owned-terminal	0
0x005288E0	10	FT_Stream_Seek	freetype-base-frontier	FreeType-2.9.1-VER-2-9-1	FTL	source-owned-terminal	0
0x00528914	3	FT_Stream_Skip	freetype-base-frontier	FreeType-2.9.1-VER-2-9-1	FTL	source-owned-terminal	0
0x00528992	4	FT_Stream_ExtractFrame	freetype-base-frontier	FreeType-2.9.1-VER-2-9-1	FTL	source-owned-terminal	0
0x005289B0	3	FT_Stream_ReleaseFrame	freetype-base-frontier	FreeType-2.9.1-VER-2-9-1	FTL	source-owned-terminal	0
0x005289D0	4	FT_Stream_EnterFrame	freetype-base-frontier	FreeType-2.9.1-VER-2-9-1	FTL	source-owned-terminal	0
0x00528A66	4	FT_Stream_ExitFrame	freetype-base-frontier	FreeType-2.9.1-VER-2-9-1	FTL	source-owned-terminal	0
0x00528B4A	6	FT_Stream_ReadUShort	freetype-base-frontier	FreeType-2.9.1-VER-2-9-1	FTL	source-owned-terminal	0
0x00528BA8	2	FT_Stream_ReadULong	freetype-base-frontier	FreeType-2.9.1-VER-2-9-1	FTL	source-owned-terminal	0
0x00528C14	1	FT_Stream_ReadFields	freetype-base-frontier	FreeType-2.9.1-VER-2-9-1	FTL	source-owned-terminal	0
0x00529148	3	ft_mem_alloc	apollo-opacity-wave8	FreeType-2.9.1-VER-2-9-1	FTL	prior-source-attributed	0
0x0052919C	7	ft_mem_realloc	freetype-base-frontier	FreeType-2.9.1-VER-2-9-1	FTL	source-owned-terminal	0
0x00529256	8	ft_mem_free	apollo-opacity-wave8	FreeType-2.9.1-VER-2-9-1	FTL	prior-source-attributed	0
0x00529296	1	ft_mem_strdup	freetype-base-frontier	FreeType-2.9.1-VER-2-9-1	FTL	source-owned-terminal	0
