config	common_flags	profile_flags
O0	-std=c11 -mcpu=cortex-m55 -mthumb -mno-unaligned-access -ffreestanding -fno-lto -fno-builtin -ffunction-sections -fdata-sections -fomit-frame-pointer -fno-unwind-tables -fno-asynchronous-unwind-tables -DAM_DEBUG_PRINTF=1 -DWSF_TRACE_ENABLED=1 -DWSF_TOKEN_ENABLED=0 -DWSF_ASSERT_ENABLED=1 -DAM_PRINTF_BUFSIZE=1024 -Wall -Wextra -Werror -Wno-unused-parameter	-O0
O1	-std=c11 -mcpu=cortex-m55 -mthumb -mno-unaligned-access -ffreestanding -fno-lto -fno-builtin -ffunction-sections -fdata-sections -fomit-frame-pointer -fno-unwind-tables -fno-asynchronous-unwind-tables -DAM_DEBUG_PRINTF=1 -DWSF_TRACE_ENABLED=1 -DWSF_TOKEN_ENABLED=0 -DWSF_ASSERT_ENABLED=1 -DAM_PRINTF_BUFSIZE=1024 -Wall -Wextra -Werror -Wno-unused-parameter	-O1
Og	-std=c11 -mcpu=cortex-m55 -mthumb -mno-unaligned-access -ffreestanding -fno-lto -fno-builtin -ffunction-sections -fdata-sections -fomit-frame-pointer -fno-unwind-tables -fno-asynchronous-unwind-tables -DAM_DEBUG_PRINTF=1 -DWSF_TRACE_ENABLED=1 -DWSF_TOKEN_ENABLED=0 -DWSF_ASSERT_ENABLED=1 -DAM_PRINTF_BUFSIZE=1024 -Wall -Wextra -Werror -Wno-unused-parameter	-Og
Og_nosibling	-std=c11 -mcpu=cortex-m55 -mthumb -mno-unaligned-access -ffreestanding -fno-lto -fno-builtin -ffunction-sections -fdata-sections -fomit-frame-pointer -fno-unwind-tables -fno-asynchronous-unwind-tables -DAM_DEBUG_PRINTF=1 -DWSF_TRACE_ENABLED=1 -DWSF_TOKEN_ENABLED=0 -DWSF_ASSERT_ENABLED=1 -DAM_PRINTF_BUFSIZE=1024 -Wall -Wextra -Werror -Wno-unused-parameter	-Og -fno-optimize-sibling-calls
O2	-std=c11 -mcpu=cortex-m55 -mthumb -mno-unaligned-access -ffreestanding -fno-lto -fno-builtin -ffunction-sections -fdata-sections -fomit-frame-pointer -fno-unwind-tables -fno-asynchronous-unwind-tables -DAM_DEBUG_PRINTF=1 -DWSF_TRACE_ENABLED=1 -DWSF_TOKEN_ENABLED=0 -DWSF_ASSERT_ENABLED=1 -DAM_PRINTF_BUFSIZE=1024 -Wall -Wextra -Werror -Wno-unused-parameter	-O2
O2_noinline	-std=c11 -mcpu=cortex-m55 -mthumb -mno-unaligned-access -ffreestanding -fno-lto -fno-builtin -ffunction-sections -fdata-sections -fomit-frame-pointer -fno-unwind-tables -fno-asynchronous-unwind-tables -DAM_DEBUG_PRINTF=1 -DWSF_TRACE_ENABLED=1 -DWSF_TOKEN_ENABLED=0 -DWSF_ASSERT_ENABLED=1 -DAM_PRINTF_BUFSIZE=1024 -Wall -Wextra -Werror -Wno-unused-parameter	-O2 -fno-inline -fno-inline-functions -fno-inline-small-functions
O3	-std=c11 -mcpu=cortex-m55 -mthumb -mno-unaligned-access -ffreestanding -fno-lto -fno-builtin -ffunction-sections -fdata-sections -fomit-frame-pointer -fno-unwind-tables -fno-asynchronous-unwind-tables -DAM_DEBUG_PRINTF=1 -DWSF_TRACE_ENABLED=1 -DWSF_TOKEN_ENABLED=0 -DWSF_ASSERT_ENABLED=1 -DAM_PRINTF_BUFSIZE=1024 -Wall -Wextra -Werror -Wno-unused-parameter	-O3
O3_noinline	-std=c11 -mcpu=cortex-m55 -mthumb -mno-unaligned-access -ffreestanding -fno-lto -fno-builtin -ffunction-sections -fdata-sections -fomit-frame-pointer -fno-unwind-tables -fno-asynchronous-unwind-tables -DAM_DEBUG_PRINTF=1 -DWSF_TRACE_ENABLED=1 -DWSF_TOKEN_ENABLED=0 -DWSF_ASSERT_ENABLED=1 -DAM_PRINTF_BUFSIZE=1024 -Wall -Wextra -Werror -Wno-unused-parameter	-O3 -fno-inline -fno-inline-functions -fno-inline-small-functions
Os	-std=c11 -mcpu=cortex-m55 -mthumb -mno-unaligned-access -ffreestanding -fno-lto -fno-builtin -ffunction-sections -fdata-sections -fomit-frame-pointer -fno-unwind-tables -fno-asynchronous-unwind-tables -DAM_DEBUG_PRINTF=1 -DWSF_TRACE_ENABLED=1 -DWSF_TOKEN_ENABLED=0 -DWSF_ASSERT_ENABLED=1 -DAM_PRINTF_BUFSIZE=1024 -Wall -Wextra -Werror -Wno-unused-parameter	-Os
Os_noinline	-std=c11 -mcpu=cortex-m55 -mthumb -mno-unaligned-access -ffreestanding -fno-lto -fno-builtin -ffunction-sections -fdata-sections -fomit-frame-pointer -fno-unwind-tables -fno-asynchronous-unwind-tables -DAM_DEBUG_PRINTF=1 -DWSF_TRACE_ENABLED=1 -DWSF_TOKEN_ENABLED=0 -DWSF_ASSERT_ENABLED=1 -DAM_PRINTF_BUFSIZE=1024 -Wall -Wextra -Werror -Wno-unused-parameter	-Os -fno-inline -fno-inline-functions -fno-inline-small-functions
