symbol	provider	Os	O1	stubbed
BdaCmp	WSF BDA utility	yes	yes	yes
BdaCpy	WSF BDA utility	yes	yes	yes
DmHostAddrType	DM address utility	yes	yes	yes
DmInitPhyToIdx	DM PHY utility	yes	yes	yes
HciDisconnectCmd	HCI command API	yes	yes	yes
HciGetBdAddr	HCI address API	yes	yes	yes
HciLeReadRemoteFeatCmd	HCI command API	yes	yes	yes
HciLeRemoteConnParamReqNegReply	HCI command API	yes	yes	yes
HciLeRemoteConnParamReqReply	HCI command API	yes	yes	yes
HciLeRequestPeerScaCmd	HCI command API	yes	yes	yes
HciLeSetDataLen	HCI command API	yes	yes	yes
HciReadRemoteVerInfoCmd	HCI command API	yes	yes	yes
HciReadRssiCmd	HCI command API	yes	yes	yes
HciWriteAuthPayloadTimeout	HCI command API	yes	yes	yes
WsfAssert	WSF assert provider	yes	yes	yes
WsfMsgAlloc	WSF message provider	yes	yes	yes
WsfMsgSend	WSF message provider	yes	yes	yes
WsfTaskLock	WSF task lock	yes	yes	yes
WsfTaskUnlock	WSF task lock	yes	yes	yes
WsfTrace	WSF trace provider	yes	yes	yes
dmCb	DM main control block	yes	yes	yes
dmConnActSet	DM connection action table	yes	yes	yes
dmConnSmExecute	DM connection state machine	yes	yes	yes
dmDevPassEvtToConnCte	DM CTE event provider	yes	yes	yes
dmDevPassEvtToDevPriv	DM privacy event provider	yes	yes	yes
dmEmptyHandler	DM empty handler	yes	yes	yes
dmEmptyReset	DM empty reset	yes	yes	yes
dmFcnIfTbl	DM component interface table	yes	yes	yes
memcpy	freestanding C runtime or SDK	yes	yes	yes
memset	freestanding C runtime or SDK	yes	yes	yes
