profile	function	candidate_size	stock_size	absolute_size_delta	raw_match_possible_by_size	normalized_compare
Os	dmConnCmplStates	inlined_or_absent	340		not_applicable	not_run_readiness_probe_only
O1	dmConnCmplStates	inlined_or_absent	340		not_applicable	not_run_readiness_probe_only
Os	dmConnCcbAlloc	108	626	-518	no	not_run_readiness_probe_only
O1	dmConnCcbAlloc	120	626	-506	no	not_run_readiness_probe_only
Os	dmConnCcbDealloc	24	290	-266	no	not_run_readiness_probe_only
O1	dmConnCcbDealloc	24	290	-266	no	not_run_readiness_probe_only
Os	dmConnCcbByHandle	48	330	-282	no	not_run_readiness_probe_only
O1	dmConnCcbByHandle	52	330	-278	no	not_run_readiness_probe_only
Os	dmConnCcbByBdAddr	60	312	-252	no	not_run_readiness_probe_only
O1	dmConnCcbByBdAddr	60	312	-252	no	not_run_readiness_probe_only
Os	dmConnUpdExecute	68	664	-596	no	not_run_readiness_probe_only
O1	dmConnUpdExecute	64	664	-600	no	not_run_readiness_probe_only
Os	DmConnPeerRpa	40	326	-286	no	not_run_readiness_probe_only
O1	DmConnPeerRpa	48	326	-278	no	not_run_readiness_probe_only
Os	DmConnLocalRpa	40	310	-270	no	not_run_readiness_probe_only
O1	DmConnLocalRpa	48	310	-262	no	not_run_readiness_probe_only
Os	DmConnSetIdle	84	454	-370	no	not_run_readiness_probe_only
O1	DmConnSetIdle	100	454	-354	no	not_run_readiness_probe_only
