profile	function	candidate_size	stock_size	absolute_size_delta	raw_match_possible_by_size	normalized_compare
Os	attcDiscVerify	inlined_or_absent			not_applicable	not_run_readiness_probe_only
O1	attcDiscVerify	inlined_or_absent			not_applicable	not_run_readiness_probe_only
Os	attcDiscDescriptors	154			not_applicable	not_run_readiness_probe_only
O1	attcDiscDescriptors	264			not_applicable	not_run_readiness_probe_only
Os	attcDiscProcDescPair	inlined_or_absent	392		not_applicable	not_run_readiness_probe_only
O1	attcDiscProcDescPair	inlined_or_absent	392		not_applicable	not_run_readiness_probe_only
Os	attcDiscProcDesc	inlined_or_absent			not_applicable	not_run_readiness_probe_only
O1	attcDiscProcDesc	inlined_or_absent			not_applicable	not_run_readiness_probe_only
Os	attcDiscProcCharDecl	inlined_or_absent	776		not_applicable	not_run_readiness_probe_only
O1	attcDiscProcCharDecl	inlined_or_absent	776		not_applicable	not_run_readiness_probe_only
Os	attcDiscProcChar	inlined_or_absent			not_applicable	not_run_readiness_probe_only
O1	attcDiscProcChar	inlined_or_absent			not_applicable	not_run_readiness_probe_only
Os	attcDiscConfigNext	62			not_applicable	not_run_readiness_probe_only
O1	attcDiscConfigNext	88			not_applicable	not_run_readiness_probe_only
Os	attcDiscProcIncSvc	inlined_or_absent			not_applicable	not_run_readiness_probe_only
O1	attcDiscProcIncSvc	inlined_or_absent			not_applicable	not_run_readiness_probe_only
Os	AttcDiscService	30			not_applicable	not_run_readiness_probe_only
O1	AttcDiscService	32			not_applicable	not_run_readiness_probe_only
Os	AttcDiscServiceCmpl	76	646	-570	no	not_run_readiness_probe_only
O1	AttcDiscServiceCmpl	80	646	-566	no	not_run_readiness_probe_only
Os	AttcDiscCharStart	36			not_applicable	not_run_readiness_probe_only
O1	AttcDiscCharStart	40			not_applicable	not_run_readiness_probe_only
Os	AttcDiscCharCmpl	516	340	176	no	not_run_readiness_probe_only
O1	AttcDiscCharCmpl	604	340	264	no	not_run_readiness_probe_only
Os	AttcDiscIncSvcStart	36			not_applicable	not_run_readiness_probe_only
O1	AttcDiscIncSvcStart	40			not_applicable	not_run_readiness_probe_only
Os	AttcDiscIncSvcCmpl	224			not_applicable	not_run_readiness_probe_only
O1	AttcDiscIncSvcCmpl	252			not_applicable	not_run_readiness_probe_only
Os	AttcDiscConfigStart	8			not_applicable	not_run_readiness_probe_only
O1	AttcDiscConfigStart	12			not_applicable	not_run_readiness_probe_only
Os	AttcDiscConfigCmpl	10			not_applicable	not_run_readiness_probe_only
O1	AttcDiscConfigCmpl	14			not_applicable	not_run_readiness_probe_only
Os	AttcDiscConfigResume	4			not_applicable	not_run_readiness_probe_only
O1	AttcDiscConfigResume	8			not_applicable	not_run_readiness_probe_only
