symbol	provider	closure_probe
BdaCpy	WSF BDA utility	resolved_by_local_stub
DmFindAdType	DM advertising-data utility	resolved_by_local_stub
WsfMsgAlloc	WSF message allocator	resolved_by_local_stub
WsfMsgSend	WSF message sender	resolved_by_local_stub
WsfTaskLock	WSF task lock	resolved_by_local_stub
WsfTaskUnlock	WSF task lock	resolved_by_local_stub
dmCb	DM main control block	resolved_by_local_stub
dmDevPassHciEvtToConn	DM connection event bridge	resolved_by_local_stub
memcpy	C runtime memory provider	resolved_by_local_stub
memmove	C runtime memory provider	resolved_by_local_stub
memset	C runtime memory provider	resolved_by_local_stub
