id,domain,capability,evidence,readiness,current_sybilsight,next_gate,risk
R1-001,Connection,"Direct BLE discovery and reconnect","First-party R1 service plus EVEN R1/BCL60 names; current CoreBluetooth implementation","Implemented","Scan, persisted UUID reconnect, timeouts and backoff","Validate across ring firmware revisions","Low"
R1-002,Connection,"Distinct GATT channel roles","Firmware event/callback chains map 12/13 to EUS binary runtime and 10/11 to BC/eAT; a 2026-04-12 physical trace carries valid EUS commands on ATT handles 21/23; a read-only 2026-07-31 live inventory proves factory 10/11 and runtime 12/13 coexist on retail 2.2.6.0009 alongside the isolated FE59/MCUmgr update characteristic","Implemented; both lanes and complete live GATT inventory physically observed","Requires channel 2 for runtime writes and notifications; subscribes to channel 1 separately with no cross-channel fallback; bounded CR/LF/NUL and delimiter-free channel-1 framing feed the consent/retention-owned telemetry store; snapshots advertisement metadata, every discovered characteristic/property/notify/value length, negotiated writes and individual read failures","Capture channel-1 eAT replies plus encryption/bond behavior below CoreBluetooth across retail firmware revisions; keep FE59/MCUmgr unreachable from runtime command APIs","Medium"
R1-003,Protocol,"Runtime EUS frame codec, checksums and multipart receive","Firmware establishes fragmentation limits; the physical trace validates single-fragment outer CRC, direction-specific inner CRCs, status bits, serial correlation and ring-selected notification serials","Implemented; single-fragment hardware verified","Outer CRC32C variant, compact-CCITT app TX and full-model-MODBUS ring RX classification, bounded fragmenter/reassembler, 4062-byte safe outbound and 4063-byte inbound limits; atomic writer sequences acknowledgements, no-response capacity, negotiated lengths, timeout and disconnect cancellation","Validate physical multi-fragment timing/checksums across firmware revisions","Medium"
R1-004,Connection,"Application startup role assignment and time sync","pairAuth significant byte01 requests phone-role assignment and queues an asynchronous security event; signed timezone minutes and Unix seconds follow","Implemented with exact-version handler/consumer replay","Retries role assignment and time synchronization with bounded startup watchdog; pure plans distinguish application role result from Peer Manager security scheduling","Physically confirm role response, SMP result, encryption and reconnect/replay behavior across firmware revisions","Medium"
R1-005,Relay,"R1 advertising preflight and G2 relay binding","Firmware2.2.6.0009 advStart consumes right and left six-byte targets before G2 RING_CONNECT_INFO; recovered Android2.2.0 sent only right and is revision-incompatible","Implemented with two-target current-version payload and duplicate-right fallback","Maintains direct and relay readiness as independent lanes; exact replay covers target matching, disconnect and fast/stop-advertising decisions without exposing those low-level effects","Correlate both target addresses, bind state on both lenses and reconnect behavior across current and older ring firmware","High"
R1-006,Power,"Battery and charge state","Physical packets validate the seven-byte unsolicited form; firmware proves requested [percent,state,01,00,00,00,00] and unsolicited [percent,charging?1:2,00,00,00,00,00] producers, with requested state 3 full else 1 charging or 2 not charging","Implemented; unsolicited form hardware verified and both producers firmware-confirmed","Validates percentage and charge enum; preserves producer bytes and complete compact tail; identifies requested versus notification source without inventing an extended value; refreshes and clears stale state","Capture controlled off-dock, charging, full and removal transitions and confirm requested producer bytes on hardware","Low"
R1-007,State,"RSSI and wear state","CoreBluetooth RSSI plus system/wearStatus enum 0/1/2","Implemented","Validates physical dBm range, records per-peripheral signal in transport snapshots, tracks lane provenance and clears stale session values","Determine wear-sensor derivation/debounce and correlate RSSI across placements","Low"
R1-008,Health,"G2 relay vitals snapshot","0x91 RingDataPackage/RingRawData fields for seven metrics plus timestamps","Implemented","Decodes battery, charge, HR, SpO2, HRV, temperature, calories and steps","Capture relay cadence and zero/absence semantics on hardware","Medium"
R1-009,Health,"Apple Health export subset","Relay semantics support HR, SpO2, step deltas and active-calorie deltas","Implemented","Consent-gated HealthKit writes with deduplication and watermarks","Validate physical units and long offline sessions","Medium"
R1-010,Input,"Stock single tap, double tap and vertical swipe","EvenHub event types 0/1/2/3 with source 2 for the ring","Implemented","Routes relay events and direct-notification fallback; cross-lane echoes are deduplicated without collapsing same-lane bursts","Regression-test ownership while native G2 pages are open and measure relay skew","Low"
