stock_name	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r20_source_lines	direct_bl_caller_count	indirect_ingress	classification
dmConnCmplStates	0x004B5B24	0x004B5C78	340	ce503526bb1f88789c398a8f70e65fee70294ca2b02ad46b735d20b27ad6cb54	139-158	1	-	linked_public_definition
dmConnCcbAlloc	0x004B5C78	0x004B5EEA	626	022515e620a28f57768156598fa8e6e46d660b24a8bf7a9a6de771a0b95fb31a	169-196	2	-	linked_public_definition
dmConnCcbDealloc	0x004B5EF0	0x004B6012	290	79a073268ea26e1ac4000aee4dcb755ce68fa4d8f0b834f458e901f23d60cff8	207-212	3	-	linked_public_definition
dmConnCcbByHandle	0x004B601C	0x004B6166	330	f260e15e6cbe9d5dd6c508c440bc7de462961ef7bcd664531c558a013298941f	223-239	6	-	linked_public_definition
dmConnCcbByBdAddr	0x004B6170	0x004B62A8	312	350d89da95c9fe5333c83d0ee257996ff36902157d7bb31dd2406fc1260ae3e1	250-266	2	-	linked_public_definition
dmConnCcbById	0x004B62A8	0x004B62CA	34	3831366a64cd437a15b98c1b252627c44f08c2d966fee0eb85b4ddb9a201e1fd	277-288	9	-	linked_public_definition
dmConnNum	0x004B62CA	0x004B62EA	32	4daa881ecc18516245ed5ca59dc0293955ab2f393be6cfa062a4783930a167c3	297-311	3	-	linked_public_definition
dmConnExecCback	0x004B62EA	0x004B6320	54	2170583c2ecc0a0f4c7296adde734ee009184e86204abe2288a7c0b002774a96	323-334	3	-	linked_public_definition
dmConnOpenAccept	0x004B6324	0x004B63CA	166	52d449574049f13ac1c4b853cec15606c54a85211a8caf9ed3b0d14ee2ffe7d9	353-405	1	-	linked_public_definition
dmConnSmActNone	0x004B63CA	0x004B63CC	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	417-420	0	main action table	linked_public_definition
dmConnSmActClose	0x004B63CC	0x004B63D8	12	719427d25cdf22bfb04fef0848602265bdb1f67730b3ec1b14c5507dddd8a151	432-435	0	main action table	linked_public_definition
dmConnSmActConnOpened	0x004B63D8	0x004B6484	172	5925d613985f6b5ae2f161cc045fd1ec1a7c3a82e0754196ce139934e794c00d	447-501	1	main action table	linked_public_definition
