# G2 Apollo peripheral-register cluster attribution audit; regenerated by tools/analyze_g2_peripheral_register_cluster.py
entry	body_start	body_end_exclusive	envelope_bytes	official_opaque_bytes	census_hint	blocks	registers	callers	family	evidence	confidence	detail
0x0043A1B0	0x0043A1B0	0x0043A59E	1006	1006	references peripheral registers	-	-	0x0055F848:census:investigation-required-no-evidence	investigation-required	no-register-evidence	none	census peripheral-range hint token(s) fail register-map validation (float/bitmask constant collision)
0x0043C0E4	0x0043C0E4	0x0043C0EC	8	8	references SRAM globals; references peripheral registers	-	-	0x0043BB00:census:investigation-required-no-evidence;0x0043CB84:census:first-party;0x0043D45A:census:easylogger;0x0043D574:anchored:elog.c;0x0043DACC:census:easylogger;0x0044264E:anchored:display_thread.c;0x004437E0:anchored:display_thread.c;0x004441EC:anchored:display_thread.c;+552 more	investigation-required	no-register-evidence	none	census peripheral-range hint token(s) fail register-map validation (float/bitmask constant collision)
0x0043C0EC	0x0043C0EC	0x0043C14A	94	94	references SRAM globals; references peripheral registers	-	-	0x0044B5A0:census:investigation-required-no-evidence;0x004D4CCC:census:lvgl	investigation-required	no-register-evidence	none	census peripheral-range hint token(s) fail register-map validation (float/bitmask constant collision)
0x0044B158	0x0044B158	0x0044B4F2	922	922	references SRAM globals; references peripheral registers	AUDADC|CLKGEN|I2S0|I2S1|MCUCTRL|PDM0|STIMER|SYNC_READ|USB	CLKGEN+0x030:CLOCKENSTAT(dat-cell-via-cell|ldr16);CLKGEN+0x044:MISC(dat-cell-via-cell|ldr16);STIMER+0x058:HALSTATES(dat-cell-via-cell|ldr16|ldr32);STIMER+0x05c(dat-cell-via-cell|ldr32);MCUCTRL+0x0c0(dat-cell-via-cell|ldr16|ldr32);MCUCTRL+0x4d8:PLLCTL0(dat-cell-via-cell|ldr16);MCUCTRL+0x4e8:PLLMUXCTL(dat-cell-via-cell|ldr16|ldr32);USB+0x2000:CLKCTRL(dat-cell-via-cell|ldr32);PDM0+0x000:CTRL(dat-cell-via-cell|ldr16);I2S0+0x100:CLKCFG(dat-cell-via-cell|ldr16);I2S1+0x100:CLKCFG(dat-cell-via-cell|ldr32);AUDADC+0x000:CFG(dat-cell-via-cell|ldr16);SYNC_READ+0x000(ldr16)	0x0047FAE8:census:investigation-required-no-evidence	g2-board-support	machine-code-register-access	low	cross-domain register sweep spanning system-control and device blocks; consistent with board clock/power configuration; an Ambiq clock-manager origin is not excludable
0x0047FAE8	0x0047FAE8	0x0047FE12	810	0	references peripheral registers	CLKGEN|MCUCTRL|PWRCTRL|STIMER	CLKGEN+0x044:MISC(dat-cell-via-cell|ldr32);CLKGEN+0x120:CLKCTRL(dat-cell-via-cell|ldr32);STIMER+0x05c(dat-cell-via-cell|ldr32);MCUCTRL+0x00c:CHIPREV(dat-cell-via-cell|ldr32);MCUCTRL+0x044:VREFGEN2(dat-cell-via-cell|ldr32);MCUCTRL+0x04c:VREFGEN4(dat-cell-via-cell|ldr32);MCUCTRL+0x080:LDOREG1(dat-cell-via-cell|ldr32);MCUCTRL+0x088:LDOREG2(dat-cell-via-cell|ldr32);MCUCTRL+0x1b0:D2ASPARE(dat-cell-via-cell|ldr32);MCUCTRL+0x1bc:SHADOWVALID(dat-cell-via-cell|ldr32);MCUCTRL+0x21c:WICCONTROL(dat-cell-via-cell|ldr32);MCUCTRL+0x250:DBGCTRL(dat-cell-via-cell|ldr32);MCUCTRL+0x344:SIMOBUCK2(dat-cell-via-cell|ldr32);MCUCTRL+0x34c:SIMOBUCK4(dat-cell-via-cell|ldr32);MCUCTRL+0x354:SIMOBUCK6(dat-cell-via-cell|ldr32);MCUCTRL+0x358:SIMOBUCK7(dat-cell-via-cell|ldr32);MCUCTRL+0x36c:SIMOBUCK12(dat-cell-via-cell|ldr32);MCUCTRL+0x374:SIMOBUCK14(dat-cell-via-cell|ldr32);MCUCTRL+0x37c:PWRSW0(dat-cell-via-cell|ldr32);MCUCTRL+0x380:PWRSW1(dat-cell-via-cell|ldr32);MCUCTRL+0x448:AUDADCPWRDLY(dat-cell-via-cell|ldr32);PWRCTRL+0x108:VRSTATUS(dat-cell-via-cell|ldr32);PWRCTRL+0x1c8:MRAMEXTCTRL(dat-cell-via-cell|ldr32)	0x004C2AE8:census:investigation-required-no-evidence	ambiqsuite-hal	machine-code-register-access	medium	SIMOBUCK/LDOREG/VREFGEN/PWRSW voltage-sequencer register signature in the am_hal pwrctrl/spotmgr/sysctrl ton-config domain (vendored headers only; implementation .c not in the dependency closure)
0x0048009E	0x0048009E	0x004800DE	64	0	references peripheral registers	MCUCTRL	MCUCTRL+0x00c:CHIPREV(dat-cell-via-cell|ldr16);MCUCTRL+0x1b0:D2ASPARE(dat-cell-via-cell|ldr16);MCUCTRL+0x4d8:PLLCTL0(dat-cell-via-cell|ldr16)	0x0044B158:census:investigation-required-no-evidence;0x00539944:census:investigation-required-no-evidence	ambiqsuite-hal	machine-code-register-access	low	system-control block access in the am_hal clkgen/mcuctrl/syspll domain; no board-specific evidence
0x004801FC	0x004801FC	0x00480240	68	0	references peripheral registers	TIMER	TIMER+0x060:INTEN(dat-cell-via-cell|ldr32);TIMER+0x068:INTCLR(dat-cell-via-cell|ldr32);TIMER+0x3e0:CTRL15(dat-cell-via-cell|ldr32);TIMER+0x3e8:TMR15CMP0(dat-cell-via-cell|ldr32);TIMER+0x3ec:TMR15CMP1(dat-cell-via-cell|ldr32);TIMER+0x3f0:MODE15(dat-cell-via-cell|ldr32)	0x005A1C18:census:first-party;0x005A4D48:census:first-party	g2-board-support	machine-code-register-access	low	fixed-address TIMER15 and global interrupt registers; absolute timer-15 literals are board-specific (a generic am_hal_timer translation unit computes bases from a runtime instance); called by first-party functions
0x004C099C	0x004C099C	0x004C0E1E	1154	1154	references peripheral registers	MSPI0	MSPI0+0x000:CTRL(dat-cell-via-cell|ldr16|ldr32);MSPI0+0x084:DEV0CFG(cell-offset);MSPI0+0x08c:DEV0CFG1(cell-offset)	0x0046FB0C:anchored:drv_mx25u25643g.c;0x00470D7C:anchored:drv_mx25u25643g.c;0x00593200:census:first-party;0x0059C876:anchored:drv_mspi_uled_common.c;0x0059CF1A:anchored:drv_mspi_uled_common.c	ambiqsuite-hal	machine-code-register-access	medium	MSPI register block only; shares the authenticated am_hal_mspi private cells (base 0x40060000, handle magic 0x01BEBEBE) and link-order region with the proven am_hal_mspi_interrupt_clear leaf [0x004C23DE,0x004C240E); callers are anchored drv_mx25u25643g.c / drv_mspi_uled_common.c
0x004C0F78	0x004C0F78	0x004C2098	4384	4384	references peripheral registers	MSPI0	MSPI0+0x000:CTRL(dat-cell-via-cell|ldr16|ldr32);MSPI0+0x030:MSPICFG(cell-offset);MSPI0+0x084:DEV0CFG(cell-offset);MSPI0+0x088:DEV0DDR(cell-offset);MSPI0+0x08c:DEV0CFG1(cell-offset);MSPI0+0x090:DEV0XIP(cell-offset);MSPI0+0x09c:DEV0SCRAMBLING(cell-offset);MSPI0+0x0a0:DEV0XIPMISC(cell-offset);MSPI0+0x0a4:DEV0XIPCPURQ(cell-offset);MSPI0+0x114:DMABCOUNT(cell-offset);MSPI0+0x2b4:CQSETCLEAR(cell-offset)	0x0046F6BA:census:first-party;0x0046F788:anchored:drv_mx25u25643g.c;0x0046FB0C:anchored:drv_mx25u25643g.c;0x00470E90:anchored:drv_mx25u25643g.c;0x00470F68:anchored:drv_mx25u25643g.c;0x0059C980:anchored:drv_mspi_uled_common.c;0x0059CA2C:anchored:drv_mspi_uled_common.c	ambiqsuite-hal	machine-code-register-access	medium	MSPI register block only; shares the authenticated am_hal_mspi private cells (base 0x40060000, handle magic 0x01BEBEBE) and link-order region with the proven am_hal_mspi_interrupt_clear leaf [0x004C23DE,0x004C240E); callers are anchored drv_mx25u25643g.c / drv_mspi_uled_common.c
0x004C240E	0x004C240E	0x004C26D6	712	712	references peripheral registers	MSPI0	MSPI0+0x000:CTRL(dat-cell-via-cell|ldr16);MSPI0+0x100:DMACFG(cell-offset);MSPI0+0x104:DMASTAT(cell-offset);MSPI0+0x204:INTSTAT(cell-offset)	0x0046F4EA:census:first-party	ambiqsuite-hal	machine-code-register-access	medium	MSPI register block only; shares the authenticated am_hal_mspi private cells (base 0x40060000, handle magic 0x01BEBEBE) and link-order region with the proven am_hal_mspi_interrupt_clear leaf [0x004C23DE,0x004C240E); callers are anchored drv_mx25u25643g.c / drv_mspi_uled_common.c
0x004C2AE8	0x004C2AE8	0x004C2B30	72	72	references peripheral registers	-	-	-	investigation-required	call-topology-into-cluster	low	no validated register reference; calls cluster function(s) 0x0047FAE8; census hint token is a constant collision
0x004C3750	0x004C3750	0x004C377A	42	42	references peripheral registers	-	-	0x004C37CA:census:investigation-required-no-evidence	investigation-required	no-register-evidence	none	census peripheral-range hint token(s) fail register-map validation (float/bitmask constant collision)
0x004CA78A	0x004CA78A	0x004CA7B2	40	0	references peripheral registers	-	-	0x004CD6E4:census:littlefs	investigation-required	no-register-evidence	none	census peripheral-range hint token(s) fail register-map validation (float/bitmask constant collision)
0x004D3DDA	0x004D3DDA	0x004D3F3C	354	354	references peripheral registers	INFO1|MCUCTRL|OTP_INFO0|OTP_INFO1|PWRCTRL	MCUCTRL+0x1bc:SHADOWVALID(dat-cell-via-cell|ldr32);PWRCTRL+0x008:DEVPWRSTATUS(dat-cell-via-cell|ldr32);INFO1+0x000(dat-cell-via-cell|ldr16);OTP_INFO0+0x000(dat-cell-via-cell|ldr16);OTP_INFO1+0x000(dat-cell-via-cell|ldr16)	0x004D3F3C:census:investigation-required-no-evidence	ambiqsuite-hal	machine-code-register-access	low	INFO/OTP-INFO trim read with MCUCTRL/PWRCTRL status registers; am_hal infoc/mram-trim domain; caller chain is unanchored
0x0051381A	0x0051381A	0x00513850	54	54	references peripheral registers	OTP_INFOC	OTP_INFOC+0x000(deref-const)	0x004AFCDC:anchored:service_nvdb_sys_dt.c	g2-board-support	decompiled-register-access	low	customer OTP_INFOC read helper; called by an anchored first-party NVDB service
0x00515304	0x00515304	0x005155D6	722	722	references peripheral registers	-	-	0x00522400:census:investigation-required-no-evidence	investigation-required	no-register-evidence	none	census peripheral-range hint token(s) fail register-map validation (float/bitmask constant collision)
0x005202EC	0x005202EC	0x005223A2	8374	8374	references peripheral registers	-	-	0x0053D708:census:lvgl;0x00567230:census:investigation-required-no-evidence	investigation-required	call-topology-into-cluster	low	no validated register reference; calls cluster function(s) 0x0052262E; census hint token is a constant collision
0x0052262E	0x0052262E	0x0052264E	32	32	references peripheral registers	-	-	0x004B10C0:census:first-party;0x004B11B0:census:first-party;0x004B1298:census:lvgl;0x005202EC:census:investigation-required-no-evidence	investigation-required	sram-indirect-register-candidate	low	no validated static register reference; writes a 0x4xxxxxxx-class constant through an SRAM-resolved base pointer (runtime register target unknown)
0x00528DB8	0x00528DB8	0x00528E18	96	96	references peripheral registers	-	-	0x00529006:census:investigation-required-no-evidence;0x00529086:census:investigation-required-no-evidence	investigation-required	no-register-evidence	none	census peripheral-range hint token(s) fail register-map validation (float/bitmask constant collision)
0x0059BAE4	0x0059BAE4	0x0059C166	1666	1666	references peripheral registers	-	-	0x0059138A:census:liblc3	investigation-required	no-register-evidence	none	census peripheral-range hint token(s) fail register-map validation (float/bitmask constant collision)
0x0059C7AC	0x0059C7AC	0x0059C800	84	84	references peripheral registers	-	-	0x005918CC:census:first-party	investigation-required	no-register-evidence	none	census peripheral-range hint token(s) fail register-map validation (float/bitmask constant collision)
0x005FA13C	0x005FA13C	0x005FA216	218	218	references peripheral registers	-	-	0x0047366C:anchored:lv_ambiq_display.c	investigation-required	no-register-evidence	none	census peripheral-range hint token(s) fail register-map validation (float/bitmask constant collision)
0x004408D6	0x004408D6	0x00440968	146	146	references SRAM globals	-	-	-	investigation-required	sram-globals-only-listing	none	no validated SRAM-global address reference; census SRAM hint token is a constant collision (e.g. 0x20000000 bit/region tag)
0x00440968	0x00440968	0x004409FA	146	146	references SRAM globals	-	-	-	investigation-required	sram-globals-only-listing	none	no validated SRAM-global address reference; census SRAM hint token is a constant collision (e.g. 0x20000000 bit/region tag)
0x00440DDA	0x00440DDA	0x00440F36	348	348	references SRAM globals	-	-	-	investigation-required	sram-globals-only-listing	none	no validated SRAM-global address reference; census SRAM hint token is a constant collision (e.g. 0x20000000 bit/region tag)
0x00472C84	0x00472C84	0x00472D40	188	0	references SRAM globals	-	-	-	investigation-required	sram-globals-only-listing	none	no validated SRAM-global address reference; census SRAM hint token is a constant collision (e.g. 0x20000000 bit/region tag)
0x0052DC98	0x0052DC98	0x0052DCDE	70	70	references SRAM globals	-	-	-	investigation-required	sram-globals-only-listing	none	no validated SRAM-global address reference; census SRAM hint token is a constant collision (e.g. 0x20000000 bit/region tag)
0x0052DCDE	0x0052DCDE	0x0052DD1C	62	62	references SRAM globals	-	-	-	investigation-required	sram-globals-only-listing	none	no validated SRAM-global address reference; census SRAM hint token is a constant collision (e.g. 0x20000000 bit/region tag)
0x005392D4	0x005392D4	0x005392F8	36	36	references SRAM globals	-	-	-	investigation-required	sram-globals-only-listing	none	no validated SRAM-global address reference; census SRAM hint token is a constant collision (e.g. 0x20000000 bit/region tag)
0x00539994	0x00539994	0x00539A10	124	124	references SRAM globals	-	-	-	investigation-required	sram-globals-only-listing	none	no validated SRAM-global address reference; census SRAM hint token is a constant collision (e.g. 0x20000000 bit/region tag)
