# SPDX-License-Identifier: MIT
# Names marked candidate/clean-room are not historical symbol claims
entry	proposed_name	boundary	name_status	confidence	instruction_bytes	instruction_sha256	callers	callees	mmio_literals	sram_literals	resident_literals	status_literals	evidence
0x0268	touch_config_read_adapter	open_cfw_clean_room	clean_room_semantic_name	high	60	3d7f1abeee801aecccc624ce1b67bb81f30fd5cee704ef9d4c0efd34cf666080	0x00000738	0x000057AC		0x200008C4,0x200008C8		0x093E0004	bounds logical address+length to 256, gates initialized state, calls Em_EEPROM read and translates status
0x071C	saved_proximity_baseline_read	open_cfw_clean_room	clean_room_semantic_name	high	20	db4ba4dcad45d6ea43ca7973565cb8b0a5057bf4bc095e5c6b3d0802241700eb	0x00000824,0x0000111C			0x200009D0			reads config u16 +4 only after UNVE/config-ready sentinel
0x0738	touch_config_load_from_eeprom	open_cfw_clean_room	clean_room_semantic_name	high	50	b4833d3c2103aa531869af5e60fb07c9472535d1689c7c8019a1df5773af8553	0x00000824	0x00000268,0x00000BE0		0x200009D0	0x0000AA5C,0x0000ABE4,0x0000AC0C		installs UNVE defaults, reads eight bytes through touch_config_read_adapter, logs resulting fields
0x07FC	attention_release_timeout_rearm	open_cfw_clean_room	clean_room_semantic_name	medium	26	e9689a44d2e4adb88b6e5b4638a1f0474a3f1110cfdf4816a95f7a1bed3a1157	0x00000D70	0x00000BE0,0x00006FF0	0x40040400		0x0000AA5C,0x0000AC98		writes GPIO_PRT4 state offsets +0x44/+0x40 around a 200 ms delay and dead logger call
0x0BE8	timeout_default_1000_if_zero	open_cfw_clean_room	clean_room_semantic_name	high	18	e4383b80287ce886045ea4ff0d2bd15ef44c2a9aaf8048c3d6aa2c7c35e4f966	0x00000D70						if non-null u16 state is zero, stores 1000; otherwise leaves it unchanged
0x0BFC	gesture_policy_helper_0bfc	open_cfw_clean_room	typed_boundary_only	medium	324	9859f7a02f401ffe336bb8b77ccdd227af185462091ddffa126e6ebbcef07288	0x00000D70	0x00000BE0,0x000073C0,0x000074D4,0x000076A0			0x0000AA5C,0x0000AE3C,0x0000AE64		called only by touch_gesture_state_machine; arithmetic/division plus resident dead-log pointers; exact policy name unavailable
0x0D70	touch_gesture_state_machine	open_cfw_clean_room	clean_room_semantic_name	high	874	7ad5a22271f77982723b158a901ba6f50d9c8c7c8ea6e142509be0b626fb6863	0x00000824	0x000007FC,0x00000BE0,0x00000BE8,0x00000BFC,0x000076D4,0x0000772C			0x0000AA5C,0x0000AE90,0x0000AE98,0x0000AEA0,0x0000AED4,0x0000AEFC,0x0000AF10,0x0000AF48,0x0000AF74,0x0000AFA4,0x0000AFD4,0x0000AFFC,0x0000B014,0x0000B03C,0x0000B064,0x0000B09C		report-builder callee using sensor state, gesture timing helpers, copy/fill, and resident gesture log pointers
0x111C	proximity_baseline_update_adapter	open_cfw_clean_room	clean_room_semantic_name	high	90	5a2bb79ea819a1be4aed5603f754cb2304ace76727633e535eab05aab07b12a3	0x00000824	0x0000071C,0x00004A36		0x200004EC,0x200009D8			reads sensor context 0x200004EC, saved baseline, CapSense accessor, and update state 0x200009D8
0x1180	Cy_SysLib_DelayCycles	infineon_cat2_pdl	exact_public_provider_symbol	high	18	a8b62136d338c6dc91e6f900f19cb30344601be2bc97b168940ca57281293760	0x00006FF0						instruction-for-instruction CM0+ delay loop: add 2, divide by 4, add/sub loop, two alignment NOPs
0x2CA4	pdl_timeout_count_scale	infineon_cat2_pdl	typed_provider_candidate	medium	22	5b4ab633956e4b7b49d37ae01bc6084b9fd7eb84e63c9293224ffd883b1775fa	0x00003680	0x000073C0					multiply/divide timeout scaling with explicit divisor-zero status; called by MSCLP scan wait
0x3628	msclp_scan_register_prepare	infineon_cat2_pdl	typed_provider_candidate	high	74	f003f478bd6b5d2d908a318db06042021f3407c297463e0ab70437efa15de0e3	0x000036C4	0x00005E78					programs an MSCLP register object and invokes the six-word MSCLP configuration writer
0x3680	msclp_scan_start_wait	infineon_cat2_pdl	typed_provider_candidate	high	58	efc45b679e7db7afcb07360a4238f0f38e38bc79c77bc4a42d7ecf294a7b6eb3	0x000036C4	0x00002CA4,0x000073C0					derives a bounded poll count, starts MSCLP, polls completion bit, and clears status
0x4A04	capsense_widget_active_query	infineon_capsense	typed_provider_candidate	medium	50	e891e275255ea5adb71dfc1f5cff7b17f749f9331bfbab43e8ffa4e39bd84cca	0x00000824						bounds widget index 0..2 and tests generated widget/sensor state fields
0x4A36	capsense_sensor_raw_count_read	infineon_capsense	typed_provider_candidate	high	54	7a3c8b8de900c494da9962bd076682f53545e63cd6234e5ec3c11e43b68cb94c	0x0000111C						bounds widget and sensor index then returns the generated sensor record u16 value
0x4A6C	capsense_widget_data_pointer	infineon_capsense	typed_provider_candidate	medium	38	5481d8910d37b64d4cc0f223089f50fb3a50fa998e95a14425da38ee602fdab0	0x00000824						bounds widget index/state class and returns generated widget-data pointer +0x24
0x4B68	CalcChecksum	infineon_emeeprom	public_provider_symbol_match	high	60	7d97e84c7b28750fd51177cdb4d88e36e5c23e53a0d1e1d8dc1be57f488371b7	0x00004C6C						CRC-8 seed 0xFF, polynomial 0x31, eight MSB-first rounds: exact Em_EEPROM checksum contract
0x4BA4	CheckRanges	infineon_emeeprom	public_provider_symbol_candidate	medium	96	4d7cce66f8a0cdcc41f454fd23cadbb17ba7310de9e474fd99a1c7b14c614cbf	0x00005254					0x093E0003	validates EEPROM configuration/range fields and returns 0x093E0003-class status
0x4C6C	CalculateRowChecksum	infineon_emeeprom	public_provider_symbol_match	high	12	2ba000540258b6a9a9ba82ebb49ca0b88bd3bd0949cdafd72a75a9081450034f	0x00004C7C,0x00005508	0x00004B68					skips the stored checksum byte and invokes CalcChecksum over row size minus four
0x4C78	GetStoredRowChecksum	infineon_emeeprom	public_provider_symbol_match	high	4	a89b85f8bccd76763270edbe8d4a9000e557118189ef0a663b750b93593d16da	0x00004C7C,0x00004E4C						returns first word from an EEPROM row
0x4C7C	CheckRowChecksum	infineon_emeeprom	public_provider_symbol_match	high	32	fc923a97b449cfde8ec692d25b3a16f5d6e15a11db87ad7f54f6b745667c4145	0x00004CA4,0x00004D58,0x00004E4C,0x00005380	0x00004C6C,0x00004C78				0x093E0001	compares stored and calculated row checksums and returns success/bad-checksum status
0x4CA0	GetStoredSeqNum	infineon_emeeprom	public_provider_symbol_match	high	4	a78fc9996461c9de89dede305a4ebaddf18e69f73df2a59a239610bf4bdef4cd	0x00004CA4,0x00004D58,0x00004E4C,0x00005380						returns the second word from an EEPROM row
0x4CA4	DefineLastWrittenRow	infineon_emeeprom	public_provider_symbol_candidate	high	176	aac740b8b0653e35c15ed9a9fe72dfc490889b095910c96990c5d45ed6673498	0x00004D58	0x00004C7C,0x00004CA0				0x093E0004	scans wear-level rows for greatest sequence number with a valid checksum
0x4D58	CheckLastWrittenRowIntegrity	infineon_emeeprom	public_provider_symbol_candidate	high	172	6dbf099a9836e5e4c9657f00059dac5d552088f64dc5d28b31fe5c57a7b6a0e1	0x00005508	0x00004C7C,0x00004CA0,0x00004CA4				0x093E0001,0x093E0004	checks last-row CRC, tries redundant copy, then redefines the last valid row
0x4E0C	GetNextRowPointer	infineon_emeeprom	public_provider_symbol_match	high	30	00fc76e2fad394e1198eef32b50b40daf7bdade26f76e741737ad0a423dca912	0x00005380,0x00005508						advances one row and wraps at wear-level region end
0x4E2A	GetReadRowPointer	infineon_emeeprom	public_provider_symbol_match	high	34	d64fbb674f6948beae83020c28b3e983d4766f4f055f2f87b5ca48d29ba20f8f	0x00004E4C,0x00005380						moves among wear-level blocks with start/end range correction
0x4E4C	CopyHistoricData	infineon_emeeprom	public_provider_symbol_candidate	medium	166	b6577dc61280a67322031caa3c723925d4e1e1c56e59cea9f3c84c7e65c85d48	0x00005508	0x00004C78,0x00004C7C,0x00004CA0,0x00004E2A				0x093E0001,0x093E0002,0x093E0004	row/header geometry and checksum helpers match historic-data copy provider topology
0x5254	em_eeprom_row_read_helper	infineon_emeeprom	typed_provider_candidate	medium	124	5efa45534f738184ed2af12e316d028cb3d458d54b1227884b64b4f66c33c050	0x000052D4,0x00005508	0x00004BA4,0x000074CC,0x0000772C					shared by simple and extended read paths; validates row metadata and copies bounded payload
0x52D4	ReadSimpleMode	infineon_emeeprom	public_provider_symbol_candidate	high	168	1f8f8edf35b0a03a28389767e15e3a1643c00275263c88cf7f303e283af66ed5	0x000057AC	0x00005254,0x000073C0,0x000074CC,0x0000772C		0x20000CD4			selected when context simpleMode is nonzero and performs bounded direct storage read
0x5380	em_eeprom_extended_read_row_helper	infineon_emeeprom	typed_provider_candidate	medium	388	bc17e537a95f85a8537369b7468149e9647e69b7453214c9cb61d188e04836f4	0x00005508	0x00004C7C,0x00004CA0,0x00004E0C,0x00004E2A,0x000073C0,0x000074CC,0x0000772C				0x093E0003	extended-mode row traversal using checksum, wear-level, and bounded copy helpers
0x5508	ReadExtendedMode	infineon_emeeprom	public_provider_symbol_candidate	high	254	60985df86ae3d8c597541ea38c0af5679b35597bd59ec54d793fc321492bdf53	0x000057AC	0x00004C6C,0x00004D58,0x00004E0C,0x00004E4C,0x00005254,0x00005380,0x000073C0,0x000076D4,0x0000772C		0x20000CD4			selected when context simpleMode is zero and searches checksum-protected historic rows
