entry	size	instructions	callees	datarefs	scalars
0x080000c0	4	2	0x0800a598	0x080000c4,0x0800a598,0x0800a599	
0x080000cc	34	14		0x080000f0,0x20000128	0x00000000,0x00000002,0x0000000f,0x00000020
0x080000f4	8	3			
0x080000fc	6	2			
0x08000102	62	28	0x0800c390	0x08000140,0x0800c390,0x20000128	0x00000000,0x00000010,0x00000020
0x08000144	8	4	0x080000b8,0x080084ae	0x080000b8,0x08000158,0x0800015c,0x080084ae,0x080084af	
0x08000156	2	1		0x08000156	
0x08000160	44	22	0x0800016e,0x08000182	0x0800016e,0x08000182	0x00000000,0x00000001,0x00000020
0x0800018c	40	19	0x08000160,0x0800019a,0x080001a2,0x080001ac,0x080001b2	0x08000160,0x0800019a,0x080001a2,0x080001ac,0x080001b2	0x00000000,0x00000001
0x080001b4	36	18	0x080001be,0x080001c4,0x080001ca,0x080001d2	0x080001be,0x080001c4,0x080001ca,0x080001d2	0x00000000,0x00000001,0x00000004,0x0000001e
0x080001d8	14	7	0x080001dc,0x080001e0	0x080001dc,0x080001e0	0x00000000,0x00000001
0x080001e6	4	2	0x080001d8	0x080001d8	0x00000000
0x080001ea	18	8	0x080001d8	0x080001d8	
0x080001fc	20	10	0x08000200	0x08000200	0x00000000,0x00000001,0x00000003,0x00000004,0x00000008
0x08000210	96	45	0x08000224,0x0800025c,0x08000294,0x080002b4	0x08000224,0x0800025c,0x08000294,0x080002b4	0x00000000,0x00000001,0x00000004,0x00000008,0x00000010,0x00000014,0x0000001c,0x00000040
0x08000270	36	17	0x080000c0,0x08000278,0x08000284,0x080002d6,0x08000308,0x0800034c	0x080000c0,0x08000278,0x08000284,0x0800028c,0x08000290,0x080002d6,0x080002d7,0x08000308,0x0800034c,0x0800d93c,0x0800d940,0x0800d944,0x0800d948,0x0800d95c,0x20000000	0x00000001,0x0000000c,0x00000010
0x08000294	32	16	0x080002a4	0x0800028d,0x080002a4,0x0800d94c	0x00000000,0x00000020
0x080002b4	34	17	0x080002c4	0x080002c4	0x00000000,0x00000020
0x080002d6	58	29	0x080002da,0x080002e8,0x080002f2,0x080002fa,0x08000300,0x08000304	0x080002da,0x080002e8,0x080002f2,0x080002fa,0x08000300,0x08000304	0x00000000,0x00000001,0x00000004,0x0000001c
0x08000310	268	110	0x0800032c,0x08000330,0x08000368,0x08000372,0x0800039a,0x080003a4,0x080003d8,0x080003e2,0x080003e8,0x08000400,0x08000402,0x0800040e,0x08000416,0x0800a176,0x0800a19a,0x0800a24a,0x0800a2c4,0x0800a310,0x0800b5d6,0x0800c412,0x0800c43c	0x0800032c,0x08000330,0x08000368,0x08000372,0x0800039a,0x080003a4,0x080003d8,0x080003e2,0x080003e8,0x08000400,0x08000402,0x0800040e,0x08000416,0x0800041c,0x0800a176,0x0800a19a,0x0800a24a,0x0800a2c4,0x0800a310,0x0800b5d6,0x0800c412,0x0800c43c,0x0800d954,0x20000084	0x00000000,0x00000001,0x00000004,0x00000008,0x0000000c,0x00000010,0x00000018,0x00000019,0x0000001c,0x0000001f,0x00000020,0x00000021,0x00000022,0x00000023,0x00000024,0x00000025,0x00000026
0x08000420	154	66	0x0800043c,0x08000478,0x08000480,0x08000486,0x0800049e,0x080004a0,0x080004aa,0x080004ae,0x080004b4,0x0800a164,0x0800a188,0x0800a224,0x0800a2a2,0x0800b5ac,0x0800c3f8,0x0800c42c	0x0800043c,0x08000478,0x08000480,0x08000486,0x0800049e,0x080004a0,0x080004aa,0x080004ae,0x080004b4,0x080004bc,0x0800a164,0x0800a188,0x0800a224,0x0800a2a2,0x0800b5ac,0x0800c3f8,0x0800c42c,0x20000004	0x00000000,0x00000001,0x00000004,0x0000000c,0x00000018,0x00000019,0x0000001c,0x00000029,0x0000002a,0x0000002b,0x0000002c
0x080004c0	168	72	0x080004de,0x080004e2,0x08000524,0x0800052e,0x08000534,0x0800054c,0x0800054e,0x0800055a,0x08000562,0x0800a176,0x0800a19a,0x0800a24a,0x0800a2c4,0x0800a310,0x0800b5d6,0x0800c412,0x0800c43c	0x080004de,0x080004e2,0x08000524,0x0800052e,0x08000534,0x0800054c,0x0800054e,0x0800055a,0x08000562,0x08000568,0x0800a176,0x0800a19a,0x0800a24a,0x0800a2c4,0x0800a310,0x0800b5d6,0x0800c412,0x0800c43c,0x20000084	0x00000000,0x00000001,0x00000004,0x00000008,0x0000000c,0x00000018,0x00000019,0x0000001c,0x00000029,0x0000002a,0x0000002b,0x0000002c
0x0800056c	158	66	0x08000584,0x080005be,0x080005c6,0x080005ca,0x080005ee,0x080005f4,0x080005fc,0x080005fe,0x0800a188,0x0800a224,0x0800a2a2,0x0800c3f8,0x0800c42c	0x08000584,0x080005be,0x080005c6,0x080005ca,0x080005ee,0x080005f4,0x080005fc,0x080005fe,0x0800060c,0x0800a188,0x0800a224,0x0800a2a2,0x0800c3f8,0x0800c42c,0x20000004	0x00000000,0x00000001,0x00000004,0x00000015,0x00000016,0x00000017,0x00000018,0x00000019
0x08000610	174	73	0x0800062c,0x0800066c,0x08000676,0x0800067a,0x080006a0,0x080006a6,0x080006b0,0x080006b2,0x0800a19a,0x0800a24a,0x0800a2c4,0x0800a310,0x0800c412,0x0800c43c	0x0800062c,0x0800066c,0x08000676,0x0800067a,0x080006a0,0x080006a6,0x080006b0,0x080006b2,0x080006c0,0x0800a19a,0x0800a24a,0x0800a2c4,0x0800a310,0x0800c412,0x0800c43c,0x20000084	0x00000000,0x00000001,0x00000004,0x00000008,0x00000015,0x00000016,0x00000017,0x00000018,0x00000019
0x080006c4	10	4	0x08004330	0x080006d0,0x08004330	
0x080006d4	92	43	0x080006f6,0x080006fe,0x08000724,0x0800072c,0x08004eac,0x0800678a	0x080006f6,0x080006fe,0x08000724,0x0800072c,0x08000730,0x08004eac,0x0800678a	0x00000000,0x00000001,0x00000002,0x00000008,0x00000010,0x0000001d,0x0000001e,0x0000001f,0x00000058,0x0000005c
0x08000734	110	52	0x08000774,0x08000786,0x08000796,0x0800079e,0x08004eac,0x0800677a	0x08000774,0x08000786,0x08000796,0x0800079e,0x080007a4,0x08004eac,0x0800677a	0x00000000,0x00000001,0x00000002,0x00000003,0x00000005,0x00000008,0x00000010,0x0000001e,0x0000001f,0x00000058,0x0000005c
0x080007a8	162	76	0x08000160,0x080007ee,0x080007f0,0x080007f6,0x08000804,0x08000816,0x0800082a,0x0800083c,0x08000846,0x08004eac,0x0800677a	0x08000160,0x080007ee,0x080007f0,0x080007f6,0x08000804,0x08000816,0x0800082a,0x0800083c,0x08000846,0x0800084c,0x08000850,0x08000854,0x08000858,0x08004eac,0x0800677a,0x20000124,0x40012708	0x00000000,0x00000001,0x00000002,0x00000007,0x00000008,0x00000010,0x00000016,0x00000019,0x0000001f,0x00000058,0x0000005c
0x0800085c	192	90	0x08000872,0x08000886,0x08000890,0x08000892,0x0800089c,0x080008d4,0x080008d8,0x080008da,0x080008de,0x080008fc,0x0800090a,0x08000928,0x08000e1c,0x08009b94	0x08000872,0x08000886,0x08000890,0x08000892,0x0800089c,0x080008d4,0x080008d8,0x080008da,0x080008de,0x080008fc,0x0800090a,0x0800091c,0x08000920,0x08000924,0x08000928,0x08000e1c,0x08009b94,0x2000010a,0x20000893,0x20000974,0x20000975,0x20000976,0x20000977,0x20000978	0x00000000,0x00000001,0x00000002,0x00000003,0x00000004,0x00000005,0x00000006,0x00000008,0x0000000d,0x0000000e,0x00000017,0x0000001e,0x0000005a,0x0000007f,0x000000a5,0x000000cf,0x000000de
0x08000928	480	218	0x08000956,0x08000976,0x0800098a,0x080009a2,0x080009b8,0x080009c6,0x080009c8,0x080009f4,0x080009fa,0x08000a3e,0x08000a40,0x08000a42,0x08000a78,0x08000a7a,0x08000a7c,0x08000a7e,0x08000a80,0x08000a82,0x08000ab4,0x08000b28,0x08000b2e,0x08000b3c,0x08000b44,0x08000b48,0x08000b4a,0x08000b5c,0x08000b6c,0x08000ba2,0x08000ba4,0x08000bb0,0x08000bb6,0x08000bb8,0x08000bbc,0x08000bc8,0x08000bd4,0x08000be0,0x08000bf0,0x08000bfc,0x08000c0a,0x08000c0c,0x08000c10,0x08000c12,0x08000c16,0x08000c26,0x08000c30,0x08000c3c,0x08000c4c,0x08000c4e,0x08000c50,0x08002c30,0x08002c8e,0x080035d4,0x080039e4,0x0800502c,0x08005094,0x080050a8,0x080050c4,0x08009170,0x08009190,0x0800a888	0x08000944,0x08000954,0x08000956,0x08000976,0x0800098a,0x080009a2,0x080009b8,0x080009c6,0x080009c8,0x080009f4,0x080009fa,0x08000a3e,0x08000a40,0x08000a42,0x08000a78,0x08000a7a,0x08000a7c,0x08000a7e,0x08000a80,0x08000a82,0x08000ab4,0x08000b28,0x08000b2e,0x08000b3c,0x08000b44,0x08000b48,0x08000b4a,0x08000b5c,0x08000b6c,0x08000ba2,0x08000ba4,0x08000bb0,0x08000bb6,0x08000bb8,0x08000bbc,0x08000bc8,0x08000bd4,0x08000be0,0x08000bf0,0x08000bfc,0x08000c0a,0x08000c0c,0x08000c10,0x08000c12,0x08000c16,0x08000c26,0x08000c30,0x08000c3c,0x08000c4c,0x08000c4e,0x08000c50,0x08000c68,0x08000c6c,0x08000c70,0x08000c78,0x08000c7c,0x08000c88,0x08000c94,0x08000cac,0x08000d00,0x08000d04,0x08000d08,0x08000d28,0x08000d40,0x08000d44,0x08000d48,0x08000d4c,0x08000d60,0x08000d74,0x08000d78,0x08000d7c,0x08000d80,0x08000db8,0x08000dd8,0x08000df0,0x08000e0c,0x08000e10,0x08002c30,0x08002c8e,0x080035d4,0x080039e4,0x0800502c,0x08005094,0x080050a8,0x080050c4,0x08009170,0x08009190,0x0800a888,0x200000bd,0x200000be,0x200000bf,0x200000c1,0x200000c2,0x200000c3,0x200000f0,0x20000105,0x2000087f,0x40007000,0x40007018	0x00000000,0x00000001,0x00000002,0x00000003,0x00000004,0x00000008,0x00000010,0x00000011,0x00000014,0x00000018,0x00000020,0x0000002b,0x000000a0,0x000000af,0x000000b0,0x000000d0,0x000000d1,0x000000d2,0x000000d3,0x000000d4,0x000000dd,0x000000df,0x000000ee,0x000000ff,0x08000c70,0x08000c7c,0x08000c88,0x08000c94,0x08000cac,0x08000d08,0x08000d28,0x08000d4c,0x08000d60,0x08000d80,0x08000db8,0x08000dd0,0x08000dd8,0x08000df0,0x08000e10
0x08000e1c	864	394	0x0800018c,0x080001b4,0x08000928,0x08000e40,0x08000e62,0x08000e6c,0x08000e80,0x08000e88,0x08000e96,0x08000e9a,0x08000e9e,0x08000ea8,0x08000eb0,0x08000ebc,0x08000ebe,0x08000efa,0x08000f0e,0x08000f1c,0x08000f20,0x08000f22,0x08000f26,0x08000f28,0x08000f42,0x08000f54,0x08000f56,0x08000f58,0x08000f5a,0x08000f5c,0x08000f5e,0x08000f72,0x08000f9a,0x08000f9e,0x08000faa,0x08000fba,0x08000fbc,0x08000fc8,0x08000fd6,0x08000fda,0x08000fea,0x08000ff6,0x08001006,0x0800100a,0x08001016,0x08001018,0x0800101c,0x0800101e,0x0800102a,0x08001034,0x08001044,0x0800104a,0x0800104e,0x08001052,0x08001064,0x08001068,0x0800106c,0x08001072,0x08001078,0x0800107c,0x08001080,0x080010a0,0x080010ba,0x080010be,0x080010c6,0x080010c8,0x080010d0,0x080010ec,0x080010fa,0x080010fc,0x08001102,0x08001108,0x08001128,0x08001152,0x0800116c,0x080012e4,0x08002f60,0x08002f88,0x0800373c,0x080067c8,0x0800680c,0x080068d0,0x08006b80,0x08006b98,0x08009170,0x08009f18,0x08009ff0,0x0800a01e,0x0800a888,0x0800d154	0x0800018c,0x080001b4,0x08000928,0x08000e40,0x08000e62,0x08000e6c,0x08000e80,0x08000e88,0x08000e96,0x08000e9a,0x08000e9e,0x08000ea8,0x08000eb0,0x08000ebc,0x08000ebe,0x08000efa,0x08000f0e,0x08000f1c,0x08000f20,0x08000f22,0x08000f26,0x08000f28,0x08000f42,0x08000f54,0x08000f56,0x08000f58,0x08000f5a,0x08000f5c,0x08000f5e,0x08000f72,0x08000f9a,0x08000f9e,0x08000faa,0x08000fba,0x08000fbc,0x08000fc8,0x08000fd6,0x08000fda,0x08000fea,0x08000ff6,0x08001006,0x0800100a,0x08001016,0x08001018,0x0800101c,0x0800101e,0x0800102a,0x08001034,0x08001044,0x0800104a,0x0800104e,0x08001052,0x08001064,0x08001068,0x0800106c,0x08001072,0x08001078,0x0800107c,0x08001080,0x080010a0,0x080010ba,0x080010be,0x080010c6,0x080010c8,0x080010d0,0x080010ec,0x080010fa,0x080010fc,0x08001102,0x08001108,0x08001128,0x08001152,0x0800116c,0x08001180,0x08001184,0x08001188,0x0800118c,0x08001190,0x080011b0,0x080011b4,0x080011b8,0x080011bc,0x080011c0,0x080011c4,0x080011c8,0x080011cc,0x080011d0,0x080011d4,0x080011fc,0x08001204,0x0800120c,0x08001224,0x0800123c,0x08001254,0x08001268,0x0800126c,0x08001270,0x08001284,0x08001288,0x0800128c,0x080012a0,0x080012b8,0x080012e0,0x080012e4,0x08002f60,0x08002f88,0x0800373c,0x080067c8,0x0800680c,0x080068d0,0x08006b80,0x08006b98,0x08009170,0x08009f18,0x08009ff0,0x0800a01e,0x0800a888,0x0800d154,0x200000bf,0x200000f0,0x200000f4,0x200000f5,0x200000fc,0x2000087d,0x20000880,0x2000088c,0x2000088d,0x20000891,0x20000895,0x20000896	0x00000000,0x00000001,0x00000002,0x00000003,0x00000004,0x00000005,0x00000006,0x00000007,0x00000008,0x0000000a,0x0000000b,0x0000000c,0x0000000d,0x0000000e,0x0000000f,0x00000010,0x00000011,0x00000012,0x00000014,0x00000015,0x00000018,0x00000019,0x0000001a,0x0000001f,0x00000020,0x00000028,0x0000002c,0x00000039,0x0000003d,0x0000003e,0x0000003f,0x00000041,0x00000050,0x00000051,0x00000056,0x0000005c,0x0000005d,0x0000005e,0x0000005f,0x00000068,0x00000080,0x000000ee,0x000000ff,0x08001190,0x080011b0,0x080011b4,0x080011c0,0x080011c8,0x080011d4,0x080011fc,0x08001204,0x0800120c,0x08001224,0x0800123c,0x08001254,0x08001268,0x08001270,0x08001284,0x0800128c,0x080012a0,0x080012b8
0x080012e4	48	19	0x08001312,0x08006b80,0x08006b98,0x08009170,0x0800ab26	0x08001312,0x08001314,0x08001318,0x0800131c,0x08001330,0x08006b80,0x08006b98,0x08009170,0x0800ab26,0x200000bf,0x200000d0,0x2000087c,0x2000087e	0x00000000,0x00000002,0x00000007,0x00000018,0x0800131c,0x08001330
0x08001334	68	30	0x08001364,0x08009170,0x0800aaf0	0x08001364,0x08001378,0x0800137c,0x080013b0,0x080013b4,0x08009170,0x0800aaf0,0x200000bf,0x200000d4,0x200000d8,0x200000f5,0x200000f6,0x200000f7,0x200000f8,0x200000f9,0x200000fa,0x200000fb,0x20000100	0x00000000,0x00000001,0x00000002,0x00000003,0x00000004,0x00000005,0x00000006,0x00000007,0x0000000c,0x0000001c,0x00000020,0x0000003c,0x0000007d,0x0800137c,0x080013b0
0x080013b8	50	20	0x080013e8,0x08009170,0x0800aa00	0x080013e8,0x080013ec,0x080013f0,0x080013f4,0x08001404,0x08009170,0x0800aa00,0x200000bb,0x200000bf,0x200000e0,0x200000e4,0x200000e8,0x20000893	0x00000000,0x00000003,0x00000007,0x00000017,0x00000028,0x0000002c,0x00000030,0x080013f4,0x08001404
0x08001408	258	113	0x0800142c,0x0800143c,0x0800143e,0x08001442,0x0800144e,0x08001452,0x08001480,0x0800149e,0x080014a0,0x08001504,0x08001e94,0x0800258c,0x08009170,0x08009b70	0x0800142c,0x0800143c,0x0800143e,0x08001442,0x0800144e,0x08001452,0x08001480,0x0800149e,0x080014a0,0x08001504,0x0800150c,0x08001510,0x08001514,0x08001518,0x08001538,0x0800153c,0x08001564,0x08001568,0x0800156c,0x08001570,0x08001e94,0x0800258c,0x08009170,0x08009b70,0x200000bc,0x200000bf,0x2000087d,0x2000087f,0x20000880,0x2000088c,0x2000088d	0x00000000,0x00000001,0x00000002,0x00000003,0x00000004,0x00000005,0x00000006,0x00000007,0x00000008,0x0000000c,0x0000000e,0x00000010,0x00000011,0x00000014,0x00000046,0x08001518,0x08001538,0x0800153c,0x08001564,0x0800156c
