source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r20_r44_lines	r20_r44_body_sha256
1	smprScActStoreLescPin	linked	0x005E3D7C	0x005E3DCE	82	71e107a9fb7811c640741ff5984ae440bddf40d4dc57a0c74138c301c9ca4f3b	49-63	a870f2c0f1a9d99ecea6bb2a2a92bc5c6ec329fadb5ce5efdf2823958c1e0ec2
2	smprScActSendPubKey	linked	0x005E3DCE	0x005E3DE6	24	09a53b838451dd4e52799c65e08fc158417b84d3ecfe378b6e7a23c17330324f	75-82	d59a76f624d1db92b272cbac0ec191cbd937b0d3415a65654df3508bcbe0a536
3	smprScActJwncSetup	linked	0x005E3DE6	0x005E3E36	80	4a39cec243ac0598171d425446a2f1c2dc34093be5ed2ecaf08ad42ecd9ae18b	94-110	8a29a9165df2a2ff5c42d049fdc4252a3646806aa75fb901f3b74246ad28c9fc
4	smprScActJwncSendCnf	linked	0x005E3E36	0x005E3E54	30	f3f815c0aa73f3a1260dfd2c02cc55e96a07361eb8df8eafbc99a4f221f8dc26	122-127	99a9ae6d160e0812bd9b623db002134e7c8a62daee90a4790d79614f3e3e0591
5	smprScActJwncCalcG2	linked	0x005E3E54	0x005E3E74	32	0d227b28919379f17257945c4f92c0e839b1207076539c2046e718484fc9403d	139-148	da40a3d56b590e92d406b81ee15ac39903267130edf7811517799bd43543eddf
6	smprScActJwncDisplay	linked	0x005E3E74	0x005E3E9A	38	df2d12b8b96c252afb28e3c7921a832fd91ad4d1afe3a8c598ada187b072b078	160-170	3b14029221b00300bfd9d7eb6014f3e36a91d9a6329cbd4cb732b03fed594acb
7	smprScActPkStoreCnf	linked	0x005E3E9A	0x005E3EAE	20	2cc0fa938c1a679e8c301e0fcce27b1e5c16f6fea3b860f05c5ef1e8dac41c05	182-188	29523107fccdc6342a287af24f94e5993a7e51061ba761221463e537487d01d5
8	smprScActPkStoreCnfAndCalcCb	linked	0x005E3EAE	0x005E3EC6	24	47b5ae4a37ef980858f36cd67ccf81f92a0c976c9262537aec711ee3a75dfa87	200-204	4ecaae2fb1b5f2990a490dd629156920673afbb56151e1ebaa935d3087cef1a9
9	smprScActPkStorePinAndCalcCb	linked	0x005E3EC6	0x005E3EDE	24	e50e14a6fd20b9e345c3061863a384a3a4a00a29b4a4284cf31933bac79b9ddf	216-220	ce70e76ab11143b8853a7e85471f411317867554b37ec94827ced46845467562
10	smprScActPkCalcCb	linked	0x005E3EDE	0x005E3F2A	76	c409c41e1cc862ec5d61273a22db480d955f760adb52af840ca7b54ef059d432	232-247	05664cef0811f6fe58ca4cc88073e5262b45709acdf85d3614ae84ad4ccb1fc0
11	smprScActPkSendCnf	linked	0x005E3F2A	0x005E3F46	28	5c28de4daef77ee30e906ef0043028870d60ce2daefb0ed87d5dcbb47060b12c	259-265	d49796860d5df5488150e78b98ff070d5ac37d7a28e51fb7e1c18410d0247072
12	smprScActPkCalcCa	linked	0x005E3F46	0x005E3F7E	56	1f0dc0c47565d60b044da012ad835ec87d7e87e5f6ab28ed0361bcbb0a2da14f	277-289	b7c4e7d7d358dc72870c4fe7450433cc8eade72f02f496dfea4567dba33762bf
13	smprScActPkSendRand	linked	0x005E3F7E	0x005E4000	130	01064926e3bca0951e3d4cac32cc3306c04b376b5200135bcc3a9087d4c94a81	301-334	d1b2a74ee4a9f135ee4ab28dd180fa92e96d2201ec4d86677ed45a50f1124b54
14	smprScActOobSetup	linked	0x005E4000	0x005E4008	8	2a43add7a549e97c68c78df9dc7426a70da8ba405877d5eb8ba2db8120786026	346-350	71feafa7a1d16fed49a4d21c5ca00943adc086789186649a419a43d68f2b9639
15	smprScActOobCalcCa	linked	0x005E4008	0x005E4080	120	570bb5cbac87d1233f4db749cc05e45656eb68e06c6841b8ca25fe24481068d9	362-398	ea07dd0754243b5c16aa5b092df299338780a5deed73e1ff268aea099108e1c1
16	smprScActOobSendRand	linked	0x005E4080	0x005E40E6	102	723f7cbe7a54460977d13adbda471a329670d2720eadc5f51a5aad07e551c677	410-435	1c36bfad83ba5d8fae760cf7ab775bf42671540273adde4b815c7e7a82b7953a
17	smprScActStoreDhCheck	linked	0x005E40E6	0x005E4100	26	64b2db17b14deaba0f712792231e92a36457938034bfc88b7df09a5e8dcc99b9	447-456	37cc872946e40d40d9ca0903d3e18dddc4d05a08f942d8e0548ac5c0808457dd
18	smprScActWaitDhCheck	linked	0x005E4100	0x005E411C	28	aa40205c242c302072aa8c80e3a9254dd0e75785e42d48a4cec212962aa93dd2	468-478	066033c238567b4c6fe48840a7de75367d25e12906b0f4fe11753f6ee93610ab
19	smprScActCalcDHKey	linked	0x005E411C	0x005E4146	42	0229b651914bd2b21cc5282a1847b054c8b119fe4cd5481ef90e653c457692db	490-502	575344869f5495aba99bc58d30651f522244f8ab74bdb7d160f0c5156adba214
20	smprScActDHKeyCheckSend	linked	0x005E4146	0x005E4206	192	3d997b2e354533099b5a60cb9d7d9dce3ae4fa7a4a49a3bd410b0630dfffe9a8	514-559	8e1164b334c9c9acf2252b23170edc7e3737b5ffe594c3e5e1dfe693dad3cfde
