source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r20_r44_lines	r20_r44_body_sha256
1	smpiScActAuthSelect	linked	0x005E3474	0x005E347C	8	468cf77ba420330cf4f56267534150d0133fc78db278e9f440548a0e64261b88	49-53	259731afc984bddbef1864b3c8bd7012f2821d1d8f61f7dc4b4bb9aacacccde9
2	smpiScActSendPubKey	linked	0x005E347C	0x005E348A	14	aa5287da644dc6b425ebd1c033f136fd4a38a26cad5fddd12967c4f5de64c9bb	65-72	63dbafce1ca46dfb0d10f4b541fc208b84bde790fa4fd5d22bc8e43eab027b47
3	smpiScActJwncSetup	linked	0x005E348A	0x005E34CA	64	765f81b0b1b2b8afd598a945fc0952b3f51614d66303ba4a061167e3665d287b	84-97	ccb8423c96ec9e421ed86bbeba6f83db0a1eba7015ac21309dba452c9e688a65
4	smpiScActJwncSendRand	linked	0x005E34CA	0x005E3508	62	2edc83d595327521e2d8d9c6dd86568caeddbe5fbc9ba71d2c9479e7bb9cc5cc	109-123	eb238e73af79cb40a3163e93800737118d61bc2cf9eab357643cdfaf6a3bf0d5
5	smpiScActJwncCalcF4	linked	0x005E3508	0x005E352A	34	0b1771bc42a25112ed91c478b0e0a5eeeec6916e7e4039b3cbe938830c73bc61	135-143	53f4c8303f3e778b81db934ee8fe39e650eccae565131ea4931e58b6ad1c424a
6	smpiScActJwncCalcG2	linked	0x005E352A	0x005E3560	54	4b84d8974b40eb0dc89d83260adcc009ec74e534a63b20db7484a38938ac91f4	155-170	e405621dfa9fd069956693015bed8feae76782f40c0b64cee70c238c1fb7650f
7	smpiScActPkCalcCa	linked	0x005E3560	0x005E35E6	134	504a0df4defb7220ad74fbc9fc2f230b3e6d92a97093243d75b8206c21df3bfa	182-207	47bb111445eed50fd164d2847d4e5d94db86da475dca26191a582f2c87210374
8	smpiScActPkCalcCb	linked	0x005E35E6	0x005E3622	60	22e1461e8ab49ffbdbeccc68ece6900eff56ec9ea8f9adb373bd4cbd8f700b14	219-231	5c53588bf7d0dc00a6e9f3314b386f2a5aa77fb6d6d2f905b641f5c94ce970f5
9	smpiScActPkSendCnf	linked	0x005E3622	0x005E363E	28	796d29c1718bf80933593e5948d789223a09eccdf168b0162ff68c6f000106b6	243-249	d061ee20483b8f0eee461cd4f18bcf03a42ec74215f9acd5614166f910a176d4
10	smpiScActPkSendRand	linked	0x005E363E	0x005E366A	44	507d05984d3d4d3f7ccac9f5c4b0fe753e44accab4afe3ab5331a59b98654a8e	261-273	0aab0bee2310f0d0fbd6f0b3a44dcc4df09fff44fa99d8a58af2547ded787f57
11	smpiScActPkCheck	linked	0x005E366A	0x005E36CC	98	72a35feab2ca0d95fc1b3cb5c112c08d86117655c8664718ee63fd3d5d210fa4	285-315	7597acbdff8ed1fe534c39e4d75ec4e5ed44b7512ff1d80171d39df583ecf655
12	smpiScActOobCalcCb	linked	0x005E36CC	0x005E3734	104	d567e57c2ec363c9b0af9f38f6d2860d49d5f7e2ca97787579021bf41669b0d5	327-358	3fbfb00fd981bd378920431111f9410697fb92f00b8480edf3b48381596ae3d2
13	smpiScActOobSendRand	linked	0x005E3734	0x005E3790	92	e9a88cf9f7fe73840e93dc46b5b336cbfe67dd6973eed08e3828b363ab23a442	370-395	4302e62563af472edd71a6dc1ee6eb7799d63d82f7717f0298558c38a1f5cff1
14	smpiScActOobProcRand	linked	0x005E3790	0x005E37B2	34	d96c35769e88e05ee41e67f37a4cfaf87b1205534f21836330cd4860d41e5a6c	407-416	afda3c6b9bfc864630ff34ddac6e77113d16590f9e833c878b50e95d0671d5e1
15	smpiScActDHKeyCheckSend	linked	0x005E37B2	0x005E37E4	50	f43aa6924de42c94484facf5dc22df32934cec539ffbbfd5da2e99ce9aa28a26	428-440	6ecaddfafc931839f25a471aea979f230020be7b0083392b96d66d207dff01d4
16	smpiScActDHKeyCheckVerify	linked	0x005E37E4	0x005E38A2	190	eb00ee44e04243d21820d2e7362ed09437e692c705aa5f8aca0a0c06f5a530df	452-498	e416c146268932042ed1b55595f8322eb52ebefe538d26fd04a98c6fd6b8ed1e
