index	name	identity	entry	end_exclusive	size	sha256	path_anchor	direct_entry_callers	stored_pointer_cells
1	semantic_terminal_reset_output_tracking	semantic	0x005E8178	0x005E818A	18	fa0d181b0a5000fda9d558f324f215c36dd3795a382ddbb86db80501c8bd0495	false	6	0
2	terminal_message_session_matches	exact retained diagnostic symbol	0x005E818A	0x005E8208	126	4346cc808e0d303c1e26abee205b686dddf6bac1f413e890c1ecd328412ccd42	true	3	0
3	terminal_refresh_session_list_if_visible	exact retained diagnostic symbol	0x005E8208	0x005E8276	110	46dd90a7498748e87b7ad1148da7332ea1f46d4bf7590f69d7a89114b910bb02	true	6	0
4	semantic_terminal_state_allows_runtime_event	semantic	0x005E8276	0x005E8294	30	13c619af6c3aa1757a8bc4977c066fcab3cfb7699476aeed511ade9f525ea987	false	2	0
5	semantic_terminal_state_is_processing	semantic	0x005E8294	0x005E82A4	16	3fb042491f2b635b252be454e5f668580ed590228852e6fdefb89821abb78d9b	false	2	0
6	semantic_terminal_session_status_name	semantic	0x005E82A4	0x005E82E6	66	ccb4fd214848e313cec9bccf37b644d5eb49e51974346e2f93c459ab35589cb1	false	10	0
7	semantic_terminal_host_status_name	semantic	0x005E82E6	0x005E830C	38	e4059090482b198a9bac9a924b4b8f397c81dbb90ac04be4deca4931c44a8c0c	false	2	0
8	semantic_terminal_cached_session_status	semantic	0x005E830C	0x005E8346	58	b0a4909e6c5a3510fd6a373c99f786d84c9b6834dcd9f259814ba03b15b6593a	false	1	0
9	terminal_apply_session_id_changed	exact retained diagnostic symbol	0x005E8346	0x005E84A8	354	37708a4237eb86cbc6c7e12932f9b4212a121475eb02f223be1bf99488bd28d3	true	3	0
10	terminal_handle_session_await_user	exact retained diagnostic symbol	0x005E84A8	0x005E873E	662	6e215ebd1b4cc418ae514c56783e2fda1d67723c666ba44c38c217294838fc0c	true	1	0
11	terminal_request_runtime_event_if_allowed	exact retained diagnostic symbol	0x005E873E	0x005E8814	214	d8f8b889a0e60b8d2829d52af41f4e715145ea755ff22462ce7d62886b05f2d7	true	2	0
12	semantic_terminal_runtime_event_callback	semantic	0x005E8814	0x005E8846	50	385d9c062c5b35fbf9bdfc3d58b4cafd2d45c8d3bc3c76058b756ccbbe367b9b	false	0	2
13	terminal_action_mode_sync	exact retained diagnostic symbol	0x005E8846	0x005E8C04	958	95b9f15b7e6cbe141b6ebb0a76f13d962849bcf71e5a1fe1f2d6bfbbf0cf4892	true	0	1
14	terminal_action_host_status	exact retained diagnostic symbol	0x005E8C48	0x005E8E34	492	16af2b672b6cc4c2ac50f3cd94689287a4790ecc880736184ea0184f7e6bb96d	false	0	1
15	terminal_action_asr_result	exact retained diagnostic symbol	0x005E8E6C	0x005E9026	442	22b6d8a50dd2500ca72f088ac3d494176f9f25ffe8426d5dd3604c3df638758e	false	0	1
16	terminal_action_session_status	exact retained diagnostic symbol	0x005E9064	0x005E9312	686	9625f1e8c3ad6e292c98ccc55679857b200f3af22c53f497a2bf83f7dd677a9f	false	0	1
17	terminal_action_agent_content	exact retained diagnostic symbol	0x005E9390	0x005E98DC	1356	d3bb861e09d00f0d9dcc613db9ff84f2db5d08af6813fefd83f313bee439757c	true	0	1
18	terminal_action_query	exact retained diagnostic symbol	0x005E9900	0x005E9AAC	428	26d8bf8439aa95b4f0c5a4dc04eedc24174dad869b8f8938d94efd01e189161f	true	0	1
19	terminal_action_heart_beat	exact retained diagnostic symbol	0x005E9AB8	0x005E9B02	74	d260e5ad5e42368979429e459b16da7aff8d1f882e13b84dbd2e1791867b8664	false	0	1
20	terminal_action_error_msg	exact retained diagnostic symbol	0x005E9B08	0x005E9B78	112	2cc0fac9bca7b6c4719e1db9c6c77dcd72fbc756c746145982326067454a8842	false	0	1
21	terminal_log_session_list_items	exact retained diagnostic symbol	0x005E9B84	0x005E9C54	208	1dd0d6f2d6f13eda1849be537f052d258dbeae0ec14a84883452696a2ed40b48	true	2	0
22	terminal_action_session_list	exact retained diagnostic symbol	0x005E9C78	0x005E9E62	490	97e2e4bdcd49c32ae2d79316bfe915e385e735224f80630c2ac00b2d1b53d99c	true	0	1
23	terminal_action_session_switch_result	exact retained diagnostic symbol	0x005E9E62	0x005E9EC2	96	797e8cce41eb14d49f6908fc616937a60afa6b502456a33fefa0c4d98cf31918	false	0	1
24	terminal_action_new_session_result	exact retained diagnostic symbol	0x005E9EC8	0x005E9F58	144	91f9b5b0c3400da7a2fae83b8f520b61b2f452a83978c4d04b335cf8c077f0bf	false	0	1
25	terminal_action_session_id_changed	exact retained diagnostic symbol	0x005E9F74	0x005EA000	140	f0a83d7457023b1a597791369af1aaa314908c30fc4c8ce4fa6a519875126c64	false	0	1
26	semantic_terminal_event_name	semantic	0x005EA004	0x005EA01A	22	a959be87174810f9e7f5c85dd07b73a35c8cf2d121253bdfa1354fc845fbaa77	false	4	0
27	terminal_machine_handler	exact retained diagnostic symbol	0x005EA028	0x005EA152	298	b111f43470cb554a04625bda4b25c34b89a9134ecdd55db6f6bc1d7a16d0dbfb	false	12	0
