recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	direct_callers	evidence
1	setting_is_duplicate_message	exact retained diagnostic symbol	0x0049B198	0x0049B1F8	96	acb0d327e87b5ac170af4229420767bb171a45bcce528d7687fa03f70eb7ed55	0x0049B328	compares and updates the last received magic value
2	setting_parse_data_package	exact retained diagnostic symbol	0x0049B1F8	0x0049B3D4	476	0656f0818df0acef1229fe5d57694105eb15b4d3a4f3b77bdc7fdabe94b0388c	0x0046690C	decodes a setting package and rejects duplicate magic values
3	setting_respond_to_app	exact retained diagnostic symbol	0x0049B3D4	0x0049B4DA	262	6fc24a4405d9ae30ec044236711885eaff800a855b5e18a0155bc4926a78bc53	0x0049B9B2	encodes command 1 response data into a caller buffer
4	setting_build_full_status_package	exact retained diagnostic symbol	0x0049B4DA	0x0049B7C4	746	e0623b9eb3c566972b1f3eff03e2919c5f49d92f8a086cdc93d568218c282f81	0x0049B7E4,0x0049BE58	builds the 104-byte command 2/tag 4 full device status
5	setting_respond_with_local_data	exact retained diagnostic symbol	0x0049B7C4	0x0049B900	316	216246a71bb7e15163f55159a66a1eb4c62c146494bb60c4a341d5b41b64320c	0x0049BB0A	builds and encodes local full-status response data
6	setting_respond_to_app_serialize	exact retained diagnostic symbol	0x0049B900	0x0049BA58	344	d8dd1429c160d357631c2d985c7375ac1a6fdebc5efca8923f643332139f8c7d	0x004669CC	master-gated response serializer and service-9 transmitter
7	setting_respond_with_local_data_serialize	exact retained diagnostic symbol; manually restored missed Thumb body	0x0049BA58	0x0049BBB0	344	3cfaac8742860d844bbae1ac2c9ff50bab36e4dd958b3f242ca0cbe6caade475	0x00466A66	master-gated local-data serializer and service-9 transmitter
8	setting_notify_common	exact retained diagnostic symbol	0x0049BBFC	0x0049BDEC	496	e2903b40a3499d7a29138ff862330e88f69214211b0a957447f1e102b9b60f12	0x0049BEA0,0x0049BF0E,0x0049BF90	copies a package, assigns notification magic, encodes, and notifies service 9
9	setting_notify_device_status_to_app	exact retained diagnostic symbol	0x0049BE04	0x0049BEA8	164	70fdabf8fd35319b38e6f3d62a05d5d3006ff19cbb0cc9c63c081ff5c3e142b3	0x00467ED6,0x00467EF6,0x0046B446,0x0046BB6A,0x0049E6F0,0x0049E9EC,0x004AE804	builds and emits a current device-status notification
10	setting_notify_recalibration_status_to_app	exact retained diagnostic symbol; manually restored missed Thumb body	0x0049BEAC	0x0049BF16	106	54ec38cf0e8f951d1c68286c4d3a250b72b88775711c44e37aa6639a0d1b62ae	0x00467102,0x00467EF2	encodes command 3/tag 5/subtype 1 recalibration status
11	notify_silent_mode_to_app	exact retained diagnostic symbol	0x0049BF24	0x0049BF98	116	7a3504e735007206881f3885bfadaa83d4d17fd35f4f3fbb6ebbf002af2d95fd	0x00469534,0x00469966,0x00469AC4	encodes command 3/tag 5/subtype 2 silent-mode status
