source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r20_r44_lines	r20_r44_body_sha256
1	dmPrivActResolveAddr	linked	0x004D254C	0x004D25BA	110	58c2f189974ee9293da1f0ab264af4dcdd782952a2b2a6daee76446ad833c139	100-128	d4da7da15877990fd230299165d610d8c5c3664001d43985d27490633bd0b3e2
2	dmPrivAesActResAddrAesCmpl	linked	0x004D25BA	0x004D25F2	56	edb50d8f35f4f656f3e05595ac05c7355233cd3a2446cd12198a6623a2c832b2	139-157	8e21e0ac9341c28fd83286e58c682815e61abace7c572f5ce8fd21c4c4f7795d
3	dmPrivActAddDevToResList	linked	0x004D25F2	0x004D2616	36	55d27fc254b3be5bcf226acec0d1b3205b98259b51eac1e57087c75bb532f123	168-180	773481f6c69e6c90045b4e0e2dbd2c85cd8853a4c5ce3616888fe90d6dc07d16
4	dmPrivActRemDevFromResList	linked	0x004D2616	0x004D262C	22	b911c36e8f1dc6af78eb7d59439044c94a08cba84ae54aec27fc078fc490203e	191-200	25ed476a7ccaa4c716884d690d100b54d5a61ecc6a45c496d6a6b3496c2d49bf
5	dmPrivActClearResList	linked	0x004D262C	0x004D2634	8	314424ed8146bb2ea4ba2cc9b0a103ddfd0f4ca0f3be870ea50549c76fc5e407	211-215	c030d907289159e7015dfd7886038cc15791c47273e3ef113f3ed30a138b2649
6	dmPrivActSetAddrResEnable	linked	0x004D2634	0x004D263E	10	39b50c99d12b898d44bfde60e27306eac16b948d4242ed8e8e303db3428b4680	226-232	67e74316c85dd869c82ccbf958a1b438b4b9b2d45abbc5b8914e39231cd25796
7	dmPrivActSetPrivacyMode	linked	0x004D263E	0x004D264C	14	b243826e87009968c943bf9ec401ce391c7d091ce136f52ecbce6f997b475841	243-249	6fba6a85c79ec71f0c81c5dcd259e3ab2e56df53153d1e15d6dcc9ce0b1360bd
8	dmPrivActGenAddr	linked	0x004D264C	0x004D26AC	96	9d523582ef60bc24f8f2e298b4128d66a5fa096ea5103bee79b67913dd991b43	260-287	fc935e154f55866b6db33f5b419992f206bac90cba1250eb206826e5670b8347
9	dmPrivAesActGenAddrAesCmpl	linked	0x004D26AC	0x004D26E8	60	4a082cbd709d25c36f6fb0849e72afa2dd7937e0fe0c39adea52a2b186c1db30	298-313	5b03de08e0f728bbde4f8caad795139f234b50b37588bee1edea6eaa435c91e5
10	dmPrivHciHandler	linked	0x004D26E8	0x004D27A0	184	f73e84caa9d33689116ff20642a69d1285afca352d184798fd7b29f8a25b43f5	324-389	92e25f21bfe14e7372b48e808368901ea38faa8c99447bafc7b969fc5f1a4203
11	dmPrivSetAddrResEnable	linked	0x004D27A0	0x004D27AE	14	9ba5ab091b59142afe99d1f11572f4d04453f4cdefd51154bcf0c58bf06c3871	400-407	9205e0b0a5e58e4e00997f8d31dbdcefadd4826bb1152027b7ce23a0da475168
12	dmPrivMsgHandler	linked	0x004D27AE	0x004D27C0	18	34aba8e55549136f12db3abd31f7f0cc0461b52f8c521137faf82421ecd23a84	418-422	a25e9bd43dc7b4ff14fdab69aaeb180a1dbc6bab922868dcee9d7b33e0a2e07b
13	dmPrivReset	linked	0x004D27C0	0x004D27CE	14	24bf9e97ee263308ead811e75df8d3c5907c60c3d89da1002f8a0de082b68a87	431-436	87da498ef064a3b315443a59f885f068eb436510cc361bf5c66887ba620a8556
