# SPDX-License-Identifier: MIT
entry	symbol	kind	status	license	source	direct_callees	indirect_calls	backend_injected	eula_source_copied	fixed_address_access	mmio_execution	instruction_bytes	instruction_sha256	canonical_body_sha256	evidence
0x4B44	open_cfw_touch_eeprom_4b44_read_simple	simple_read	mit_clean_room_functional_replacement	MIT	runtime_touch_emeeprom_clean_room.c		1	true	false	false	false	30	20c9accd7d921966473072090de14214d3895534c01bf3582599a042c1945563	23c9c9ce6481ea502261b1811e814916eacff598e69f79268f55f1f74360f9fd	authenticated Em_EEPROM boundary replaced independently by bounds-checked simple/extended storage, CRC-8, row sequencing, fallback, write, and erase over an injected backend; no vendor source or fixed-address flash access
0x4C08	open_cfw_touch_eeprom_4c08_write_range	backend_write_range	mit_clean_room_functional_replacement	MIT	runtime_touch_emeeprom_clean_room.c		3	true	false	false	false	96	4d7cce66f8a0cdcc41f454fd23cadbb17ba7310de9e474fd99a1c7b14c614cbf	c291c9ee8fca7d53fc615038634a349cc5b32fc50590d5a35096c679976064c9	authenticated Em_EEPROM boundary replaced independently by bounds-checked simple/extended storage, CRC-8, row sequencing, fallback, write, and erase over an injected backend; no vendor source or fixed-address flash access
0x4F00	open_cfw_touch_eeprom_4f00_physical_bytes	physical_geometry_size	mit_clean_room_functional_replacement	MIT	runtime_touch_emeeprom_clean_room.c		0	true	false	false	false	30	564c428a19438282db3016f394c15413886c514ff3cef2c0d5f8f6880e5e50e4	78d59c5af1a5d63bacb1c2cd04627dd671b35278f3674bf3445c9b649954aa41	authenticated Em_EEPROM boundary replaced independently by bounds-checked simple/extended storage, CRC-8, row sequencing, fallback, write, and erase over an injected backend; no vendor source or fixed-address flash access
0x4F20	open_cfw_touch_eeprom_4f20_validate	configuration_validation	mit_clean_room_functional_replacement	MIT	runtime_touch_emeeprom_clean_room.c	0x4F00	1	true	false	false	false	104	d415dbf85ae3aebab41a9368c141aab402e7115e1e6203b19d51dee4163ba7e5	edb96e93211d0cd4c3770cb09dc35409a9e3dad468a610ef305dd9d7cc1281a1	authenticated Em_EEPROM boundary replaced independently by bounds-checked simple/extended storage, CRC-8, row sequencing, fallback, write, and erase over an injected backend; no vendor source or fixed-address flash access
0x4F8C	open_cfw_touch_eeprom_4f8c_geometry	row_geometry	mit_clean_room_functional_replacement	MIT	runtime_touch_emeeprom_clean_room.c	0x73C0	1	true	false	false	false	84	e5a456e084b11a726daa13bbe2ad37278b68db5e8ce7c814e8e69787be2f7b40	4fccb9f719a03cb6ed7fe67199ccbca20c4c3b160c4ac8caefc6ea54cc8ce3a3	authenticated Em_EEPROM boundary replaced independently by bounds-checked simple/extended storage, CRC-8, row sequencing, fallback, write, and erase over an injected backend; no vendor source or fixed-address flash access
0x4FE0	open_cfw_touch_eeprom_4fe0_read_extended	extended_read	mit_clean_room_functional_replacement	MIT	runtime_touch_emeeprom_clean_room.c	0x4C78,0x4C7C,0x4CA0,0x4D58,0x4E0C,0x4E2A,0x73C0,0x74CC,0x76D4	2	true	false	false	false	620	10dc591b37adac5c114142464a4ad4324af575b483f655ca6cb66ac0503c7ec7	041a3d505b775d4a2ff66845f6428db91d2e8c70b8d23beb03fd3977119c81a1	authenticated Em_EEPROM boundary replaced independently by bounds-checked simple/extended storage, CRC-8, row sequencing, fallback, write, and erase over an injected backend; no vendor source or fixed-address flash access
0x560C	open_cfw_touch_eeprom_560c_write_row	row_write	mit_clean_room_functional_replacement	MIT	runtime_touch_emeeprom_clean_room.c	0x4C08,0x74CC,0x772C	1	true	false	false	false	124	6d39489b305efe864fc96ee452457917207990fd74c4f86aaa874204fde1ed12	c2340489f17c679340a4f4834986d9a84b994733addd59c527d1bbf193c8747b	authenticated Em_EEPROM boundary replaced independently by bounds-checked simple/extended storage, CRC-8, row sequencing, fallback, write, and erase over an injected backend; no vendor source or fixed-address flash access
0x568C	open_cfw_touch_eeprom_568c_initialize	context_initialize	mit_clean_room_functional_replacement	MIT	runtime_touch_emeeprom_clean_room.c	0x4CA4,0x4F20,0x4F8C,0x73C0,0x76D4	1	true	false	false	false	168	6f8973b6e856d54bda4d0d5b5bec1aed8368285eb4fef5f3db0ff5731e386f51	2bf1e762b9ee0c8df6e77823e00e58b105ce2fb76c4b14c0acfbc7325618f78e	authenticated Em_EEPROM boundary replaced independently by bounds-checked simple/extended storage, CRC-8, row sequencing, fallback, write, and erase over an injected backend; no vendor source or fixed-address flash access
0x5738	open_cfw_touch_eeprom_5738_initialize_adapter	initialize_adapter	mit_clean_room_functional_replacement	MIT	runtime_touch_emeeprom_clean_room.c	0x156C,0x568C	0	true	false	false	false	60	504daff111be81fea96f9b6b092fd3bfc6119d00f1e4d86b5057b141ae870caf	756e967a0366b30eaa30c193b7413b53461784c59b17d5dd957cb9383baf94b4	authenticated Em_EEPROM boundary replaced independently by bounds-checked simple/extended storage, CRC-8, row sequencing, fallback, write, and erase over an injected backend; no vendor source or fixed-address flash access
0x5778	open_cfw_touch_eeprom_5778_read_adapter	read_adapter	mit_clean_room_functional_replacement	MIT	runtime_touch_emeeprom_clean_room.c	0x4B44,0x4FE0	0	true	false	false	false	48	9a0a43f33cea65ee6728b819eba0b05f4add27dff5099727d50e87eaf7ea3f64	5838a1ddc9b980a27f9910572e3a4970da4e5c1875497e576832e5ed2de80942	authenticated Em_EEPROM boundary replaced independently by bounds-checked simple/extended storage, CRC-8, row sequencing, fallback, write, and erase over an injected backend; no vendor source or fixed-address flash access
0x57E0	open_cfw_touch_eeprom_57e0_erase_adapter	erase_adapter	mit_clean_room_functional_replacement	MIT	runtime_touch_emeeprom_clean_room.c	0x4C6C,0x4D58,0x4E0C,0x5254,0x560C,0x73C0,0x76D4	0	true	false	false	false	272	c6ea5b3d14b8da0f22e832ffdac65d08c2049cdde62d014bf70b07214e5c6c7f	8a379bfc4b6cd457219895f3b4ef6d0abc354b17ebbb04df60b5006e88cfc786	authenticated Em_EEPROM boundary replaced independently by bounds-checked simple/extended storage, CRC-8, row sequencing, fallback, write, and erase over an injected backend; no vendor source or fixed-address flash access
