source_order	function	r20_lines	r20_body_sha256	stock_status	stock_address
1	eattBackoffPeriod	90-105	de71d011a3a115a3aa96af4d3f5fc3cf3b8b141be969e95817bfa3c0dc2badaa	dead_stripped	-
2	eattGetConnCb	116-121	cdcb3586409d2cc346398e4a148c6410678278a2fa49f5c70783e291a289798a	dead_stripped	-
3	eattGetChanCbBySlot	133-139	a3e3ef172a97a2edab3f820e6461cdc6c28a9e3ab228faf2b4a1d7ed22620dbf	dead_stripped	-
4	eattGetChanCbByCid	151-168	91049db4306e0106241eecf3ff52c23fd73ecb95a26168b6c234bd89cd73fbaa	dead_stripped	-
5	eattGetSlotId	180-202	041ce7498503eaf698a9643cbf5f150b3a70307bbc65bf4b344bb2531875124b	dead_stripped	-
6	eattGetUnusedSlot	213-230	d531aeba722a4d8c0846efca29218476f72a198bdbe209844067f9f6a3e4d8e9	dead_stripped	-
7	eattUpdateMtu	242-254	a7361b18df089a13bf21e74e30a3f64160178ba437e79368218e406b605c4c8a	dead_stripped	-
8	eattL2cCocAcceptCback	266-279	0b6b01da54449cd1f3fc8e5c2665b798704f97d68b798d64f1688e1491f0731d	dead_stripped	-
9	eattReconfigureNextChannels	290-334	0b99fe28d071679b2485550a5d7e08ef93daea08f4f20ffa88232f4702fa0136	dead_stripped	-
10	eattReqNextChannels	345-373	61ce930c85243aaf5ffabd7ebe10c7626456ca8399fd0fffee7642c5441488dd	dead_stripped	-
11	eattL2cEnChanInd	384-462	f6a2586b1c996007e8753014848ee4f7690b4ba2553465100a5a70dc86df0215	dead_stripped	-
12	eattL2cEnReconfigInd	473-511	ca5615f54b533947fdba4cdc0087fab3e35671fb085aa20c37ce5852a9188c3a	dead_stripped	-
13	eattL2cDataInd	522-539	365cd3748e600033208e22894a267a54f326419a489916f86047e399422db32c	dead_stripped	-
14	eattL2cDataCnf	550-586	8dfb1c05f1e556bd8bd9dce2547ad8e0b3a179261fe783aad7bb011983bfc2d6	dead_stripped	-
15	eattL2cDisconnectInd	597-605	d7c0cdcbecbc40aab54409f67e809a4c4afdf104f8643199c1d268262ad7f554	dead_stripped	-
16	eattL2cCocCback	616-643	6d35fabe324d6e9b990e72d61c4b5d28e90c45dcc72f2e037184b827f104f22b	dead_stripped	-
17	eattOnConnOpen	654-667	a28fea74ccc1d01e4a0d4a92ce8bf2a469dc3b1d7b720b29eaf7fe71aa2a5c9e	dead_stripped	-
18	EattEstablishChannels	678-706	a6c002ff1ee357727ef5d516d46130aff9c587fad291823dedaaa78deaec7da4	dead_stripped	-
19	EattGetNumChannelsInUse	717-735	a2eeac59eea8ce1fd3890b1cf17fee51718d39c9d7947a0b5d8f62eb7dac2005	dead_stripped	-
20	eattDmCback	746-777	2f1c40e79785575e9fccf25f7e36577ab9794ca6263e0a51a33050701ea6af8e	dead_stripped	-
21	eattGetCid	789-800	3558c9a8619973343421e9a3a6307eba6b8fedb896391ae74f36d69e348b79be	dead_stripped	-
22	eattExecCallback	813-826	4505a74d541f59bebd8a61e52623d94f0a059adf14d9f062cbd34b27f0617f22	dead_stripped	-
23	eattHandler	837-850	eeab6e95fac3de1c0d67f89f4021234fd55d3479ac57d466907846bf5a75d419	dead_stripped	-
24	EattReconfigureChannels	863-874	b46f1fd3213b12445552484b65a3d338efcd0646cb5ee4631b0930e3d99ea578	dead_stripped	-
25	eattL2cDataReq	889-896	66de6120d67047b50807f7647e072819c7fb455e569e6611789a9a1533cd5218	dead_stripped	-
26	EattInit	905-938	c953e94139272bd565e05c59b6684fd861e4440bc95265a4223a02047645d357	dead_stripped	-
