source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r4_lines	r4_body_sha256	ingress
1	hciCmdAlloc	linked	0x0052AE38	0x0052AE5E	38	f7bc389309640b09388c33292b0612425f4845c812752c8751b8d4c0f34f672d	80-94	3923be6caa07b2fb08112565c01dbf2a059ffc69489c06a291eb3f1b02d59329	direct_bl_scan
2	hciCmdSend	linked	0x0052AE5E	0x0052AEC6	104	dfd27258242a102f92edd8776d54202318ac20389694033a4c220de8c1cadd47	107-154	0b2466a3ad05b2c99b6c0769a7904c1c361ea16ce34dd9c03e9df837cde8792c	direct_bl_scan
3	hciCmdInit	linked	0x0052AEC6	0x0052AEE6	32	6442f0223eb1922b525b744adfd09e0471c5d936930f1c154f9e5ad0f806cc75	165-175	0ae810cfe160e0ab72cf64a8fe108ffaac53cca8b9f8d9dbcbdb20f7a35820e1	direct_bl_scan
4	hciCmdTimeout	linked	0x0052AEE6	0x0052AEF8	18	d1735eca6c0838f2c7d00bb8839fa5142aa1258a5a627e0ca689a55e65e72f32	186-198	7ea69f17a93c29e39fc461aaeb25f8da01d1f8c9192ab4d4f21493945415a450	direct_bl_scan
5	hciCmdRecvCmpl	linked	0x0052AEF8	0x0052AF10	24	a00e10594b5032c6013380af3530b2c856cca2d9c306376558d986b023f005b5	211-225	29203e86a96c3c8da33bc41492277bde5f3331ad593d1a2902ea51681d8f069f	direct_bl_scan
6	HciDisconnectCmd	linked	0x0052AF10	0x0052AF40	48	98bd0f79f9d9ccd3a5e1a7445ca58d712b3208169675d12acfe343acdb8ef568	234-246	f8e9718ffc6ab795346b42952f5937854a000bdefa19c51c88c8ef27e499591b	direct_bl_scan
7	HciLeAddDevWhiteListCmd	source_only			0		255-267	651873d953b9694a3ebd107d9be9239f49a4b86a1345fc36c571d12730afe0b2	no body caller or pointer
8	HciLeClearWhiteListCmd	source_only			0		278-286	f5644441138fbb968b83905fc7b1a11e3ce95ecb2ce01e39aabb68fe9c33c035	no body caller or pointer
9	HciLeConnUpdateCmd	linked	0x0052AF40	0x0052AFCC	140	be5cc08809793af268edad35713ab7ef5bab4170579d7466e13f4522fc0660f6	297-314	622907a5e7f2d4715a638f41478a65cd0ec1728b0a888dc117e1b9066e3b6060	direct_bl_scan
10	HciLeCreateConnCmd	linked	0x0052AFCC	0x0052B0A4	216	862b6355d92a5a1f38fe2a2138e929c710c07a6ec5db64fa539d656cf4b14464	325-349	87ff8b91469b7992011d7c1e5f4a0c764432e961e24beabe4554ed431fd87a75	direct_bl_scan
11	HciLeCreateConnCancelCmd	linked	0x0052B0A4	0x0052B0BE	26	4ea60e7d6b950894e76c597c0893996fa8ef68bae72b0cde056c811f9d2defac	360-368	28412250e575d9a369f5ffc4429b0cc97d4681bbea4488c1940308621e5bf295	direct_bl_scan
12	HciLeRemoteConnParamReqReply	linked	0x0052B0BE	0x0052B146	136	3e6e41774d4141c0520c903d2b98a9ae27fc5f4d032ed1657738425257b68fc9	379-397	616ac29c1e97d3d6a8432f9bc1e99c59c85e7b09288729ec35062fb8a50ab7a7	direct_bl_scan
13	HciLeRemoteConnParamReqNegReply	linked	0x0052B146	0x0052B176	48	167188dbc17e9aef140745455a32a40957ec2677a63753c03d42ef19772f817a	408-420	01606cd4eb6f00ffbb05914a4a4771ba9deec132aaccd780e995a1f9086f3287	direct_bl_scan
14	HciLeSetDataLen	linked	0x0052B176	0x0052B1BC	70	99396ebc93706d0d604f7d155c290083c55d6987980acf9cc19fe7d678058b85	431-444	06fabf8ace3d9995fff83d05a69297088ed05d6e224dc72b52d8e151c6b91c24	direct_bl_scan
15	HciLeReadDefDataLen	source_only			0		455-463	b2bf67328966cd160b481afaa1382617d69f34308b69fd03879b24c35ed2bf04	no body caller or pointer
16	HciLeWriteDefDataLen	linked	0x0052B1BC	0x0052B1F4	56	eb295daa8253b0618c64d4b40b29649190ef6875a9b3a9c0117bc74cbf3f6e35	474-486	beba8d415ec3e34c6390df4a010c641b8263904a1e4700e19b87152ea779d283	direct_bl_scan
17	HciLeReadLocalP256PubKey	linked	0x0052B1F4	0x0052B20E	26	52215aa236b94f0ae9ab06821b2bd55194b721785e4653d9c6c89951198df0da	497-505	5ee5e5e969a24246dee8cf76e7441db3b423b2fab3c7d10d2a8cd806937795d1	direct_bl_scan
18	HciLeGenerateDHKey	linked	0x0052B20E	0x0052B24C	62	d2fbb4e015d7cd86fea73b622b1ad94fb411538d98e2bc0a03292934c08cdb86	516-528	37712d25ea44e29bb46156684d2f75c260d9250f87766503e12161951ab4ab51	direct_bl_scan
19	HciLeReadMaxDataLen	linked	0x0052B24C	0x0052B266	26	9721dca3e9a47e6d59d5523bd6916008aa0068c3c00768c2da1da032fbc857dc	539-547	049dad1f4f47646caa7eba88d122c0c55ee02c7f941d2b3a051a0569276cae3f	direct_bl_scan
20	HciLeEncryptCmd	linked	0x0052B266	0x0052B2A4	62	781553d0d7c2121036d163dd2d210c41ae350fcdc70c9b679b1088838570e369	558-571	8430b96028dd9e0f3978e3f53dc882ecc695d7c7cf1c37e9b0079b4e57134fb1	direct_bl_scan
21	HciLeLtkReqNegReplCmd	linked	0x0052B2A4	0x0052B2CE	42	e67f66be205641bf68f4f6ec4b2041f8f85456298cfa7e26e045a3493640b3cb	582-593	9e63996f664a9890e538ab4fed71f49fdfe567141395b214c03ba7c96b41d96a	direct_bl_scan
22	HciLeLtkReqReplCmd	linked	0x0052B2CE	0x0052B304	54	437472191b978f154caffca5ba1ef11e48d3d6da448a301911659d250242bfa9	604-616	48b01848c68c160c92bede247a0f38962d212987317226d612d5a7187f7a8050	direct_bl_scan
23	HciLeRandCmd	linked	0x0052B304	0x0052B31E	26	55881133239559bad46cb2a2e5758d5992e9b2952d434c09633b1e97f10b59dd	627-635	5542a75505f23fd4b3b98c6a004afe4fe936fa83a912dcf31381b93ff577fb5c	direct_bl_scan
24	HciLeReadAdvTXPowerCmd	source_only			0		646-654	b78276ec96be1242526e0a4f5049b51300057b5538a574fba8fc04d3ad8fae66	no body caller or pointer
25	HciLeReadBufSizeCmd	linked	0x0052B31E	0x0052B338	26	5bf931965d301da3471062ade31f0c39501aca558dcadb7b58db05906e7512cd	665-673	16a26ade43165edd8d609fb77919740e5bcda33cba7d584e7a6300e3aaa0732f	direct_bl_scan
26	HciLeReadChanMapCmd	source_only			0		684-695	88430bd08f5d7beecbbe55ee9c0193bb17d520124a996587cd424900d05249f2	no body caller or pointer
27	HciLeReadLocalSupFeatCmd	linked	0x0052B338	0x0052B352	26	226b51115d301ce1dd0543fd65615ff6ad3284d268966f49faac091087cce1c7	706-714	5aeba0e1bb3eae08b2bef102d944cbb9f52f7c34ee364480df5481937af16e7c	direct_bl_scan
28	HciLeReadRemoteFeatCmd	linked	0x0052B352	0x0052B37C	42	300e15320722abffdd4ac5eb879567c8754a29c75e4506fcf0bee21b1d163524	725-736	0d536b453ab4cb0b7d237e06a13cfb006b1153f918397e22a54f9c23c6598724	direct_bl_scan
29	HciLeReadSupStatesCmd	linked	0x0052B37C	0x0052B396	26	f5157588cb8c13e2cce9404ff5ed7d6a6027954ae4ce6469f4050ad0ffce6dbd	747-755	5d7278aff12828416466eca49d01b3e07c1a17615a6d031ed220140b2bd929e8	direct_bl_scan
30	HciLeReadWhiteListSizeCmd	linked	0x0052B396	0x0052B3B0	26	f3cbb21a6e07b2b6166368bdc8e6bd122d95e3f638154852e67c38c7b513b2b2	766-774	c2a5f314aee5b24e98e3f851094c05c46838b3ee53ccda0ea443ec96b6997bb0	direct_bl_scan
31	HciLeRemoveDevWhiteListCmd	source_only			0		785-797	4033053e55c467d1a409c51e1e37cdaf3bb1603ac2f173dcc3b5518464d3fb63	no body caller or pointer
32	HciLeSetAdvEnableCmd	linked	0x0052B3B0	0x0052B3D2	34	dceea17b563988d5e0ed63af8a905d883b27766b7167f00c1509497023fbedd8	808-819	43701f8738a55611d53fee65fdcdc715d32e265c90b1b91b61fb21b22c88d871	direct_bl_scan
33	HciLeSetAdvDataCmd	linked	0x0052B3D2	0x0052B420	78	4edc4d48e3f963e6a83f79e608dfc9ad0ef680141b357aeb545269f11b179954	830-844	4e81049800c7ef8bfbb514059642bcd79243ca21174c62db4c6070b89ebf91ff	direct_bl_scan
34	HciLeSetAdvParamCmd	linked	0x0052B420	0x0052B492	114	542d45695351fb6c9bf6cce56c2b5abc7b3e3bfacaafc5f277eae157c75034ab	855-882	e8bd342ec0c80997ef6cd198f50425984efa81c62bfa04b5c4d4523bdbd9f53b	direct_bl_scan
35	HciLeSetEventMaskCmd	linked	0x0052B492	0x0052B4BA	40	0ab972fd963cacfe1edef2829c0eabe010435f78ae04665c4d4032541a502d2f	893-904	e2e5707d98400ae8c5ed7f2d5c168f09ca0c1aeee3690f5367163c16f1c20c7b	direct_bl_scan
36	HciLeSetHostChanClassCmd	source_only			0		915-926	17bd5e377698e116c7686701238957f5df5cd847f2f29c920ad9a0a4a9744d3c	no body caller or pointer
