# SPDX-License-Identifier: MIT
# Authenticated shipped-prefix reachable function map; resident flash excluded
entry	name	classification	instructions	instruction_bytes	instruction_sha256	discovery_sources	direct_callees	tail_entries	spans	evidence
0x0268	touch_sub_0268	unresolved_shipped_prefix	29	60	3d7f1abeee801aecccc624ce1b67bb81f30fd5cee704ef9d4c0efd34cf666080	bl@0x0744	0x57AC		0x0268-0x02A4	reachable direct BL target from evidence/vector closure
0x02F4	sensor_read_mux	evidence_named	19	38	86fc9c778fddca63851f08f780c7998d6de9451c428bde861696cb61bc637355	evidence			0x02F4-0x031A	I2C protocol sensor_read_mux span
0x0378	i2c_slave_init	evidence_named	45	98	14859a32e5cb14c433222df6ddf0e50eccc68a424161e9088db386d03f6da026	evidence	0x65F4,0x67D8,0x67F0,0x6FA8		0x0378-0x03DA	I2C protocol initialization span
0x0400	i2c_irq_handler	evidence_named	62	134	bbd9d49b223280d85fe623ab19336d1c5c06d49249b3f9e23944cd325ba99ec0	evidence	0x67D8,0x67F0,0x6806,0x76D4		0x0400-0x0466,0x0580-0x05A0	I2C protocol IRQ span
0x071C	touch_sub_071c	unresolved_shipped_prefix	10	20	db4ba4dcad45d6ea43ca7973565cb8b0a5057bf4bc095e5c6b3d0802241700eb	bl@0x089C,bl@0x113C			0x071C-0x0730	reachable direct BL target from evidence/vector closure
0x0738	touch_sub_0738	unresolved_shipped_prefix	22	50	b4833d3c2103aa531869af5e60fb07c9472535d1689c7c8019a1df5773af8553	bl@0x08C0	0x0268,0x0BE0		0x0738-0x076A	reachable direct BL target from evidence/vector closure
0x07FC	touch_sub_07fc	unresolved_shipped_prefix	11	26	e9689a44d2e4adb88b6e5b4638a1f0474a3f1110cfdf4816a95f7a1bed3a1157	bl@0x0FDA	0x0BE0,0x6FF0		0x07FC-0x0816	reachable direct BL target from evidence/vector closure
0x0824	report_builder	evidence_named	147	316	2dfdebfc817b8de4a5cab6d0e046511c89edd817a8f5d51cc42575f352074128	evidence	0x071C,0x0738,0x0BE0,0x0D70,0x111C,0x4A04,0x4A6C,0x67D8		0x0824-0x0960	I2C protocol report span
0x0BE0	logger_stub	evidence_named	4	8	d5af164eb1253e2dc1faf4d9271ca5119221d2f156233a278dcbf632803173de	bl@0x0756,bl@0x0764,bl@0x0810,bl@0x08D4,bl@0x08EC,bl@0x0902,bl@0x0946,bl@0x0CCA,bl@0x0D0E,bl@0x0E00,bl@0x0E8C,bl@0x0F06,bl@0x0F1A,bl@0x0F32,bl@0x0F5C,bl@0x0FA6,bl@0x0FD0,bl@0x0FEC,bl@0x1010,bl@0x1060,bl@0x1090,bl@0x10C2,evidence			0x0BE0-0x0BE8	I2C protocol compiled-out logger span
0x0BE8	touch_sub_0be8	unresolved_shipped_prefix	9	18	e4383b80287ce886045ea4ff0d2bd15ef44c2a9aaf8048c3d6aa2c7c35e4f966	bl@0x0D88			0x0BE8-0x0BFA	reachable direct BL target from evidence/vector closure
