provider	edges	stock_targets	origin	version_or_interval	commit_or_commits	status	qualification
EasyLogger diagnostics	825 direct BL sites	0x0043CE9E,0x0043D0CE,0x0043D574	armink/EasyLogger with G2 integration	2.2.99-compatible core	a596b2642e27af3a2dbdeb0e5f04a6b5b673ef24	source-admitted	Framework state machine and listener diagnostics dominate the object
CMSIS-FreeRTOS wrappers	35 direct BL sites	0x004490E2,0x004493B0,0x00449498,0x004494D8,0x00449522,0x004495E4,0x0044971C,0x004497B6,0x0044981C,0x0044989A,0x0044994E,0x004499B8,0x00449A32,0x00449ABE,0x00449B3C	ARM-software/CMSIS-FreeRTOS over FreeRTOS-Kernel	v10.5.1	d213f261b5be6bb29a7cce8b84071706b72f4d53; kernel def7d2df2b0506d3d249334974f51e427c17a41c; CMSIS_5 2b7495b8535bdcb306dac29b9ded4cfb679d7e5c	authenticated and production source-owned	Exact thread timer event mutex semaphore and message-queue wrapper entries
FreeRTOS kernel leaves	4 direct BL sites	0x00454B4C,0x005FA0A4	FreeRTOS-Kernel plus G2 assert port	V10.5.1	def7d2df2b0506d3d249334974f51e427c17a41c	authenticated source-owned	Three direct task delays and one fail-stop assert path
TinyFrame protocol core	26 direct BL sites	0x004917D2,0x00491962,0x00491B9A,0x0049225A,0x00492266,0x00492278,0x00492280,0x00492288	MightyPork/TinyFrame with G2 integration	v1.3.0 lineage	eb75483e035916ef9f3e9fce0d2ae389cb09785f	source-admitted	Init listener response tick and multipart calls match the already admitted fork boundary
AmbiqSuite GPIO HAL	2 direct BL sites	0x00480F0C,0x00480F8A	AmbiqMicro AmbiqSuite	5.1.0 lineage	5efc0228528a8adce5eae0d226fac85d2551eb3b	authenticated source oracle	Role selection reads and configures the synchronization GPIO
nanopb input stream initializer	1 direct BL site	0x0048949C	nanopb	0.4.7 through 0.4.9.1 compatible; selected 0.4.9	98bf4db69897b53434f3d0ba72e0a3ab1a902824	source-admitted	One TinyFrame payload decode stream initializer
IAR DLIB memory primitives	17 direct BL sites	0x00439BE4,0x00439C04,0x0043C0E4	IAR proprietary compiler runtime	EWARM 9.20+ floor; 9.60.2 leading candidate	unobservable	bounded or source-recreated	Copy and fill helpers add no compiler-release discriminator
Production source-owned synchronized heap wrappers	86 direct BL sites	0x00474CD2,0x00474D16	OpenCFW file-runtime reconstruction over TLSF	private G2 wrapper over TLSF v3.1-compatible core	selected TLSF commit deff9ab509341f264addbd3c8ada533678591905	production source-owned	Four allocations and 82 frees use the routed synchronized heap ABI
G2 thread-pool adapters	18 direct BL sites	0x00491184,0x0049137A	Even Realities first-party over CMSIS-FreeRTOS	private G2 source	unobservable	provider seam identified	Seventeen work submissions and one pool initialization remain first-party policy
G2 millisecond delay wrapper	1 direct BL site	0x004910F4	Even Realities first-party over Ambiq delay	private G2 source	unobservable	production source-owned	Exact millisecond-to-microsecond wrapper
G2 role UI service and scheduling providers	36 direct BL sites	20 first-party entries	Even Realities first-party over separately bounded services	private G2 source	unobservable	provider seams identified	Owns role policy event scheduling display state settings and service integration
