# G2 liblc3 encoder-internals census; regenerated by tools/analyze_g2_liblc3_encoder_internals.py
entry	body_start	body_end_exclusive	envelope_bytes	official_opaque_bytes	scope	parent_bucket	status	module	attribution	evidence	confidence	detail
0x00590104	0x00590104	0x005904CE	970	970	frontier	investigation-required-no-evidence	investigation-required			none	none	no static caller in the corpus; possible dead-stripped internal or data-adjacent envelope; no liblc3 dispatch-graph or module-table evidence
0x005904CE	0x005904CE	0x0059063E	368	368	frontier	investigation-required-no-evidence	investigation-required			none	none	no static caller in the corpus; possible dead-stripped internal or data-adjacent envelope; no liblc3 dispatch-graph or module-table evidence
0x00590818	0x00590818	0x00590848	48	48	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from first-party functions (0x0057A4D8); no liblc3 dispatch-graph or module-table evidence
0x00590848	0x00590848	0x0059089A	82	82	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from first-party functions (0x0057A4D8); no liblc3 dispatch-graph or module-table evidence
0x005908A0	0x005908A0	0x005909B6	278	278	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from first-party functions (0x0057A4D8); no liblc3 dispatch-graph or module-table evidence
0x005909B6	0x005909B6	0x00590A16	96	96	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x005908A0); no liblc3 dispatch-graph or module-table evidence
0x00590B6C	0x00590B6C	0x00590B92	38	38	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from first-party functions (0x0057A7E0); no liblc3 dispatch-graph or module-table evidence
0x00590B92	0x00590B92	0x00590C62	208	208	frontier	investigation-required-no-evidence	investigation-required			none	none	no static caller in the corpus; possible dead-stripped internal or data-adjacent envelope; no liblc3 dispatch-graph or module-table evidence
0x00590CF4	0x00590CF4	0x00590D2E	58	58	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x005908A0); no liblc3 dispatch-graph or module-table evidence
0x00590D3C	0x00590D3C	0x00590D74	56	56	frontier	investigation-required-no-evidence	module	lc3	resolve_dt candidate (shared by hr_frame_block_bytes and hr_setup_encoder)	dispatch-graph-indirect	low	reachable only through liblc3 internals; caller set pinned
0x00590D74	0x00590D74	0x00590DC8	84	84	frontier	investigation-required-no-evidence	module	lc3	resolve_srate candidate (shared by hr_frame_block_bytes and hr_setup_encoder)	dispatch-graph-indirect	low	reachable only through liblc3 internals; caller set pinned
0x00590E64	0x00590DC8	0x00590E6C	164	164	liblc3-bucket	liblc3	module	lc3	lc3_frame_samples	documented-public-entry	high	authenticated by g2-liblc3-public-entry-map.tsv
0x00590E6C	0x00590E6C	0x00590F68	252	252	liblc3-bucket	liblc3	module	lc3	lc3_hr_frame_block_bytes candidate (called by documented lc3_hr_frame_bytes)	dispatch-graph-indirect	low	reachable only through liblc3 internals; caller set pinned
0x00590F68	0x00590F68	0x00590F78	16	16	liblc3-bucket	liblc3	module	lc3	lc3_hr_frame_bytes	documented-internal-tail	high	named by address in the entry-map qualification text
0x00590F78	0x00590F78	0x00590F84	12	12	liblc3-bucket	liblc3	module	lc3	lc3_frame_bytes	documented-public-entry	high	authenticated by g2-liblc3-public-entry-map.tsv
0x00590F84	0x00590F84	0x00591060	220	220	liblc3-bucket	liblc3	module	lc3	load_s16	loader-table-entry	high	Thumb pointer 0 in lc3_encode's static load[] table at 0x005915CC
0x00591060	0x00591060	0x0059112E	206	206	liblc3-bucket	liblc3	module	lc3	load_s24	loader-table-entry	high	Thumb pointer 1 in lc3_encode's static load[] table at 0x005915CC
0x0059112E	0x0059112E	0x005911AE	128	128	liblc3-bucket	liblc3	module	lc3	load_s24_3le	loader-table-entry	high	Thumb pointer 2 in lc3_encode's static load[] table at 0x005915CC
0x005911B0	0x005911B0	0x0059123A	138	138	liblc3-bucket	liblc3	module	lc3	load_float	loader-table-entry	high	Thumb pointer 3 in lc3_encode's static load[] table at 0x005915CC
0x00591374	0x00591374	0x0059138A	22	22	liblc3-bucket	liblc3	module	lc3	lc3_setup_encoder	documented-public-entry	high	authenticated by g2-liblc3-public-entry-map.tsv
0x0059138A	0x0059138A	0x005915A2	536	536	liblc3-bucket	liblc3	module	lc3	lc3_encode	documented-public-entry	high	authenticated by g2-liblc3-public-entry-map.tsv
0x00597C6C	0x00597C6C	0x00597CAE	66	66	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x00597CAE); no liblc3 dispatch-graph or module-table evidence
0x00597CAE	0x00597CAE	0x00597CDE	48	48	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x00597DEC); no liblc3 dispatch-graph or module-table evidence
0x00597CDE	0x00597CDE	0x00597D10	50	50	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from first-party functions (0x00585A74); no liblc3 dispatch-graph or module-table evidence
0x00597D10	0x00597D10	0x00597D20	16	16	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x00597D34,0x00597D72,0x00597DB0); no liblc3 dispatch-graph or module-table evidence
0x00597D34	0x00597D34	0x00597D72	62	62	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from first-party functions (0x00585A12); no liblc3 dispatch-graph or module-table evidence
0x00597D72	0x00597D72	0x00597DB0	62	62	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from first-party functions (0x00585A52); no liblc3 dispatch-graph or module-table evidence
0x00597DB0	0x00597DB0	0x00597DEA	58	58	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from first-party functions (0x00585A32); no liblc3 dispatch-graph or module-table evidence
0x00597DEC	0x00597DEC	0x00597E18	44	44	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from first-party functions (0x00585A74); no liblc3 dispatch-graph or module-table evidence
0x00597E1C	0x00597E1C	0x00597E54	56	56	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x00597DEC); no liblc3 dispatch-graph or module-table evidence
0x00597E54	0x00597E54	0x00597E82	46	46	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from first-party|investigation-required-no-evidence functions (0x00585A74,0x00597C6C); no liblc3 dispatch-graph or module-table evidence
0x00598074	0x00598074	0x0059812E	186	186	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from first-party functions (0x0058EAC4); no liblc3 dispatch-graph or module-table evidence
0x00598134	0x00598134	0x00598146	18	0	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x005981E0,0x0059820A); envelope bytes fully production source-owned; no liblc3 dispatch-graph or module-table evidence
0x00598146	0x00598146	0x00598160	26	0	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x00598198); envelope bytes fully production source-owned; no liblc3 dispatch-graph or module-table evidence
0x00598198	0x00598198	0x005981C4	44	0	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x005981C4); envelope bytes fully production source-owned; no liblc3 dispatch-graph or module-table evidence
0x005981C4	0x005981C4	0x005981E0	28	0	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from first-party functions (0x0058FB1C); envelope bytes fully production source-owned; no liblc3 dispatch-graph or module-table evidence
0x005981E0	0x005981E0	0x0059820A	42	0	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x0059820A); envelope bytes fully production source-owned; no liblc3 dispatch-graph or module-table evidence
0x0059820A	0x0059820A	0x0059823C	50	0	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from first-party functions (0x0058FB2A); envelope bytes fully production source-owned; no liblc3 dispatch-graph or module-table evidence
0x0059823C	0x0059823C	0x00598282	70	70	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x00590104); no liblc3 dispatch-graph or module-table evidence
0x00598284	0x00598284	0x00598458	468	468	frontier	investigation-required-no-evidence	module	attdet	lc3_attdet_run	dispatch-graph-direct	medium	direct lc3_encode callee at the v1.1.3 analyze()/encode() source position
0x0059845C	0x0059845C	0x0059898A	1326	1326	frontier	investigation-required-no-evidence	module	mdct	mdct.c FFT core candidate (radix-3 divide constants in literal pool)	dispatch-graph-indirect	low	reachable only through liblc3 internals; caller set pinned
