# SPDX-License-Identifier: MIT
entry	origin	disposition	provider_candidate	license	instructions	instruction_bytes	instruction_sha256	discovery_sources
0x0158	direct_bl_closure	semantic_source_unclassified	none	unknown	5	10	c36ba6f99ebece2e63d3c5e5c6b024253f3c952e6d75e88542103a3e46e33e7d	bl@0x016E
0x0164	direct_bl_closure	semantic_source_unclassified	none	unknown	76	164	0532c4e562f17ce951bbbf23d2bc295885f0c0dae97463ae2d28df6eecb88d5b	bl@0x13D6
0x01D8	direct_bl_closure	semantic_source_unclassified	none	unknown	24	50	c77270785c905dd1d4d1d876cd49736efaffd29367825d8dcdef024be97a2a1e	bl@0x065E
0x0220	direct_bl_closure	semantic_source_unclassified	none	unknown	29	60	ef8bcafdfc26d42e2e1aff6900c08599d7c7507ec547e10eab8e09866fdb1dd2	bl@0x066C
0x0268	direct_bl_closure	project_source_candidate	components/shared/touch/runtime_touch_policy_helpers.c	MIT	29	60	3d7f1abeee801aecccc624ce1b67bb81f30fd5cee704ef9d4c0efd34cf666080	bl@0x06A8,bl@0x0744
0x02B0	direct_bl_closure	semantic_source_unclassified	none	unknown	18	38	02f2c939cd0e86a5ee5eb8ba6583471c37b866cf070a9e40eea62997d4ece8b1	bl@0x0686
0x02E4	linked_flash_pointer	semantic_source_unclassified	none	unknown	5	10	c84096b2d05f8df35d37689b00abb03ece692951f81f89c2570155611834271c	flash_pointer_via_ldr@0x0346
0x02F4	authenticated_evidence	external_eula_clean_room_required	runtime_touch_sensing.c provider wrapper	MIT OR GPL-3.0-only wrapper; LicenseRef-Infineon-EULA provider excluded	19	38	86fc9c778fddca63851f08f780c7998d6de9451c428bde861696cb61bc637355	authenticated_evidence
0x0324	linked_flash_pointer	semantic_source_unclassified	none	unknown	5	12	76cdace20c6436259e5a8420e9c6b8f850ee7ec6b259669c2a8466ab8ec14989	flash_pointer_via_ldr@0x0388
0x0338	direct_bl_closure	semantic_source_unclassified	none	unknown	10	24	74f0aae50b2c2628970da5f6aece85398447cda4ad80b487febae56a6ef7ecea	bl@0x09BE
0x0358	direct_bl_closure	semantic_source_unclassified	none	unknown	10	22	cd8fae838ff4b175d15f11644012d868bfc45f41d139cd0878ead30f4db43dff	bl@0x09D8
0x0378	authenticated_evidence	project_fail_closed_contract	runtime_touch_i2c_protocol.c transport boundary	MIT OR GPL-3.0-only wrapper	45	98	14859a32e5cb14c433222df6ddf0e50eccc68a424161e9088db386d03f6da026	authenticated_evidence,bl@0x09F6
0x0400	authenticated_evidence	project_source_candidate	runtime_touch_i2c_protocol.c	MIT OR GPL-3.0-only	62	134	bbd9d49b223280d85fe623ab19336d1c5c06d49249b3f9e23944cd325ba99ec0	authenticated_evidence
0x05E0	direct_bl_closure	semantic_source_unclassified	none	unknown	40	86	4f0dd0098f258592123cdb89a2ccda97f650c40d37b97a7b732d71f5d82cc0fd	bl@0x09FA
0x0648	linked_flash_pointer	semantic_source_unclassified	none	unknown	5	12	22cf82a138649f908101fbfa91f91a3322e7b067c6d1795eee222790db44d52e	flash_pointer_via_ldr@0x05FA
0x065C	direct_bl_closure	semantic_source_unclassified	none	unknown	67	156	4261f999cf4b91b43edff85c2731fe71ce1399d559473976b877c76ad87f5a48	bl@0x09D4
0x071C	direct_bl_closure	project_source_candidate	components/shared/touch/runtime_touch_policy_helpers.c	MIT	10	20	db4ba4dcad45d6ea43ca7973565cb8b0a5057bf4bc095e5c6b3d0802241700eb	bl@0x089C,bl@0x113C
0x0738	direct_bl_closure	project_source_candidate	components/shared/touch/runtime_touch_policy_helpers.c	MIT	22	50	b4833d3c2103aa531869af5e60fb07c9472535d1689c7c8019a1df5773af8553	bl@0x07BC,bl@0x08C0
0x0780	direct_bl_closure	semantic_source_unclassified	none	unknown	40	92	0dc11e3139c82a93c37a5d9907ad6716ee5c3bbce931d29fb0162fc351ec0fb8	bl@0x0A50
0x07FC	direct_bl_closure	project_fail_closed_contract	components/shared/touch/runtime_touch_policy_helpers.c	MIT	11	26	e9689a44d2e4adb88b6e5b4638a1f0474a3f1110cfdf4816a95f7a1bed3a1157	bl@0x0FDA
0x0824	authenticated_evidence	project_source_candidate	runtime_touch_i2c_protocol.c	MIT OR GPL-3.0-only	147	316	2dfdebfc817b8de4a5cab6d0e046511c89edd817a8f5d51cc42575f352074128	authenticated_evidence,bl@0x0A4C,bl@0x0AF2
0x09A4	direct_bl_closure	semantic_source_unclassified	none	unknown	4	10	9e0b35cfee377b9eca5d0d1cb4ddb063e6582ed7a4d0ef733aecb57c6b410a82	bl@0x09DC
0x09B4	direct_bl_closure	semantic_source_unclassified	none	unknown	198	494	afb8cc9dc05f7e2578341aa09459d0919ac527a7954ba84158c7145c33f18c66	bl@0x01AE
0x0BE0	authenticated_evidence	unsupported_intentional_noop	compiled-out logger	not applicable	4	8	d5af164eb1253e2dc1faf4d9271ca5119221d2f156233a278dcbf632803173de	authenticated_evidence,bl@0x0682,bl@0x06B4,bl@0x06BE,bl@0x06C8,bl@0x06D2,bl@0x06F2,bl@0x0756,bl@0x0764,bl@0x07C8,bl@0x07D6,bl@0x0810,bl@0x08D4,bl@0x08EC,bl@0x0902,bl@0x0946,bl@0x09CE,bl@0x0A9A,bl@0x0B0A,bl@0x0B22,bl@0x0B72,bl@0x0B90,bl@0x0CCA,bl@0x0D0E,bl@0x0E00,bl@0x0E8C,bl@0x0F06,bl@0x0F1A,bl@0x0F32,bl@0x0F5C,bl@0x0FA6,bl@0x0FD0,bl@0x0FEC,bl@0x1010,bl@0x1060,bl@0x1090,bl@0x10C2
0x0BE8	direct_bl_closure	project_source_candidate	components/shared/touch/runtime_touch_policy_helpers.c	MIT	9	18	e4383b80287ce886045ea4ff0d2bd15ef44c2a9aaf8048c3d6aa2c7c35e4f966	bl@0x0D68,bl@0x0D88
0x0BFC	direct_bl_closure	project_fail_closed_contract	components/shared/touch/runtime_touch_policy_helpers.c	MIT	155	324	9859f7a02f401ffe336bb8b77ccdd227af185462091ddffa126e6ebbcef07288	bl@0x0E32,bl@0x0EBC
0x0D4C	direct_bl_closure	semantic_source_unclassified	none	unknown	15	34	174d3e4a291a0f8515eb3bcbf7ebaf5c6bec99db81d64b79dde1bf96e4cf5a09	bl@0x0366,bl@0x07B6
0x0D70	direct_bl_closure	project_fail_closed_contract	components/shared/touch/runtime_touch_policy_helpers.c	MIT	416	874	7ad5a22271f77982723b158a901ba6f50d9c8c7c8ea6e142509be0b626fb6863	bl@0x085A
0x111C	direct_bl_closure	project_fail_closed_contract	components/shared/touch/runtime_touch_policy_helpers.c	MIT	43	90	5a2bb79ea819a1be4aed5603f754cb2304ace76727633e535eab05aab07b12a3	bl@0x084A
0x1180	direct_bl_closure	upstream_apache_provider	https://github.com/Infineon/mtb-pdl-cat2	Apache-2.0	9	18	a8b62136d338c6dc91e6f900f19cb30344601be2bc97b168940ca57281293760	bl@0x6A06,bl@0x6A30,bl@0x6FFA,bl@0x7012,bl@0x702C
0x1192	direct_bl_closure	semantic_source_unclassified	none	unknown	3	8	720733fcf19a5635fcab0791fcc2b007294712bb27536443ff79490821c168cf	bl@0x0784,bl@0x0A1A,bl@0x0A76,bl@0x0AAE,bl@0x0AC0,bl@0x0B2E,bl@0x0B40,bl@0x5A98,bl@0x65A2,bl@0x69D6,bl@0x723E,bl@0x72A2
0x119A	direct_bl_closure	semantic_source_unclassified	none	unknown	2	6	379ef840451b3bf5f9903b215cd3fe49e26244e0b6b8afe47b9e5c37a1ee1ca2	bl@0x07A2,bl@0x0A16,bl@0x0A2C,bl@0x0ABC,bl@0x0AD2,bl@0x0B3C,bl@0x0B52,bl@0x5AA8,bl@0x65BA,bl@0x6A10,bl@0x725A,bl@0x72BE
