# G2 liblc3 ltpf/bits 0x43xxxx cluster census; regenerated by tools/analyze_g2_liblc3_ltpf_bits_cluster.py
entry	body_start	body_end_exclusive	envelope_bytes	official_opaque_bytes	scope	parent_bucket	status	module	attribution	evidence	confidence	detail
0x00438400	0x00438400	0x00438400	0	0	dispatch-table-non-corpus	not-in-ghidra-corpus	module	ltpf	resample_16k_12k8	dispatch-table-entry	high	Thumb pointer in resample_12k8[] slot(s) LC3_SRATE_16K at 0x00439680, byte-verified against the image; body absent from the Ghidra corpus (address-only row)
0x00438504	0x00438504	0x00438604	256	256	dispatch-table	investigation-required-no-evidence	module	ltpf	resample_32k_12k8	dispatch-table-entry	high	Thumb pointer in resample_12k8[] slot(s) LC3_SRATE_32K at 0x00439680, byte-verified against the image; references byte-matched snapshot table(s): ltpf.c:h_32k_12k8_q15 (resample_32k_12k8 coefficient matrix)
0x00438604	0x00438604	0x00438604	0	0	dispatch-table-non-corpus	not-in-ghidra-corpus	module	ltpf	resample_48k_12k8	dispatch-table-entry	high	Thumb pointer in resample_12k8[] slot(s) LC3_SRATE_48K|LC3_SRATE_48K_HR at 0x00439680, byte-verified against the image; body absent from the Ghidra corpus (address-only row)
0x00438770	0x00438770	0x004387B0	64	64	seed-closure	investigation-required-no-evidence	module	ltpf	dot candidate (float vector dot product, partially decoded MVE/Helium body; sole caller lc3_ltpf_analyse)	dispatch-graph-indirect	low	reachable only through cluster or parent-census liblc3 functions; caller set pinned
0x004387B0	0x004387B0	0x00438924	372	372	seed-closure	investigation-required-no-evidence	module	ltpf	correlate candidate (correlation vector loop; sole caller lc3_ltpf_analyse)	dispatch-graph-indirect	low	reachable only through cluster or parent-census liblc3 functions; caller set pinned
0x00438924	0x00438924	0x00438BCC	680	680	seed-closure	investigation-required-no-evidence	module	ltpf	interpolate 4-tap phase filter (in-island table at 0x00438BD0)	upstream-table-match	high	references byte-matched snapshot table(s): ltpf.c:h4_q15
0x00438BF0	0x00438BF0	0x00438D8A	410	410	dispatch-table-callee	investigation-required-no-evidence	module	ltpf	resample_x192k_12k8 candidate (outlined helper shared by resample_24k_12k8 and resample_96k_12k8)	dispatch-graph-indirect	low	reachable only through cluster or parent-census liblc3 functions; caller set pinned
0x00438D8A	0x00438D8A	0x00438EBA	304	304	dispatch-table	investigation-required-no-evidence	module	ltpf	resample_8k_12k8	dispatch-table-entry	high	Thumb pointer in resample_12k8[] slot(s) LC3_SRATE_8K at 0x00439680, byte-verified against the image; references byte-matched snapshot table(s): ltpf.c:h_8k_12k8_q15 (resample_8k_12k8 coefficient matrix)
0x00438EBA	0x00438EBA	0x00438ED4	26	26	dispatch-table	investigation-required-no-evidence	module	ltpf	resample_24k_12k8	dispatch-table-entry	high	Thumb pointer in resample_12k8[] slot(s) LC3_SRATE_24K at 0x00439680, byte-verified against the image; references byte-matched snapshot table(s): ltpf.c:h_24k_12k8_q15 (resample_24k_12k8 coefficient matrix)
0x00438ED4	0x00438ED4	0x00438EEE	26	26	dispatch-table	investigation-required-no-evidence	module	ltpf	resample_96k_12k8	dispatch-table-entry	high	Thumb pointer in resample_12k8[] slot(s) LC3_SRATE_96K_HR at 0x00439680, byte-verified against the image; references byte-matched snapshot table(s): ltpf.c:h_96k_12k8_q15 (resample_96k_12k8 coefficient matrix)
0x00438EF0	0x00438EF0	0x00438F98	168	168	seed-closure	investigation-required-no-evidence	module	ltpf	interpolate_corr candidate (8-tap float phase interpolation through DAT_004396B4 -> 0x006D54D8; sole caller lc3_ltpf_analyse)	dispatch-graph-indirect	low	reachable only through cluster or parent-census liblc3 functions; caller set pinned
