recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	ingress	evidence
1	uled_mspi_term	descriptive high confidence	0x004C9D44	0x004C9D9C	88	ad810bc02ec522d8370d4f851070db3e796bee1da15958c8fa2f08569042fec9	stored Thumb entry at startup table cell 0x00438090	calls the selected operations record's offset-zero terminator when present
2	uled_driver_identify	exact historical semantic label plus retained function string	0x004C9D9C	0x004C9F32	406	00905df5e6becacba6df106fa0087517e8ddb747e5937d2fd274634c8984810e	BL at 0x004C9F48	scans the two-entry operations linker list and selects the record whose type byte at +0x3C matches
3	uled_mspi_init	exact retained function string	0x004C9F32	0x004C9FB4	130	b51f14c4bb85562776cabf358e643152eea75d5c057060bca00a49b1a2fd322b	exterior BL at 0x00473C50	selects a panel from configuration key 1 and calls operations +8 with the clear callback/framebuffer/config
4	uled_clearScreen	exact retained function string	0x004C9FB4	0x004CA010	92	b8999e4a42964dd1576a06c6368a5661b1ba72a6362eb094e2201dc8da110418	exterior BL at 0x00473D1E	calls selected operations +0x1C or returns -1
5	uled_driver_init	exact retained function string	0x004CA010	0x004CA070	96	699870dd1ed5d5ab75a291a5266e58cdb69a5e81ba3058273a8ee731b821a353	exterior BL at 0x00473CEA	calls selected operations +0x0C with zero or returns -1
6	uled_safe_get_chip_id	exact retained function string	0x004CA070	0x004CA126	182	b3ccb9ace34e0201bc93c1f36f5ccbc0e9029d7b3caa69a19fe5767fd3d3a818	exterior BL at 0x00574D28	calls selected operations +4 with a stack result and emits the retained chip-ID diagnostic
7	uled_driver_power_down	exact retained function string	0x004CA126	0x004CA18A	100	303b0596fb70e0a66ba41265fa8783e045a4e20f35e75df7cdbeaf6cc40d3635	exterior BL at 0x00473D0A	optional dispatch through operations +0x14
8	uled_driver_power_up	exact retained function string	0x004CA18A	0x004CA1EE	100	f577c977f963ca19ace0a2a6af413f1c0ed599d10e29106ff5b93ff1977a1f23	exterior BL at 0x00473D4C	optional dispatch through operations +0x10
9	uled_mspi_setBrightness	exact retained function string	0x004CA1EE	0x004CA24A	92	ce9e9b6981193fbfec809b6b79008117539a2407416770e7971ca0c372afd4da	seven exterior BL sites	dispatches three brightness arguments through operations +0x18
10	uled_set_display_offset	exact retained function string	0x004CA24A	0x004CA2AA	96	f7ae5eb5f96f8e4bc12a4632feb20a92d96e8594bc052f233bcf83ef0de22a6d	exterior BL at 0x005703D2	dispatches byte X/Y offsets through operations +0x24
11	uled_clean_fb_data	exact retained function string	0x004CA2AC	0x004CA564	696	8dbffe66d9c27b8c38628d2005eabc490497bc0beef5553c8a981c63bd8d51ff	runtime Thumb materialization at 0x004C9FA8	fills a bounded 640x480 packed-four-bit rectangle while preserving boundary nibbles
12	uled_QSPI_PartialReflash_async	exact retained function string	0x004CA564	0x004CA5BE	90	0a8b1266703f4b54cd6c1efcdba816ec2111a3bc42552e9379a17891afa6a3ab	exterior BL sites 0x00473CE4 and 0x00473D80	dispatches five refresh-region arguments through operations +0x28
13	uled_status_check_and_recovery	exact retained function string	0x004CA5BE	0x004CA60E	80	e732b84b043868b2c07c03e4d446e44bf3405e4f5dbfefee2f225cae05e49fe5	exterior BL at 0x00473D5E	dispatches through operations +0x30; missing driver returns zero
14	uled_set_mode	exact retained function string	0x004CA60E	0x004CA662	84	e5c8c3553845e12be9f94d523874c2b974be8fb414cc3e003d197adbce8c71bf	exterior BL at 0x00473DD8	dispatches a byte mode through operations +0x34
