module	metric	value
ota	retained_path	platform\ble\profiles\ota\profile_ota.c
ota	linked_functions	7
ota	ambiq_skeleton_derived_stock_functions	4
ota	g2_local_stock_functions	3
ota	body_bytes	620
ota	body_concat_sha256	ee66478c1f853d30b5f6f6d704bb31f960551bd6c4380039b23d93a1167f475c
ota	physical_interval	[0x004BDB90,0x004BDE4C)
ota	physical_bytes	700
ota	physical_sha256	603013c2916a201e4c44d3062c086706d731d3d3e27d6f56f37e153aa1057b62
ota	owned_noncode_bytes	80
ota	direct_bl_entry_sites	4
ota	direct_bl_entry_digest	9c4fb680b1794051fb7b9be3e5c60cf6ddc3e13f839324450e4b70f3d54a1e33
ota	direct_body_call_sites	37
ota	direct_body_call_digest	145e62663b8fb720d2d7406d0c512f4393fd0915fc23784e8ba8f6fc68afb13b
ota	stored_entry_pointers	2
ota	stored_entry_pointer_digest	5a86d5349a6f10a28ce905bce3a376d89e9e97e346bee316d28ed7214281f970
ota	direct_bl_strict_interior_targets	0
ota	upstream_component	AmbiqSuite AMOTA application skeleton
ota	selected_release	2.5.1
ota	selected_commit	de5c6ba3044f4ef0f0c907c3f83fbbaa5795262f
ota	historical_g2_generating_commit	null
ota	production_routed	true
ota	production_source	components/apollo_main/core_overlay/ble_ota_profile.c
ota	production_source_bytes	9851
ota	production_source_sha256	e8993403f028ebaf86289aa580d7addb3418973a3990eabd91a8d63710d9fde6
ota	production_source_functions	7
ota	production_compiled_text_bytes	376
ota	production_alignment_bytes	8
ota	production_stock_replaced_bytes	620
ota	production_strict_relocations	17
ota	software_functional_gap	false
ota	hardware_validation	deferred by project direction
ota	hardware_evidence_required	closure-specific live acceptance evidence documented by the analyzer and reference audit
ota	hardware_blocker	Authorized physical G2/EM9305 peer or captured OTA CCC/reset/disconnect/notification timing evidence is required for future qualification
ring	retained_path	platform\ble\profiles\ring\profile_ring.c
ring	linked_functions	7
ring	ambiq_skeleton_derived_stock_functions	0
ring	g2_local_stock_functions	7
ring	body_bytes	1446
ring	body_concat_sha256	c1c4050f1d01985b66aff310a58c9caf080b01ae7e25f212784eef79517f047c
ring	physical_interval	[0x004C46C0,0x004C4CEC)
ring	physical_bytes	1580
ring	physical_sha256	568c2f28253068a3c36ec4e94b71236d70879a859b5dee4d26803a8827a0c0d6
ring	owned_noncode_bytes	134
ring	direct_bl_entry_sites	13
ring	direct_bl_entry_digest	b4b2c3d3d2d309019ff24637eff7181a531ef3ec4f9db3cf0fdaf78a9c7d72c1
ring	direct_body_call_sites	75
ring	direct_body_call_digest	3322729bea78bf1320309b35ce5f60491f44d6bfca7e53dd38714a3a04d0a153
ring	stored_entry_pointers	1
ring	stored_entry_pointer_digest	57efef3ff90a3bf5e9544f883146a14cc883bee92d655dea2b6370202169e7b6
ring	direct_bl_strict_interior_targets	0
ring	upstream_component	none; G2-local Cordio adapter
ring	historical_g2_generating_commit	null
ring	production_routed	true
ring	production_source	components/apollo_main/core_overlay/ble_ring_profile.c
ring	production_source_bytes	14172
ring	production_source_sha256	a114dbe5e50bb31d63ffcde32af7dfdea26c827c9e88d1e03d3a5a21ff66543f
ring	production_source_functions	7
ring	production_compiled_text_bytes	632
ring	production_alignment_bytes	8
ring	production_stock_replaced_bytes	1446
ring	production_strict_relocations	23
ring	software_functional_gap	false
ring	hardware_validation	deferred by project direction
ring	hardware_evidence_required	closure-specific live acceptance evidence documented by the analyzer and reference audit
ring	hardware_blocker	Authorized physical G2/EM9305 peer or captured Ring discovery/CCC/RX/TX timing evidence is required for future qualification
