vaddr	text	reference_count
0x08000110	DFMFVF_F	0
0x08000c6f	 Enable	0
0x08000c7b	 disabled	0
0x08000c93	 Disable	0
0x08000c9c	%s reset GLS	0
0x08000cb0	1.2.57	0
0x08000cb8	B200 %s, %d	0
0x08000cc4	%s, %d	0
0x08000ccc	%02x%02x%02x%02x%02x%02x%02x%02x	0
0x08000cf8	Set SN:	0
0x08000d07	 usb in, cannot enter shipmode.	0
0x08000d28	Standby, reason: cmd.	1
0x08000d4b	@Reset, reason: cmd.	0
0x08000d60	%s watchdog 4005	1
0x08000d7f	 simu_full_bat:%d, simu_empty_bat:%d, simu_timeout:%d	0
0x08000db8	%s one side charging	1
0x08000dd0	enabled	0
0x08000dd8	One-side charging: %s	1
0x08000df0	Set PMIC chip id to 0x08	1
0x08000e0f	 %s dog feed	0
0x08000fd2	/tot? 	0
0x08001172	2F!FZH	0
0x0800118f	 dst(box) cannot parse cmd: %02x	0
0x080011d4	[AGING_NOT]: exit aging status(0x3E).	1
0x080011fc	enable	1
0x08001204	disable	1
0x0800120c	%s output, reason: cmd	1
0x08001224	Enter GLS_OTA Status, L	1
0x0800123c	Enter GLS_OTA Status, R	1
0x08001254	Exit GLS_OTA Status	1
0x08001270	Set SN Even done:	1
0x0800128c	Set SN Even fail:	1
0x080012a0	SN Even length wrong.	1
0x080012b8	[AGING_NOT]: exit aging status(0x3D).	1
0x0800131b	 clear led status.	0
0x0800137b	 [AGING_RUNNING]: Start aging, go to PREPARE_AGING.	0
0x080013f3	 Exit idle mode	0
0x0800140a	@L@H!|	0
0x08001517	 GetAgingStatus fail: not inbox	0
0x0800153c	Skip GetAgingStatus since 2510 busy.	1
0x0800158b	'yN'p0x	0
0x08001777	 [OTA_BOX]: Check gls ready	0
0x080017a0	[OTA_BOX]: GLS not ready.	1
0x080017bc	[OTA_BOX]: Get running bank	1
0x080017db	 [OTA_BOX]: Get running bank fail.	0
0x08001800	[OTA_BOX]: Running bank: %d	1
0x0800181c	[OTA_BOX]: Erase bank fail.	1
0x08001838	[OTA_BOX]: Copy SN.	1
0x0800184c	[OTA_BOX]: Copy SN done.	1
0x08001868	[OTA_BOX]: Copy SN fail.	1
0x08001884	[OTA_BOX]: get bin file	1
0x080018b0	[OTA_BOX]: get bin file done, total error cnt: %d	1
0x08001992	OL@4`{	0
0x08001adb	 only one side, dont send 0x13. L:%d, R:%d	0
0x08001b0c	L water detected, disable 5V, time:%d///	1
0x08001b38	L charging done, dont send 0x13. chDoneTime:%d///	1
0x08001b6c	R water detected, disable 5V, time:%d\\\	1
0x08001b98	R charging done, dont send 0x13. chDoneTime:%d:\\\	1
0x08001bd4	Fail to get GLS_L status, cnt:%d	1
0x08001bf8	Fail to get GLS_R status, cnt:%d	1
0x08001d13	 Fail to get GLS_L status(FORCE), cnt:%d	0
0x08001d40	Fail to get GLS_R status(FORCE), cnt:%d	1
0x08001e1f	 [OTA_BOX]: Inform GLS ota result: %d	0
0x08001e5b	 [OTA_BOX]: Inform GLS fail.	0
0x08001e78	[OTA_BOX]: Inform GLS done.	1
0x08002186	LM =+w	0
0x08002234	 HnI 8	0
0x0800225b	 GLS_RX error: CRC wrong.	0
0x0800227c	CRC_Cal: %02x, CRC_Rx: %02x, header: 5a a5 ff %02x, data: 	1
0x080022bf	 Disable charging since bat(%d) >= 98	0
0x080022eb	 L charging:%d, done:%d, vol:%dmv, bat:%d, cur:%d///	0
0x08002320	R charging:%d, done:%d, vol:%dmv, bat:%d, cur:%d\\\	1
0x08002354	L charging:1, confirmed by GLS_L///	1
0x08002378	R charging:1, confirmed by GLS_R\\\	1
0x0800239c	ota check (0x58), len:%d	1
0x080023bc	[OTA_BOX]: nothing new, cur:1.%d.%d, remote:1.%d.%d	1
0x08002467	 Skip SetAgingStatusL since 2510 busy.	0
0x08002494	SetAgingStatusL fail: not inbox	1
0x08002533	 Skip SetAgingStatusR since 2510 busy.	0
0x08002560	SetAgingStatusR fail: not inbox	1
0x080026c7	 receive header timeout	0
0x080026e0	no header in first 5 char. RX:	1
0x08002700	receive len timeout, RX:	1
0x08002720	receive data timeout, RX: len:%d	1
0x08002837	 [noctrl]no header in first 5 char. RX:	0
0x08002860	[noctrl]receive len timeout, RX:	1
0x08002b03	 Check pmic boost status fail, try to reset reg 0x15.	0
0x08002c0f	 [OTA_BOX]: Fail to program.	0
0x08002d1b	 [OTA_BOX]: crc_cal: 0x%x, crc_rx:0x%x	0
0x08002dc7	 [OTA_BOX]:fail to erase %d pages. err:0x%x, retry:%d	0
0x08002ebc	[OTA_BOX]:fail to program.	1
0x08003347	 1.2.57	0
0x08003350	****** B200 %s %08x%08x%08x******	1
0x0800337f	Pself check fail, reason: 2217 wrong chip id: 0x%x	0
0x080033b4	2217 self check done.	1
0x080033cc	using: 0x70, chipid, 0x%x	1
0x080033e8	reset pmic register...	1
0x08003400	self check fail, reason: pmic in shipmode.	1
0x08003437	@pmic self check done.	0
0x08003450	PMIC reg 0x10-0x17:	1
0x08003464	PMIC enable boost: %d	1
0x0800347f	 2510 self check done, adjVal:%d	0
0x080034a0	self check fail, reason: 2510 wrong chip id: 0x%x	1
0x080034d4	4005 self check done.	1
0x080034ec	self check fail, reason: 4005 wrong chip id: 0x%x	1
0x08003520	wait for %ds to reset!!!!!	1
0x0800353c	Show led for usb reset.	1
