stock_start	stock_end_exclusive	path_anchored
0x004F5596	0x004F55E0	no
0x004F55E0	0x004F5636	no
0x004F5636	0x004F5662	no
0x004F5662	0x004F570E	no
0x004F5718	0x004F5834	no
0x004F5838	0x004F5A1C	no
0x004F5A1C	0x004F5C3A	yes
0x004F5C4C	0x004F5E12	yes
0x004F5E18	0x004F5E7C	no
0x004F5E84	0x004F5FB0	no
0x004F5FD0	0x004F61A0	yes
0x004F61A0	0x004F61EE	no
0x004F61F4	0x004F6282	yes
0x004F6282	0x004F62F0	yes
0x004F6328	0x004F657E	yes
0x004F658C	0x004F6664	yes
0x004F6664	0x004F675A	yes
0x004F6770	0x004F6864	yes
0x004F6880	0x004F69D8	yes
0x004F6A10	0x004F6D1A	yes
0x004F6D50	0x004F6D5E	no
0x004F6D84	0x004F6E56	yes
0x004F6E6C	0x004F6F96	yes
0x004F6F9C	0x004F6FAC	no
0x004F6FC4	0x004F70A4	no
0x004F70A4	0x004F715E	yes
0x004F7180	0x004F73EE	yes
0x004F73F8	0x004F7408	no
0x004F7408	0x004F7476	no
0x004F7480	0x004F74F8	no
0x004F74F8	0x004F7586	no
0x004F7590	0x004F761E	no
0x004F7624	0x004F7634	no
0x004F7634	0x004F76A2	no
0x004F76A4	0x004F76B6	no
0x004F76B6	0x004F770C	no
0x004F770C	0x004F7760	yes
0x004F7760	0x004F778C	no
0x004F7794	0x004F785A	yes
0x004F7860	0x004F78BE	no
0x004F7944	0x004F7AA2	yes
0x004F7AA2	0x004F7ADA	no
0x004F7AE4	0x004F7B7C	yes
0x004F7B84	0x004F7C02	yes
0x004F7C10	0x004F7C88	no
0x004F7CB0	0x004F7EA8	yes
0x004F7EB0	0x004F7F02	no
0x004F7F18	0x004F7FA4	yes
0x004F7FA8	0x004F808C	yes
0x004F80A0	0x004F81D4	yes
0x004F81F0	0x004F8292	yes
0x004F8298	0x004F82D0	no
0x004F82D0	0x004F82E4	no
0x004F82E4	0x004F82F8	no
0x004F82F8	0x004F8320	no
0x004F8348	0x004F84B6	yes
0x004F84CC	0x004F860E	yes
0x004F8644	0x004F8870	yes
0x004F8878	0x004F88A4	no
0x004F891C	0x004F8FBC	yes
0x004F8FFC	0x004F92E0	yes
0x004F92F0	0x004F9342	no
0x004F9368	0x004F9468	no
0x004F9484	0x004F9AF0	no
0x004F9AFC	0x004F9BD8	yes
0x004F9BF8	0x004F9D72	yes
0x004F9D84	0x004F9F02	yes
0x004F9F14	0x004FA03E	yes
0x004FA058	0x004FA29C	yes
0x004FA2A4	0x004FA314	yes
0x004FA314	0x004FA3F0	yes
0x004FA404	0x004FA6FE	yes
0x004FA72C	0x004FAA2A	yes
0x004FAA44	0x004FAB02	yes
0x004FAB18	0x004FAC3A	yes
0x004FAC74	0x004FAF16	yes
0x004FAF20	0x004FAF84	no
0x004FAF9C	0x004FB078	yes
0x004FB08C	0x004FB0E4	no
0x004FB1A4	0x004FB1BE	no
