recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	qualification
1	conversate_tag_extend_page_input_event_handler	exact retained diagnostic symbol	0x005B5DE4	0x005B5ED2	238	c3df86175e37cd04998b160f75d0326b9aa087da50c2e58cc6cdb28f2f27e4ce	yes	dispatches tag-page input and suppresses input while animation is active
2	conversate_tag_animation_ready_callback	semantic callback label	0x005B5ED2	0x005B5EF6	36	36717cf4810ded72124c326f486c43bda236c9d2ae13b71545c14be19dc45336	no	stored UI animation callback
3	conversate_tag_animation_deleted_callback	semantic callback label	0x005B5EF6	0x005B5F1A	36	cb129a4c93b7da0a00efaa1b1210a7d91c0424ab8ea21fef311b307a49e4d683	no	stored UI animation callback
4	conversate_tag_close_timer_callback	semantic callback label	0x005B5F1A	0x005B5F44	42	6bb1e2af3dd0c5f704893568f39923e73205b34e9920315ae60714f597bf1169	no	stored close-in-X-seconds callback
5	conversate_ui_action_tag_show	exact retained diagnostic symbol	0x005B5F44	0x005B63D4	1168	90cf18b899fef19063b83c58acc6e4ac7cbaa5ea0ad3ea229da537a0d96d2956	no	builds and animates the expanded tag page
6	conversate_tag_compute_animation_rect	semantic geometry-helper label	0x005B63D4	0x005B6426	82	ef04b567dc548d59b12cc233b7e9d9764d829f0db9698a3fe25b5817cdb35333	no	called twice from tag-show/update geometry
7	conversate_ui_action_tag_update	exact retained diagnostic symbol	0x005B6426	0x005B660E	488	afaba7bf5216138cf3df5db7e11159905c0fe0b48e08a32a32b090f8c16cc305	no	stored UI action callback; updates button and auto-pop policy
8	conversate_ui_action_tag_to_main_page	exact retained diagnostic symbol	0x005B660E	0x005B664C	62	622af7bc64675c72390b403ca61b4c7eb34b5762b3fb04a7b7b912829443bb0a	no	stored page-transition callback and tracking handoff
9	conversate_tag_page_deinit	semantic cleanup label	0x005B664C	0x005B6688	60	9374f379cf7218638aadaf61eb6e436637b2afc2c4744d06e9318a08d77eade2	no	stored cleanup callback; removes page objects and state
10	conversate_ui_action_tag_manual_shrink	exact retained diagnostic behavior	0x005B6688	0x005B68D6	590	fb729719b59369b9b5e7002b3416f5245199299bd35a51805d97fa710b276e46	no	stored action callback with alternate entry at 0x005B6862
11	conversate_calculate_auto_duration_by_label	exact retained diagnostic symbol	0x005B68D6	0x005B6942	108	14b2757dfe3e41d514b585910d32db92f2d4a3f90cf4cb0d6a22d4959c2ee928	no	stored callback; returns default timeout for null label and otherwise sizes duration from label text
