# G2 charging-case per-function attribution map
# blob: blobs/official/g2-2.2.6.10/firmware_box.bin sha256=36ca0c13558f252af286ae2b36b5e576d087d21d37b15d778e7da9f502a70374
# ghidra lane: tools/ghidra_scripts/BoxExportFunctionMap.java on lorelei, Ghidra 12.1.2, ARM:LE:32:Cortex @0x08000000
# categories: generated_transport, upstream_cmsis_startup, upstream_freertos_kernel, upstream_stm32_hal, first_party_g2, device_specific_preserve, unresolved
entry	size	name	ownership_category	evidence
0x080000c0	4	FUN_080000c0	upstream_cmsis_startup	startup trampoline to runtime init
0x080000cc	34	vPortStartFirstTask	upstream_freertos_kernel	kernel-statics reference and/or banded call-graph closure from pinned port/scheduler anchors
0x080000f4	8	ulSetInterruptMaskFromISR	upstream_freertos_kernel	anchor: port helper: mrs primask/cpsid/bx
0x080000fc	6	vClearInterruptMaskFromISR	upstream_freertos_kernel	anchor: port helper: msr primask/bx
0x08000102	62	xPortPendSVHandler	upstream_freertos_kernel	anchor: exact GCC ARM_CM0 V10-line port sequence; pinned island
0x08000144	8	FUN_08000144	upstream_cmsis_startup	Reset_Handler trampoline (SystemInit -> _start)
0x08000156	2	FUN_08000156	upstream_cmsis_startup	default exception self-loop
0x08000160	44	FUN_08000160	upstream_cmsis_startup	__aeabi runtime divide leaf
0x0800018c	40	FUN_0800018c	upstream_cmsis_startup	__aeabi runtime divmod
0x080001b4	36	FUN_080001b4	upstream_cmsis_startup	__aeabi runtime helper
0x080001d8	14	FUN_080001d8	upstream_cmsis_startup	__aeabi runtime helper
0x080001e6	4	FUN_080001e6	upstream_cmsis_startup	__aeabi runtime helper
0x080001ea	18	FUN_080001ea	upstream_cmsis_startup	__aeabi runtime helper
0x080001fc	20	FUN_080001fc	upstream_cmsis_startup	__aeabi runtime helper
0x08000210	96	FUN_08000210	upstream_cmsis_startup	toolchain runtime block op
0x08000270	36	FUN_08000270	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08000294	32	FUN_08000294	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080002b4	34	FUN_080002b4	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080002d6	58	FUN_080002d6	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08000310	268	FUN_08000310	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08000420	154	FUN_08000420	first_party_g2	GLS channel writer (packer callee)
0x080004c0	168	FUN_080004c0	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800056c	158	FUN_0800056c	first_party_g2	GLS channel writer (packer callee)
0x08000610	174	FUN_08000610	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080006c4	10	FUN_080006c4	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080006d4	92	FUN_080006d4	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08000734	110	FUN_08000734	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080007a8	162	FUN_080007a8	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800085c	192	FUN_0800085c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08000928	480	FUN_08000928	first_party_g2	references G2 log/status strings
0x08000e1c	864	FUN_08000e1c	first_party_g2	references G2 log/status strings
0x080012e4	48	FUN_080012e4	first_party_g2	references G2 log/status strings
0x08001334	68	FUN_08001334	first_party_g2	references G2 log/status strings
0x080013b8	50	FUN_080013b8	first_party_g2	references G2 log/status strings
0x08001408	258	FUN_08001408	first_party_g2	references G2 log/status strings
0x08001574	508	FUN_08001574	first_party_g2	references G2 log/status strings
0x080018e4	492	FUN_080018e4	first_party_g2	references G2 log/status strings
0x08001c1c	230	FUN_08001c1c	first_party_g2	references G2 log/status strings
0x08001d68	176	FUN_08001d68	first_party_g2	references G2 log/status strings
0x08001e94	960	gls_frame_validate_dispatch	first_party_g2	references G2 log/status strings
0x080023f4	104	FUN_080023f4	first_party_g2	references G2 log/status strings
0x080024c0	104	FUN_080024c0	first_party_g2	references G2 log/status strings
0x0800258c	304	FUN_0800258c	first_party_g2	references G2 log/status strings
0x08002744	232	FUN_08002744	first_party_g2	references G2 log/status strings
0x08002888	40	FUN_08002888	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080028b4	114	FUN_080028b4	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x0800292c	114	FUN_0800292c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080029a4	88	FUN_080029a4	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08002a00	88	FUN_08002a00	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08002a5c	6	FUN_08002a5c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08002a68	140	FUN_08002a68	first_party_g2	references G2 log/status strings
0x08002b40	12	FUN_08002b40	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08002b4c	182	FUN_08002b4c	first_party_g2	references G2 log/status strings
0x08002c30	94	FUN_08002c30	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08002c8e	42	FUN_08002c8e	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08002cb8	8	FUN_08002cb8	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08002cc0	80	ota_image_be32_sum_verify	first_party_g2	references G2 log/status strings
0x08002d48	114	FUN_08002d48	first_party_g2	references G2 log/status strings
0x08002e04	172	FUN_08002e04	first_party_g2	references G2 log/status strings
0x08002edc	72	FUN_08002edc	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08002f28	30	FUN_08002f28	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08002f46	26	FUN_08002f46	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08002f60	34	FUN_08002f60	first_party_g2	OTA updater: bank-1 SN window 0x0803F800 scalar
0x08002f88	60	FUN_08002f88	first_party_g2	OTA updater: bank-1 SN window 0x0803F000 scalar
0x08002fc8	890	FUN_08002fc8	first_party_g2	references G2 log/status strings
0x080035b8	24	FUN_080035b8	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080035d4	24	FUN_080035d4	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080035f0	102	FUN_080035f0	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08003656	12	FUN_08003656	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08003664	154	FUN_08003664	first_party_g2	references G2 log/status strings
0x0800373c	206	FUN_0800373c	first_party_g2	references G2 log/status strings
0x08003848	82	FUN_08003848	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080038a0	62	FUN_080038a0	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080038e0	124	FUN_080038e0	first_party_g2	references G2 log/status strings
0x080039c8	24	FUN_080039c8	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x080039e4	24	FUN_080039e4	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08003a00	44	FUN_08003a00	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08003a30	12	FUN_08003a30	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08003a3c	32	FUN_08003a3c	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08003a60	30	FUN_08003a60	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08003a84	170	FUN_08003a84	first_party_g2	references G2 log/status strings
0x08003b90	24	FUN_08003b90	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08003bb0	16	FUN_08003bb0	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08003bc8	76	FUN_08003bc8	first_party_g2	references G2 log/status strings
0x08003c2c	176	FUN_08003c2c	first_party_g2	references G2 log/status strings
0x08003d24	258	FUN_08003d24	first_party_g2	references G2 log/status strings
0x08003e90	4	FUN_08003e90	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08003e94	16	FUN_08003e94	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08003ea8	18	FUN_08003ea8	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08003ec0	10	FUN_08003ec0	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08003ed4	20	FUN_08003ed4	unresolved	no kernel-statics/HAL/string/descriptor evidence
0x08003eec	36	FUN_08003eec	unresolved	no kernel-statics/HAL/string/descriptor evidence
