# SPDX-License-Identifier: MIT
category	bytes	address_set_sha256	content_sha256	owner_or_category	license_status	unresolved_sub_boundary	evidence
generated_transport_fill	512	6d5df9a2149ab8e24603089055e83b49e09c34bf6b71d7e7580d76ea7cca2c04	12c8caffabfb338fd966373fa99d8033593cde3ba78c9b0526b66ae1a022751d	deterministic FWPK/fill/checksum framing	MIT reconstruction	none	authenticated generated transport and fill regions
project_source_candidate	14510	ab7fbcdd8d7aa5d6a8f974f14a75eca3041689315410350d2337a309ff81277b	36de6cf8b2b435167383990f4afe100f970959aa5607a36e233dc9a7812cac13	semantic stock-address candidate union with mixed source routes	MIXED semantic routes: MIT; MIT OR GPL-3.0-only; Apache-2.0; stock-byte authority NOASSERTION	semantic candidate only; not production ELF ownership	disjoint route/license detail in g2-touch-final-source-candidate-provenance.tsv
typed_code_capsense_cat2_mixed_provider	7000	1a0ed3dec4e56a57ed002632a80920693c212c87b2ca48b974b488efebd0845e	47ce4db24d3f72b1cb9176a7a98ea9be08391d38b1b4af675574e6048a055e60	Infineon CapSense/CAT2 mixed provider	EULA-or-Apache-2.0 unresolved	exact producing provider and redistribution authority remain unresolved	disjoint authenticated Touch blob-byte address set
typed_code_owner_unresolved	6686	af3091c7017a1563f0d5ca27f28ca1ea3f8cc8216eab78a0f01e144c45fda606	1e17c02ffe50740be9a06dc1c2a85494105de580579e84a269e5feceaf6bb332	expanded CFG/dispatch complement without a surviving owner row	NOASSERTION	semantic source admission does not establish stock-address ownership	disjoint authenticated Touch blob-byte address set
typed_code_referenced_literal_data	1924	5369d9537725e24da040339633a700a2232581059f3f0d713eb8fcf102b1240f	8d5795d06d4cb1b2082d988e2ebc0a22bf25819a98867aec0e00f1f811378bf0	PC-relative literal pools	NOASSERTION	value ownership and replacement mapping remain unresolved	disjoint authenticated Touch blob-byte address set
typed_code_residual_arch_nop_padding	8	0579912e3bb1e0b87a4d9de6f948e26c6d56975c4f0cb1ff0f9ec45b0eb2fa10	0fbf3781a949ae1c40a167e8b22998fc9b6135f6d0135f97da55de21d94f0b01	Thumb architectural NOP padding	reconstructible semantics; stock authority unresolved	stock-byte redistribution authority remains unresolved	disjoint authenticated Touch blob-byte address set
typed_code_residual_legacy_nop_padding	126	314ae4d223238af569c213da9673b572ab64af7c5b6549f863b1fca9bc311e0f	ce9feda3cee7af78db19513116d9f98419f1fc6d421c618e5b56fecb26e16c0e	Thumb legacy NOP padding	reconstructible semantics; stock authority unresolved	stock-byte redistribution authority remains unresolved	disjoint authenticated Touch blob-byte address set
typed_code_residual_return_tail	4	0ef797118d10e64841e083a30297e4790275768af52293572c502b94b84bdc76	fd7165fc6672b624f26b42214654f5e37cadfc0f97f94634045b87ad1f4a4704	bounded Thumb return tails	NOASSERTION	function ownership outside admitted source remains unresolved	disjoint authenticated Touch blob-byte address set
typed_code_residual_typed_data	60	ee1a6e551feb39613a7bbfff6bb792fb71092fb53c6ca84fb82e18031097c813	5f501de9a210f45100741ec470062dc77ae2baa84d44b92db7f423f2534bd49d	bounded in-code data/reference spans	NOASSERTION	data owner and source replacement remain unresolved	disjoint authenticated Touch blob-byte address set
typed_code_residual_zero_halfword_alignment_or_data	46	8d65e1c52d726683040b2d90d1f3252a7f0c9e5393f09b9c8ee2828396d91f61	878f32f76b159494f5a39f9321616c6068cdb82e88df89bcc739bbc1ea78e1f9	zero halfwords	NOASSERTION	alignment-versus-data semantics remain intentionally unresolved	disjoint authenticated Touch blob-byte address set
typed_noncode_vectors	192	c464919fd01e3bed30d93c7dcba7b77e91b5125acd8b16ebd71a5dc8ab536d5a	62575e83fb7b4718742d51d7b5e007ef00a51604b7ed801f4e59a748956e8261	ARMv6-M vector table	external startup/provider boundary	production vector ownership and routing remain unresolved	disjoint authenticated Touch blob-byte address set
typed_noncode_strings	1640	e46560b2a7b22ee577e91f60a48f55e43eaa2be38b430c6e310efe2cf96d5cfd	73fc960cd33e4d9ef33451d5d835c35fcb7e169804e9ee672014e138c599a941	retained EasyLogger/product strings	NOASSERTION	string redistribution and source replacement remain unresolved	disjoint authenticated Touch blob-byte address set
typed_noncode_config_and_tables	1756	b7c123789f2cc75814a67a5047fb5bc79472b298f847e26b5d1c1a50601e5975	45bdaf7cd9941d4cdff23253d2f60c195a1b1534cb070646cf5d16bb404217a3	resident configuration and tuning tables	external resident/provider boundary	table schema, ownership, and production source mapping remain unresolved	disjoint authenticated Touch blob-byte address set
