recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ingress	evidence
1	_bleAdvInit	exact retained function string and prior-G2 symbol	0x0046DB04	0x0046DC14	272	b35688daf7cddb64110204d5f0706503f2cd6c846d1f5bab6aa6d71e22ef51e2	yes	one internal direct BL site	selects product-test indefinite fast advertising or normal 30-second fast-to-slow advertising policy
2	_blePsnIntoADV	exact retained function string and prior-G2 symbol	0x0046DC14	0x0046DC74	96	fc297365da88c6bd3f40b0dea74754162a3761ed75631b6cfda9e0532c8bbc3f	yes	one internal direct BL site	encodes the product serial number into advertising data
3	dmSlaveAdvFormatData	prior-G2 exact ordered symbol and stable behavior	0x0046DC74	0x0046DCA4	48	2a98f83e5ca752974d0c971df73f682990ba4c651d32199d62efb96ed55cc2f7	no	one internal direct BL site	formats slave advertising data through the Cordio DM provider
4	dmSlaveAdvSetScanRsp	prior-G2 exact ordered symbol and stable behavior	0x0046DCA4	0x0046DCCC	40	3d6140a7045dbb8856a9e550cc5464f891dbd66e6f78d3742fdcb8185e2463cd	no	one internal direct BL site	sets the Cordio DM scan-response payload
5	ble_Slave_handler_1	prior-G2 exact ordered symbol and stable callback behavior	0x0046DCCC	0x0046DD44	120	8f47421cf8f3f49bf6c465a082a07c18fbf0799e496b107a991f69adbfa2a3f8	no	one internal direct BL site	dispatches the first slave advertising callback path
6	_bleAdvNameSet	exact retained function string and prior-G2 symbol	0x0046DD44	0x0046DE78	308	0d6eb9fc9f2dc78ca960023d184efbe0620cc28b2a07a998f979ed482897a54b	yes	one internal direct BL site	constructs versioned advertising name and address fields
7	appSlaveConnOpen	prior-G2 exact ordered symbol and stable open behavior	0x0046DE78	0x0046DEDC	100	d0daba52952f843edf0dd356fce13428735b6eff2a7d618bd6ba236854c53445	yes	one internal direct BL site	publishes slave connection-open state and initializes negotiated MTU bookkeeping
8	_bleSlaveRequestMtuExchange	exact retained function string and prior-G2 symbol	0x0046DEDC	0x0046DF7E	162	3a2793d473447671ddf6bf6e37185de7f4ee85bb9e0024528fa5a383ccab95d8	yes	one internal direct BL site	requests the configured ATT MTU and records the current negotiated value
9	_bleSlaveSecReq	exact retained function string and prior-G2 symbol	0x0046DF7E	0x0046DFD0	82	8f66098193f9b1fa948aeda76e5e81b5ffef06e94d0a829ca0fcf42a5ef33395	yes	one internal direct BL site	issues slave security request policy for the active connection
10	dmSlaveAdvStopOnDisconnect	prior-G2 exact ordered symbol and stable callback behavior	0x0046DFD0	0x0046DFE8	24	08336cdd7ce7a39264e8739a9568152206eb07323dfd361faf22961714c3bcc1	no	one internal direct BL site	stops advertising after the selected DM disconnect condition
11	_bleSlaveProcMsg	exact retained function string and prior-G2 symbol	0x0046E098	0x0046ECFA	3170	a39f56c935c1c1c411ab04ec6cdb59572b256447e11f3ec401367c51f332eb43	yes	one internal direct BL site	dispatches DM ATT and application events for advertising connection security role and notification policy
12	APP_BleNameGet	exact retained function string and prior-G2 symbol	0x0046ED08	0x0046ED5A	82	6a764cbd097dff54cd549754995ee42a9532ffda469b942d5dbe6c829b4d2f85	no	five external direct BL sites	returns the current advertising name with diagnostics
13	APP_SlaveHanderInit	exact retained misspelled function string and prior-G2 symbol	0x0046ED94	0x0046EE56	194	7c14b711b1fc57b826251b9c2b7d2af258245932476c583af150d46b221e3940	yes	one external direct BL site	binds slave state and initializes OTA EUS connection-parameter EFS NUS and ANCC handlers
