recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ingress	evidence
1	even_ai_common_timer_mgr_deinit	exact retained diagnostic symbol	0x004E2E10	0x004E2E62	82	9a0c8dc7e43ea2c10e53ff31522fc8d4e250f83c5a05c0ee4d9cf6415958e5d1	yes	BL sites at 0x004E3196 and 0x004E5E2A	clears the common timer state and armed flag, then emits the retained deinit diagnostic
2	even_ai_common_timer_mgr_start	semantic behavior label	0x004E2E62	0x004E2E86	36	aa4291cb1b37edaba4347385351c425a15d0141de87ede1674a05c36a494694d	no	seven direct BL sites including 0x004E31A2	on the accepted device role, records osKernelGetTickCount, the requested interval, state 1, and armed 1
3	even_ai_common_timer_mgr_stop	exact retained diagnostic symbol	0x004E2E86	0x004E2ED2	76	2b7d2b1514e770ea16d2452f108c4ef522a6e7bf0755fb35d958df8951687f80	no	BL sites at 0x004E2290,0x004E22B8,0x004E2F40	clears common state and armed flag, then emits the retained stop diagnostic
4	even_ai_common_timer_mgr_check_timeout	semantic behavior label	0x004E2ED2	0x004E2EFE	44	7d064b5f5c3e59db9515c4cc18e466c1eba0e34dad3bccbb93dfc0e6e6ca5844	no	BL at 0x004E31B2	uses unsigned tick subtraction; on expiry sets state 2, disarms, and returns true
5	even_ai_common_timer_mgr_process_timeout	exact retained diagnostic symbol	0x004E2EFE	0x004E3006	264	b710e646ec5b1c1a8326d33d2b4ae909e733c68e2a3e6e7bc1c245a01d530a9c	no	BL at 0x004E31BA	stops an expired common timer and applies the first-party EvenAI state, service-control, and sync-notification policy
6	even_ai_heartbeat_timer_mgr_deinit	exact retained diagnostic symbol	0x004E3006	0x004E304C	70	a9956d5a6f7a735fb52ef339b6fee90dc6a4055a09d1f144bff4db63d452204f	no	BL at 0x004E319A	clears heartbeat state and armed flag, then emits the retained deinit diagnostic
7	even_ai_heartbeat_timer_mgr_start	semantic behavior label	0x004E304C	0x004E306E	34	27d876e6f47cc3aa6cf42c416f11019dcb9748cb0e8d5aa599b85b5dc1b3a637	no	BL sites at 0x00497EAC and 0x004E31AA	on the accepted device role, records osKernelGetTickCount, the requested interval, state 1, and armed 1
8	even_ai_heartbeat_timer_mgr_stop	exact retained diagnostic symbol	0x004E306E	0x004E30B4	70	d4eddb7e2bbf7352026cd2622bdd34c6c5ea0f83db220544d44bae996fbd418a	yes	BL at 0x004E3122	clears heartbeat state and armed flag, then emits the retained stop diagnostic
9	even_ai_heartbeat_timer_mgr_check_timeout	semantic behavior label	0x004E30B4	0x004E30E0	44	399e59d5bec8618460bc35dfbd426b0dd5e6e200a54860b19d711830571da4f7	no	BL at 0x004E31BE	uses unsigned tick subtraction; on expiry sets state 2, disarms, and returns true
10	even_ai_heartbeat_timer_mgr_process_timeout	exact retained diagnostic symbol	0x004E30E0	0x004E3130	80	d4ba5eb4b23f76d9f5ee477d57b6dfe037fe1f8d2820bbf57bf73dbc90bba5c9	no	BL at 0x004E31C6	logs an expired heartbeat, stops it, and sends first-party EvenAI control command 3 with value 0
11	even_ai_timer_deinit_all	semantic aggregate-wrapper label	0x004E3194	0x004E31A0	12	eb21b16ef8ff159501f0ba2183731f0b6d784da72446e772d4022148dc812924	no	BL at 0x004E2D2C	deinitializes the common and heartbeat records
12	even_ai_timer_start_all	semantic aggregate-wrapper label	0x004E31A0	0x004E31B0	16	0e5e5e8a6d9b2389dbc2e552ae9e46fffff7cd428ca48686a3517a2b50cd83c3	no	eight direct BL sites in even_ai.c	starts the common timer with the caller interval and heartbeat with fixed interval 10000
13	even_ai_timer_process_all	semantic aggregate-wrapper label	0x004E31B0	0x004E31CC	28	fbc270916eda4eb2cf7d5de22aadc8caefa8ac63960f0f13a80fb2ad8f0956c6	no	BL at 0x004E2CC0	checks and conditionally processes both timers
