kind	name	start	end	size	sha256	disposition	provider	license_status	evidence
function	am_hal_mspi_blocking_transfer	0x004262e0	0x004263e0	256	e8660331ae3b0116772257c68dc85cd3dca8616978014351c6cdca3e417dcfec	dual_profile_production_source	AmbiqSuite Apollo510 C	BSD-3-Clause	validated handle guards, FIFO dispatch, completion polling, interrupt preservation, three reviewed relocations, and canonical provider bytes
unreachable_tail	am_hal_mspi_blocking_transfer_stock_tail	0x004263e0	0x0042644c	108	87f7deeb376def9dc9183a17a119e755a49be7263b7a9a721406862e72c19dfc	authenticated_unreachable_official	stock firmware	firmware provenance	source function returns before tail; no external wide branch or stored Thumb entry in either canonical provider
retained_data	transfer_alignment	0x0042644c	0x00426450	4	ef687e2efa23e1e75be3a54e35142aa695c2c26028fdc627285ed6535eada977	authenticated_alignment	stock firmware	firmware provenance	bounded alignment word
function	am_hal_mspi_interrupt_enable	0x00426450	0x0042647c	44	b19a4d2921f5307882c737a6b50a7d27f39317c3b704a702b39e2f40410155e2	dual_profile_production_source	AmbiqSuite Apollo510 C	BSD-3-Clause	handle guard and INTEN OR
unreachable_tail	am_hal_mspi_interrupt_enable_stock_tail	0x0042647c	0x00426484	8	95f1b19d4d488b37fd91939552d88e79d1361f2f99f005c937e1d178aadd4256	authenticated_unreachable_official	stock firmware	firmware provenance	source return is pinned; no external entry evidence
function	am_hal_mspi_interrupt_disable	0x00426484	0x004264b0	44	930c26c26b7257d53dc5073812cca64b089f577ed8bd432c0469a210555fc166	dual_profile_production_source	AmbiqSuite Apollo510 C	BSD-3-Clause	handle guard and INTEN mask clear
unreachable_tail	am_hal_mspi_interrupt_disable_stock_tail	0x004264b0	0x004264ba	10	2cbb69478279294d28007dbc24297342156d44c2c3561c7ed01387394af482e8	authenticated_unreachable_official	stock firmware	firmware provenance	source return is pinned; no external entry evidence
function	am_hal_mspi_interrupt_status_get	0x004264ba	0x004264f6	60	778b82cd9548a726f3430ef90b5922c734d7723a6b8a6bac50641bc72724aefc	dual_profile_production_source	AmbiqSuite Apollo510 C	BSD-3-Clause	raw and enabled-only INTSTAT reads at authenticated halfword entry
unreachable_tail	am_hal_mspi_interrupt_status_get_stock_tail	0x004264f6	0x00426506	16	d23bae4506efde890d16f3ac9dbf8753b6970db0c5854c39280dbbb30c8a0eab	authenticated_unreachable_official	stock firmware	firmware provenance	source return is pinned; no external entry evidence
next_source	am_hal_mspi_interrupt_clear	0x00426506	0x00426536	48	-	already_production_source	clean-room C entry replacement	MIT	next entry is already source-routed
hardware_validation	blocked by unavailable physical evidence	-	-	0	-	software_only	future authorized G2 qualification	project evidence gate	directed FIFO, interrupt, timing, flash-bus, and cold-boot testing remains blocked by unavailable physical evidence
