index	name	identity	entry	end_exclusive	size	sha256	path_anchor	direct_entry_callers
1	semantic_CodecLoadFirmwarePackage	semantic	0x00577D7C	0x00578530	1972	1e7cd6eea53b6a79aff2beb6ef7df4c9d2eb16d063e9a08da3213b7fc27392a2	true	1
2	semantic_CodecFreeFirmwareBuffers	semantic	0x00578530	0x0057856C	60	43348673cc5444fc63a3e428a1fdc394beba976597f572b916ea72d600812c70	false	1
3	semantic_CodecFormatVersion	semantic	0x0057856C	0x005785A2	54	85d8a83fcde5f6516538c0afe3d43be038908f7c57ba155bc07b24b72afe0059	false	2
4	semantic_CodecParseVersionBytes	semantic	0x005785A2	0x005785CA	40	acad3bb8cde136c061dbf9857c3f81c76dcf4e3df2914be20a3f562e9a4223ff	false	1
5	semantic_CodecGetPackageVersion	semantic	0x005785CA	0x005787D4	522	e85ac129bbd1d1fc9a2d35f8260a4c7a3a2d7c0349d099822fc1478f0b9631ba	true	1
6	semantic_CodecValidateFirmwareHeader	semantic	0x00578810	0x00578A66	598	fb8bb2df0fe6790fefa21f73b446f981631cebca1f4d5c37606d22e5cf074688	true	1
7	semantic_CodecHostIsLittleEndian	semantic	0x00578A6C	0x00578A86	26	f8c435524d0ee4894afc1e7d1fdc4c8eb71382d8ccbdb47c8c0457e3cb5ba080	false	1
8	semantic_CodecByteSwap32	semantic	0x00578AAC	0x00578AC8	28	80e8f54f02e511c3de15033513b2c4feb8c1681e4c5810d145ea6b444102067e	false	1
9	semantic_CodecHostToBigEndian32	semantic	0x00578AC8	0x00578AE0	24	e672f19553e472cc6b425f416b5455ca03b12412ab3df777f64f42ab4ac4bcb6	false	4
10	semantic_CodecWaitForUartToken	semantic	0x00578AE0	0x00578B70	144	3cfa5dfcac16c60cabeb2201cd79659fad93f3844e42452c2b36ba2206d9a5f6	false	12
11	semantic_CodecReadBootHeader	semantic	0x00578B70	0x00578C4A	218	a37b7604536003166b505617f99fc765dc9a9dc2ef4d0f530766966bc0a55d36	true	1
12	semantic_CodecDownloadBootStage1	semantic	0x00578CA4	0x00579124	1152	0cf370959154fda10e8ea73bc67c6b2bc46fc9a6fd3ae9d1f0e1e6695ea6881f	true	1
13	semantic_CodecDownloadBootStage2	semantic	0x005791A0	0x00579638	1176	3e337cfbb855b582f38ec1e6e438e0d91d2bb0db70f0a823e1b300bbd74a7af4	true	1
14	semantic_CodecFlashImage	semantic	0x005796C8	0x00579C6A	1442	83087762b46b263aec06b467c207ce3124461e909287ba6e74e9742e0ed5cbaf	true	1
15	SVC_CodecDfu	exact	0x00579CBC	0x00579F50	660	fe3953658cadaa840529f7126d10656f00811589690bbf50ad008229d06060f3	true	1
16	SVC_CodecCheckAndUpgrade	exact	0x00579FB8	0x0057A360	936	78bc3006942425f0f4925006bfe457da88fba736a034cb83468985c610d029ce	true	4
