source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r44_lines	r44_body_sha256	ingress
1	hciCoreInit	linked	0x00530C00	0x00530C08	8	d0fa7a540192858be06698d37c47ef3a72d02da2949500461814ae6342d405d9	45-48	a0cc0b91d2b798152e182b9c0b44bbc2eb28d1581937f9e81def46ed2d34c150	direct call from HciCoreInit
2	hciCoreNumCmplPkts	linked	0x00530C08	0x00530C88	128	7a8701e6d7a9448d76da827c6be036ab15e3f9a0bd6bedea29eadf9118da0788	61-101	f36370032b275c459ad27d82d203c2400f15400792596fd40ab4d7d1e0380ab7	direct call from HCI event dispatcher
3	hciCoreRecv	linked	0x00530C88	0x00530CB2	42	27568db8e97efb2fc06b2655fb6a1689937b5178fa516936ec8924c06ce9125b	115-137	0f07b487e0a3fc99f597cdc66e1043b8843a25c3ff8dbbb7e5082d58eaf2ce32	direct call from HCI transport
4	HciCoreHandler	linked	0x00530CB2	0x00530D30	126	dab017ce34b8adcfa6836329f9147b65e7bdacb3cff68be2c0add5c3d8b614da	151-212	e44acc127a4153ffd8a0902172c8218b252b87ee1c22e94208d1233dd59b6f58	direct call from WSF handler wrapper
5	HciGetBdAddr	linked	0x00530D30	0x00530D34	4	642d28e6721b3d2138cfe1588becc018d20393ed4837f1bbb43f0bcea5bf4f4d	223-226	7d60b19944733cbe6d2d33c0855fd3e725ffa23cbc338773a492ce3b35e32e64	two direct calls
6	HciGetWhiteListSize	source_only			0		237-240	240cd0f07031abd6dd567cf1464b9430868f5eb3b022655a330310e0ed5f57a3	no body caller or pointer
7	HciGetAdvTxPwr	source_only			0		251-254	28de5e16c7cd92cf4898f6a5aa959647c5d916cc32dad2a945bac4539e286634	no body caller or pointer
8	HciGetBufSize	linked	0x00530D34	0x00530D3C	8	72440373c4be43d5c0a923441430b1041c644358f0bb5d8ad17b7b083655c5f4	265-268	74af8645b2e22dd0335df529a4d906e6889b1c49d097fd40eb92972d2957b945	four direct calls
9	HciGetNumBufs	source_only			0		279-282	43cf0b968fa994ea073b000f9f4930d5fcef64b5c0da50232c9e9253e94acbf3	no body caller or pointer
10	HciGetSupStates	source_only			0		293-296	59da87d64e5be5335065f868775f476b13069e105b8ab8d321d5a50c51837ade	no body caller or pointer
11	HciGetLeSupFeat	linked	0x00530D3C	0x00530D4C	16	2e333882f519bc7babbf7cb78fd1ed3803f2743875dc77b7b4829da47a99af2b	307-312	32b9cff19c4a7f105c6fcd56c4d51269adb8012094ba6455f4de11e6c25efe75	direct call from SMP capability path
12	HciGetMaxRxAclLen	linked	0x00530D4C	0x00530D54	8	7823413c79da637fa996a5bd63c3547f2591aaeb15d7fe3dee38f9b888fa8c46	323-326	9cb0f2206c1c2563a1cf952c9ad0e606c84d62cdb1c844dc416812b9086c5477	nine direct calls
13	HciGetResolvingListSize	source_only			0		337-340	546698e70c0a5ba0e3ab26ec5be5dcb4cac383e27a9980010b27df19c8b05f1a	no body caller or pointer
14	HciLlPrivacySupported	source_only			0		351-354	7bad37d7ec64a3bf7666841acca794843d3cf454dd15f1f94825dbaa2d4f2980	no body caller or pointer
15	HciGetMaxAdvDataLen	source_only			0		365-368	842091f5a624cf32a228447b743b8ef5d427cc2eb7b342e4c14189c5ba3d9182	no body caller or pointer
16	HciGetNumSupAdvSets	source_only			0		379-382	9b91b2b6e957a331f78830edafb951f9cc0ef8e1defa6a272fdb3fa2db5212e5	no body caller or pointer
17	HciLeAdvExtSupported	linked	0x00530D54	0x00530D68	20	91e1ec060be265ecd3004b48944fbdb3015514a32d86f3a75374c2fbfb1a7caf	393-396	461b4545af427a1aceadf58bf21ac2e21e43060ec9ea76a7dc12c6adeb270f98	direct call from advertising setup
18	HciGetPerAdvListSize	source_only			0		407-410	fb4afb2d740663f435ff94cf1d4ba257931acdccb1755d4a36e5ca509fe9f8f2	no body caller or pointer
19	HciGetLocalVerInfo	source_only			0		419-422	65123aff3808ad8544e849381189a899c0e13ade655d7e971bd8b7e8f984359a	no body caller or pointer
20	HciGetLeSupFeat32	source_only			0		431-434	7b31a29105f52e9e8dde29a7eacce9452bd40c07218ff4bd8d51c0e2902f8aad	no body caller or pointer
