recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	ingress	evidence
1	threadBleWsfTask	inferred from task-entry ABI	0x004D0A4C	0x004D0A68	28	212af394032df8abae02bbdecc982905309fc63478aa0c590e05ec63eca1a98f	stored Thumb pointer 0x004D0CF8	calls lifecycle hooks and appBleStart then dispatches WsfOsDispatcher forever
2	threadBleWsfStart	inferred semantic name	0x004D0A68	0x004D0A70	8	0f67a90b5f86e6f08ad48153e5379562cc2e34454b76e5c9fdf25d0de1e3817d	direct BL at 0x004D0A56	one-call appBleStart wrapper
3	_thread_resource_init	exact retained symbol string	0x004D0A70	0x004D0AE0	112	13d7c0fe434b5f98ff72c255cfaabca64257f6395e81430419c2728455aa3d7a	direct BL at 0x004D0A52	creates max-count-one initially-available semaphore; fatal on failure; retained path and line 108
4	threadBleWsfLoopInit	inferred lifecycle role	0x004D0AE0	0x004D0AE2	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	direct BL at 0x004D0A5A	no-op lifecycle hook retained by object linkage
5	threadBleWsfEnter	inferred lifecycle role	0x004D0AE2	0x004D0AEC	10	c324ea6fd1d7bca8c1bcb61f5048ee346f97f665c63bffa57ad8bbc52849f7be	direct BL at 0x004D0A4E	enters product task lifecycle state 9
6	threadBleWsfReady	inferred lifecycle role	0x004D0AEC	0x004D0AF6	10	6f42cf1049dc9a1ff119de4bc5269cf5ef4ad6ceca3d7cd56bf34246143751e6	direct BL at 0x004D0A5E	marks product task lifecycle state 9 ready
7	threadBleWsfInit	inferred public lifecycle name	0x004D0AF6	0x004D0B1C	38	1e43ba9e9c0aacb205409392d2c963d6eb2d30554d96febb96b6d9cfbc685de9	no direct or stored ingress found	creates static CMSIS-RTOS2 thread from task entry and attributes; fatal on failure
8	threadBleWsfDeinit	inferred public lifecycle name	0x004D0B1C	0x004D0B36	26	a14fb6c1d8ad086fd051734b88bde37423c8690d4a345fe29facf89282e5552b	no direct or stored ingress found	deinitializes shared resource then terminates and clears thread handle
9	threadBleWsfTakeTxReady	inferred private semaphore helper	0x004D0B36	0x004D0B64	46	bebc400de5be8b2d37039b6ed7e9a2d3a02739541f98f1f2a5046f5a21869c98	direct BL at 0x004D0B72; 0x004D0B88; 0x004D0C30	acquires semaphore with uint16 timeout and normalizes CMSIS status to boolean
10	thread_ble_wsf_wait_tx_ready	exact retained symbol string	0x004D0B64	0x004D0C2C	200	3a213ff23a1f6a470149f8aca60d7fccd5af2ffb27bf11e388ea6646c19f344e	direct BL at 0x004BDD96; 0x004BE0A8; 0x004BE5F0; 0x004BE90A; 0x004C4BFE	nonblocking take then at most twenty ten-tick waits plus ten-tick delays; retained lines 211 and 217 diagnostics
11	threadBleWsfWaitOnce	inferred one-shot public wrapper	0x004D0C2C	0x004D0C36	10	b90ccc851d1ba4063be591d8c122082647ee34c9f4b442ea42fd1834302d7fcb	direct BL at 0x00475402	forwards uint16 timeout to private acquire helper and returns boolean
12	thread_ble_wsf_tx_complete_notify	exact retained symbol string	0x004D0C36	0x004D0CDC	166	ccc45829df3264820dc0de6fb1fdbe1e3cb1119cd6706313323e8a5818075fe3	13 direct BL sites listed in closure manifest	releases semaphore only when count is zero; diagnoses release failure or already-full state at lines 242 and 245
