symbol	provider	closure_probe
BdaIsZeros	WSF BDA utility	resolved_by_local_stub
Calc128Cpy64	WSF 128-bit utility	resolved_by_local_stub
DmConnIdByHandle	DM connection API	resolved_by_local_stub
DmConnLocalAddr	DM connection API	resolved_by_local_stub
DmConnLocalAddrType	DM connection API	resolved_by_local_stub
DmConnLocalRpa	DM connection API	resolved_by_local_stub
DmConnPeerAddr	DM connection API	resolved_by_local_stub
DmConnPeerAddrType	DM connection API	resolved_by_local_stub
DmConnPeerRpa	DM connection API	resolved_by_local_stub
DmConnRegister	DM callback registration	resolved_by_local_stub
DmConnRole	DM connection API	resolved_by_local_stub
DmSmpCbackExec	DM SMP callback bridge	resolved_by_local_stub
L2cDataReq	L2CAP data provider	resolved_by_local_stub
L2cRegister	L2CAP callback registration	resolved_by_local_stub
SecAes	security AES provider	resolved_by_local_stub
SecRand	security random provider	resolved_by_local_stub
SmpDbGetFailureCount	SMP pairing database	resolved_by_local_stub
SmpDbGetPairingDisabledTime	SMP pairing database	resolved_by_local_stub
SmpDbInit	SMP pairing database	resolved_by_local_stub
SmpDbService	SMP pairing database	resolved_by_local_stub
SmpDbSetFailureCount	SMP pairing database	resolved_by_local_stub
WsfBufFree	WSF buffer manager	resolved_by_local_stub
WsfMsgDataAlloc	WSF message allocator	resolved_by_local_stub
WsfMsgDeq	WSF message queue	resolved_by_local_stub
WsfMsgFree	WSF message allocator	resolved_by_local_stub
WsfMsgSend	WSF message sender	resolved_by_local_stub
WsfTimerStartMs	WSF timer provider	resolved_by_local_stub
WsfTrace	WSF trace provider	resolved_by_local_stub
memcpy	C runtime memory provider	resolved_by_local_stub
memset	C runtime memory provider	resolved_by_local_stub
secCb	security control block	resolved_by_local_stub
smpSmExecute	SMP state machine	resolved_by_local_stub
