stock_start	stock_end_exclusive	path_anchored	ghidra_discovered
0x004ED7D8	0x004ED80A	no	yes
0x004ED80A	0x004ED81C	no	yes
0x004ED81C	0x004ED824	no	no
0x004ED824	0x004ED868	no	yes
0x004ED868	0x004ED882	no	yes
0x004ED882	0x004ED9B6	yes	yes
0x004ED9B6	0x004EDA72	yes	yes
0x004EDAC4	0x004EEAA6	no	yes
0x004EEADC	0x004EEBDC	no	yes
0x004EEBDC	0x004EEF38	yes	yes
0x004EEF7C	0x004EF988	no	yes
0x004EF9A4	0x004EFA50	yes	yes
0x004EFA78	0x004EFC96	no	no
0x004EFCB8	0x004EFEAC	yes	yes
0x004EFEB0	0x004EFEE8	no	no
