scope	symbol	status
wsf_os	WsfMsgDeq	external
wsf_os	WsfMsgFree	external
wsf_os	WsfTimerServiceExpired	external
wsf_os	WsfTimerUpdateTicks	external
wsf_os	memset	external
wsf_os	vPortYield	external
wsf_os	xEventGroupCreate	external
wsf_os	xEventGroupSetBits	external
wsf_os	xEventGroupSetBitsFromISR	external
wsf_os	xEventGroupWaitBits	external
wsf_os	xPortIsInsideInterrupt	external
wsf_queue	WsfCsEnter	resolved_by_wsf_os
wsf_queue	WsfCsExit	resolved_by_wsf_os
combined_modules	WsfMsgDeq	resolved_by_closure_stub
combined_modules	WsfMsgFree	resolved_by_closure_stub
combined_modules	WsfTimerServiceExpired	resolved_by_closure_stub
combined_modules	WsfTimerUpdateTicks	resolved_by_closure_stub
combined_modules	memset	resolved_by_closure_stub
combined_modules	vPortYield	resolved_by_closure_stub
combined_modules	xEventGroupCreate	resolved_by_closure_stub
combined_modules	xEventGroupSetBits	resolved_by_closure_stub
combined_modules	xEventGroupSetBitsFromISR	resolved_by_closure_stub
combined_modules	xEventGroupWaitBits	resolved_by_closure_stub
combined_modules	xPortIsInsideInterrupt	resolved_by_closure_stub
linked_closure	(none)	zero_undefined_all_13_configs
