# Direct callees reached from the seven recovered task/timer entries
entry	name	ownership_category	task_caller_count	task_callers
0x08000160	__aeabi_uidiv	upstream_cmsis_startup	2	0x08007200,0x08007f2c
0x0800085c	gls_rx_buffer_parse_dispatch	first_party_g2	1	0x08006e1c
0x080012e4	aging_led_status_clear	first_party_g2	3	0x08006e1c,0x08007200,0x08007f2c
0x08001334	aging_sequence_start	first_party_g2	1	0x08007f2c
0x080013b8	idle_mode_exit	first_party_g2	1	0x08007200
0x08001574	case_ota_execute	first_party_g2	1	0x08007200
0x080018e4	glasses_status_poll_dispatch	first_party_g2	1	0x08007200
0x08001c1c	glasses_status_force_refresh	first_party_g2	1	0x080082ec
0x08001d68	ota_result_inform_glasses	first_party_g2	1	0x08007200
0x08001e94	gls_frame_validate_dispatch	first_party_g2	2	0x08006e1c,0x08007200
0x080023f4	aging_status_set_left	first_party_g2	2	0x08006e1c,0x0800b7ec
0x080024c0	aging_status_set_right	first_party_g2	2	0x08006e1c,0x0800b7ec
0x0800258c	gls_uart_transfer_controlled	first_party_g2	2	0x08006e1c,0x08007200
0x08002744	gls_uart_transfer_uncontrolled	first_party_g2	1	0x08006e1c
0x08002a68	pmic_boost_status_check	first_party_g2	1	0x08007f2c
0x08002c30	peripheral_mode_write_retry	first_party_g2	2	0x08007200,0x08007f2c
0x08002c8e	glasses_channel_command_pack	first_party_g2	2	0x08007200,0x08007f2c
0x08002cb8	case_periodic_policy_adapter	first_party_g2	1	0x08007200
0x080035d4	peripheral_transaction_guard	first_party_g2	2	0x08007200,0x08007f2c
0x08003848	glasses_charge_side_select	first_party_g2	1	0x0800bb90
0x080038e0	option_byte_bank_swap	first_party_g2	1	0x08007200
0x080039c8	left_channel_transaction_guard	first_party_g2	1	0x08007f2c
0x080039e4	right_channel_transaction_guard	first_party_g2	1	0x08007f2c
0x08003a00	glasses_charge_state_reset	first_party_g2	1	0x08007200
0x08003a3c	left_glasses_state_reset	first_party_g2	1	0x08007200
0x08003a60	right_glasses_state_reset	first_party_g2	1	0x08007200
0x08003b90	peripheral_status_probe	first_party_g2	1	0x08006e1c
0x0800502c	NVIC_SystemReset	upstream_cmsis_startup	2	0x08006e1c,0x0800b7ec
0x08005094	HAL_PWR_DisableWakeUpPin	upstream_stm32_hal	2	0x08007200,0x08007f2c
0x080050a8	HAL_PWR_EnableWakeUpPin	upstream_stm32_hal	2	0x08007200,0x08007f2c
0x080050c4	HAL_PWR_EnterSTANDBYMode	upstream_stm32_hal	2	0x08007200,0x08007f2c
0x080050e8	HAL_PWR_EnterSLEEPMode	upstream_stm32_hal	1	0x08007200
0x0800598c	stm32_hal_peripheral_init	upstream_stm32_hal	1	0x08007200
0x080067c8	log_hex_buffer	first_party_g2	1	0x08006e1c
0x080068d0	case_command_build_fixed	first_party_g2	1	0x08007200
0x08006b80	case_gpio_pa6_write	first_party_g2	4	0x08006e1c,0x08007200,0x08007f2c,0x08009d70
0x08006b98	case_gpio_pa7_write	first_party_g2	3	0x08006e1c,0x08007200,0x08009d70
0x08007214	case_policy_iteration	first_party_g2	1	0x08007200
0x08009170	g2_log_printf	first_party_g2	7	0x08006e1c,0x08007200,0x08007f2c,0x080082ec,0x08009d70,0x0800b7ec,0x0800bb90
0x08009a14	dual_side_indicator_update	first_party_g2	1	0x08007200
0x08009a9c	glasses_sides_reset	first_party_g2	2	0x08006e1c,0x08007200
0x08009df4	peripheral_init_retry	first_party_g2	1	0x08007f2c
0x08009ebc	bounded_percentage_convert	first_party_g2	1	0x08007f2c
0x08009f18	calibrated_sensor_value_convert	first_party_g2	1	0x08007f2c
0x08009ff0	sensor_default_value_read	first_party_g2	1	0x08007f2c
0x0800a01e	scaled_sensor_value_read	first_party_g2	2	0x08007200,0x08007f2c
0x0800a7b0	osDelay	upstream_freertos_kernel	4	0x08006e1c,0x08007200,0x08007f2c,0x080082ec
0x0800a7d2	osEventFlagsClear	upstream_freertos_kernel	2	0x08006e1c,0x08007200
0x0800a816	osEventFlagsGet	upstream_freertos_kernel	2	0x08006e1c,0x08007200
0x0800a888	osEventFlagsSet	upstream_freertos_kernel	2	0x08006e1c,0x0800bb90
0x0800aa24	osThreadTerminate	upstream_freertos_kernel	1	0x08007200
0x0800aaf0	osTimerStart	upstream_freertos_kernel	3	0x08006e1c,0x08007200,0x0800bb90
0x0800ab26	osTimerStop	upstream_freertos_kernel	2	0x08006e1c,0x0800bb90
0x0800b600	board_peripheral_init	first_party_g2	1	0x08007200
0x0800bb74	periodic_timer_restart	first_party_g2	1	0x08007200
0x0800be90	left_indicator_sequence	first_party_g2	1	0x08007200
0x0800bede	right_indicator_sequence	first_party_g2	1	0x08007200
0x0800ce34	glasses_charge_control_policy	first_party_g2	1	0x08007200
0x0800d154	aging_indicator_apply	first_party_g2	3	0x08006e1c,0x08007200,0x0800b7ec
