recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ingress	evidence
1	watchface_ops_for_kind	semantic behavior label	0x00500410	0x00500440	48	06d68b80c7015444ecb78027650b143dc3c4555078b843fb90872557e438fd67	no	1 internal direct BL and 1 stored pointer	selects one of four concrete watchface operation tables for kind one through four
2	try_create	exact retained function string	0x00500440	0x005004B2	114	ad7fb16ee77935cb18c847bcdc0545b7e69972e1fa47e86b0c0defafec74ef9a	yes	1 internal direct BL site	invokes the selected create callback and converts nonzero results into a logged null layout
3	dashboard_watchface_manager_init	exact retained function string	0x005004B2	0x0050060E	348	521b730b71626f61527cb9b168756825c0c8269b1e63ff215549cd99b3dac89c	yes	1 external direct BL site	validates the parent deinitializes any active layout selects operations from dashboard state and creates the new layout
4	dashboard_watchface_manager_deinit	semantic behavior label	0x0050060E	0x0050062C	30	23455eb7f317af5a1b2e78813dd203c35c5ac7aef458eded12fc0118376df543	no	1 external and 1 internal direct BL site	invokes operation slot four when present and clears the active operations pointer
5	dashboard_watchface_manager_call_08	semantic vtable-offset label	0x0050062C	0x00500646	26	5ee1cc774defba4b10c3228d8b23b0c42aa40a38c867d4a43aab72bfb7a0e364	no	2 external direct BL sites	guards and invokes vtable byte offset 0x08
6	dashboard_watchface_manager_call_0c	semantic vtable-offset label	0x00500646	0x00500660	26	8685dcec7e7c3a99141ac8e398a198fdbf72c8b9d2f7cdd6ddffeb3399d8399e	no	2 external direct BL sites	guards and invokes vtable byte offset 0x0C
7	dashboard_watchface_manager_call_10	semantic vtable-offset label	0x00500660	0x0050067A	26	ec90705aff9a7730c5f3a6359268cba367d43e450d7335753bf532a2010c5b46	no	1 external direct BL site	guards and invokes vtable byte offset 0x10
8	dashboard_watchface_manager_call_14	semantic vtable-offset label	0x0050067A	0x00500696	28	9d2c3e8f54b9dd337429109a926c2c96e4706f3ad51dda4c85acba8b4a97f8a7	no	1 external direct BL site	guards and invokes vtable byte offset 0x14 with a 16-bit argument
9	dashboard_watchface_manager_set_battery	exact retained function string	0x00500696	0x005006F8	98	4eac1f6f23d4a3f5cd7af58e99edd511d60bae34d72719eb86af89fee04cc191	yes	1 external direct BL site	logs the battery level then guards and invokes vtable byte offset 0x18
10	dashboard_watchface_manager_call_1c	semantic vtable-offset label	0x005006F8	0x00500712	26	b8c9b383777f5094c78088bcf4ae4828f392346dc0dbd48d8c054fbbadc6d255	no	1 external direct BL site	guards and invokes vtable byte offset 0x1C
11	dashboard_watchface_manager_call_20	semantic vtable-offset label	0x00500712	0x0050072C	26	5c026e4dca27814fe3e4631b4f7e4daff9514f3f67a2741f58fecc773ff7a94c	no	2 external direct BL sites	guards and invokes vtable byte offset 0x20
12	dashboard_watchface_manager_call_30	semantic vtable-offset label	0x0050072C	0x00500746	26	9e9d14403f49fe771c1f21439c9de97682f7d3fbcc7d2b1c9fc96797bb8dd937	no	2 external direct BL sites	guards and invokes vtable byte offset 0x30
13	dashboard_watchface_manager_call_34	semantic vtable-offset label	0x00500746	0x00500760	26	dc9cd9f5c2f03bbb2def66f12f1b1c088fea360535eb4477d67cfc31b013f915	no	1 external direct BL site	guards and invokes vtable byte offset 0x34
14	dashboard_watchface_manager_call_38	semantic vtable-offset label	0x00500760	0x0050077A	26	73690307e966df9021f7ddb4de06a8f695af7e11838b6252216704bd9967c8f6	no	1 external direct BL site	guards and invokes vtable byte offset 0x38
15	dashboard_watchface_manager_call_24	semantic vtable-offset label	0x0050077A	0x00500796	28	d96f3b1cb94246774efc9ee8afe7f37d19010464615178c25e0e57c5f4659a64	no	2 external direct BL sites	guards and invokes vtable byte offset 0x24 with two arguments
16	dashboard_watchface_manager_call_28	semantic vtable-offset label	0x00500796	0x005007B0	26	5d0fc71548f523c17334f8852c4db8f043842254d116e284bab3fa42794e1885	no	2 external direct BL sites	guards and invokes vtable byte offset 0x28
17	dashboard_watchface_manager_call_2c	semantic vtable-offset label	0x005007B0	0x005007CC	28	d9a8cc1e0bb38e9168cc7673a50efcb19558dbe2cec94f29a6696044ebac5a99	no	1 external direct BL site	guards and invokes vtable byte offset 0x2C with an 8-bit argument
