source_order	function	identification	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	provider_role	behavior
1	service_time_epoch_to_calendar24	semantic calendar-conversion label	0x00449ED4	0x00449FDA	262	7dbe03ca29bf23eb75459cda5c905701ff79521c6cc95119e42caca3e6ebfa1c	no	G2 time policy	converts Unix seconds to a 40-byte calendar record using 24-hour time
2	service_time_epoch_to_calendar_configured	semantic calendar-conversion label	0x00449FDA	0x0044A100	294	293938f3b6f797c9d274ad2c5edccf6a45a06a849b4e1f506775a3260bd26822	no	G2 time policy	converts Unix seconds using the configured 12- or 24-hour representation
3	service_time_epoch_to_calendar	semantic wrapper	0x0044A100	0x0044A108	8	414b87824d685c0f18297c34814f21a65271aaae15453e18a575810f11b8cc80	no	G2 time policy	forwards to the 24-hour conversion entry
4	service_time_calendar_to_epoch	semantic calendar-conversion label	0x0044A108	0x0044A192	138	dde7db8ebdc89fdfe1f0480d7a9b47b87399e59c3d5d805ab25a5b18375815b3	no	G2 time policy	converts the 40-byte calendar record back to Unix seconds
5	service_time_calendar_to_epoch_wrapper	semantic wrapper	0x0044A192	0x0044A19A	8	c3a4bc6353472da48d38ce844073090ab59dfb568b17c74c8a187cad9fcf6a01	no	G2 time policy	forwards to calendar-to-epoch conversion
6	service_time_current_calendar_get	semantic RTC wrapper	0x0044A19A	0x0044A1C6	44	8b91ef1545f75732b6937e05c931cab5848b233f5fada2942dcb9e7cd6635068	no	G2 RTC adapter	reads RTC time and applies the stored quarter-hour timezone offset
7	service_time_current_epoch_get	semantic RTC wrapper	0x0044A1C6	0x0044A1EA	36	7843a7fba6bf530826ce76cf0f367b14232b64cf9080ca49884f485a0df656f8	no	G2 RTC adapter	returns RTC-derived Unix seconds plus the stored timezone offset
8	service_time_rtc_refresh	semantic RTC wrapper	0x0044A1EA	0x0044A1FE	20	2a8ca5081202b690f1587b64d33b1f0d617ea339ec725421ab42d4f27288e3e6	no	G2 RTC adapter	reads and converts current RTC time for side-effect synchronization
9	SVC_SystemTimeSync	exact retained diagnostic symbol and path anchor	0x0044A1FE	0x0044A2B2	180	9d0c644ee343de478084c430e5e21de2b50b7bea3d1561416a09e6aa70178ba1	yes	G2 time service	decodes and applies a time update then logs the full calendar and zone
10	RPC_SystemTimeSync	exact retained diagnostic symbol and path anchor	0x0044A2B2	0x0044A3B4	258	a2213fa267ca5cc90917249211108df53f35b96c2e6013ad26dd1db6cd89cbe7	yes	G2 time service	builds and sends a 16-byte peer time-sync message and arms its timeout callback
11	service_time_sync_callback	stored callback topology and lifecycle match	0x0044A3B4	0x0044A3F0	60	99c2c0ed008af39235a8364ff7c33bbe303771c2dd072c767d1a97050f0e808c	no	G2 time service	refreshes local time on the accepted role and clears the pending timeout
