# SPDX-License-Identifier: MIT
entry	family	status	license	concrete_source	implemented	instruction_bytes	instruction_sha256	reason
0x0158	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	10	c36ba6f99ebece2e63d3c5e5c6b024253f3c952e6d75e88542103a3e46e33e7d	application behavior or typed pointer/callback ABI remains unestablished
0x0164	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	164	0532c4e562f17ce951bbbf23d2bc295885f0c0dae97463ae2d28df6eecb88d5b	application behavior or typed pointer/callback ABI remains unestablished
0x0324	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	12	76cdace20c6436259e5a8420e9c6b8f850ee7ec6b259669c2a8466ab8ec14989	application behavior or typed pointer/callback ABI remains unestablished
0x0338	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	24	74f0aae50b2c2628970da5f6aece85398447cda4ad80b487febae56a6ef7ecea	application behavior or typed pointer/callback ABI remains unestablished
0x0358	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	22	cd8fae838ff4b175d15f11644012d868bfc45f41d139cd0878ead30f4db43dff	application behavior or typed pointer/callback ABI remains unestablished
0x05E0	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	86	4f0dd0098f258592123cdb89a2ccda97f650c40d37b97a7b732d71f5d82cc0fd	application behavior or typed pointer/callback ABI remains unestablished
0x0648	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	12	22cf82a138649f908101fbfa91f91a3322e7b067c6d1795eee222790db44d52e	application behavior or typed pointer/callback ABI remains unestablished
0x065C	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	156	4261f999cf4b91b43edff85c2731fe71ce1399d559473976b877c76ad87f5a48	application behavior or typed pointer/callback ABI remains unestablished
0x0780	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	92	0dc11e3139c82a93c37a5d9907ad6716ee5c3bbce931d29fb0162fc351ec0fb8	application behavior or typed pointer/callback ABI remains unestablished
0x09A4	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	10	9e0b35cfee377b9eca5d0d1cb4ddb063e6582ed7a4d0ef733aecb57c6b410a82	application behavior or typed pointer/callback ABI remains unestablished
