stock_name	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_start_line	source_end_line	source_span_sha256	direct_bl_callers	indirect_ingress	classification
dmAdvConfig	0x004B9A80	0x004B9AC0	64	f687db593110076bcf1e6a2512b05cc86e323cef21a59e98575065570003002a	84	98	725c916756866b3f91756c647e3acd0d01ddd1b588c6f93ac6b794d2a8102fa1	0x004B9D14		linked parameter command helper
dmAdvActConfig	0x004B9AC0	0x004B9D1A	602	14f5b5f1cb3b9562c0d8747178ae5f5ba67472861828b12d022ae1278e9ea988	109	126	de176287046cd78717622508bc1406615409353b1f67d57b0b314e23bf5a7401		action_table_0x0075F550	retained-path action anchor plus vendor diagnostics
dmAdvActSetData	0x004B9D24	0x004B9E7A	342	2ca537c902e749d9bf9ce4bc6a23acad52110516ade22eaae9b9195ed92176b6	139	157	9f0d3bc0497c743169b0dd79c03a7dcdf2464f0a88c9e7fd324feccb47256519		action_table_0x0075F554	linked inline-payload action and Ambiq message-ABI discriminator
dmAdvActStart	0x004B9E88	0x004BA0E6	606	2c7f58b67c890c19a5475eb562c47588888e5a86347d63e0913697df5acea8c5	168	187	625dade515f8f48c81f580ba3454acbe64f9e403474318d4ca5e05665a5d2f86		action_table_0x0075F558	linked start action
dmAdvActStop	0x004BA0F4	0x004BA332	574	24239117f14103d04e7f2b15e3cd8b1f2e243f794db39f4df872a064843ebf62	198	216	b8222a9ab80d4a85e8c4eebf099d7a95e84a29135c3d2359d5e8f6cb9c7f71ea		action_table_0x0075F55C	linked stop action
dmAdvActRemoveSet	0x004BA33C	0x004BA33E	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	227	230	c0d0a67ec57406456b89ca5f02b86ff55bce1c96f07266afb903450eeba89412		action_table_0x0075F560	linked empty legacy action
dmAdvActClearSets	0x004BA33E	0x004BA340	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	241	244	738ce2bcdcfce2c8a07bd79e15e34f843f36b7e61ffc65ec6518a2eda7898743		action_table_0x0075F564	linked empty legacy action
dmAdvActSetRandAddr	0x004BA340	0x004BA342	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	255	258	3614bdda6064d954852143774ca23cb4d98d7d4eeea80399e970f3a8200ff60a		action_table_0x0075F568	linked empty legacy action
dmAdvActTimeout	0x004BA342	0x004BA456	276	d0e55f6bd6c174c05e60496ee00304cb4fa5ae324d496980813e23bdf2794fe5	269	279	8ebfd721dc2931b67d2aaef7533cd8f8ed9bf2d491b6faef24d3dd76a8b317ac		action_table_0x0075F56C	linked timeout action
dmAdvReset	0x004BA45C	0x004BA490	52	5c30215302bedc9322e389ee8f3d26f4e120239a391a590e663f9a49b067cff2	288	310	4ee10fc1c10bdb8253183433a6ea11de713cd1e4b9f8d41ade7a226ab030d0e0		interface_table_0x0078A808	linked reset interface
dmAdvHciHandler	0x004BA4B0	0x004BA6AC	508	14ada43062d8d253493ede7d24e43e5a89740fcd706a551760338ad6c7e54754	321	414	2c24e7e0cf45c5d75dee74ee457ff659401540b4fd61fed600c9a27194757f73		interface_table_0x0078A80C	linked HCI interface
dmAdvMsgHandler	0x004BA6AC	0x004BA6C0	20	888e710987e18eb7ac608a7521af400e6bd8db864b21a3e790a150ea3f22116c	425	429	b5d3f5a930e2b67fa17bf8d00a15f6c2088ca3f96705694dc2e7c04af6a54a0f		interface_table_0x0078A810	linked action-table dispatcher
dmAdvStartDirected	0x004BA6D4	0x004BA848	372	6b939a502d0a86ca1c10c1fae3f6f0a5a13eaa112076cd15c56c03b5b1cd570a	443	461	2bed5cd34e172ac5a53a6e2609995ad7b44bd15e3d9c5ba36e204f532036df48	0x00536AD6		retained-path directed start anchor
dmAdvStopDirected	0x004BA864	0x004BA9C8	356	e010ef6ab44be58fae6ed5edbff56739d5df23458c094361c067f359b4844527	470	484	0a202a260c7424ec3610a53ff7223703fcc2a239c090d01238a8901e563f47b3	0x00536AE2		retained-path directed stop anchor
dmAdvConnected	0x004BA9D4	0x004BAAF8	292	894996038f13a66c0f3ba2a6c98dd60e4fc59cdc52f5ca182e6383677a248867	493	504	9c864f2c9f0f848f26147d6205ed640719bfc6a9f4d09aa0fe2521446e74aff9	0x00536AF6		retained-path connection-success anchor
dmAdvConnectFailed	0x004BAB04	0x004BAC28	292	ae277a1e0906b38cf0239285a32a972a58e9cf7337162a5871cbca9c737d8737	513	524	e2703d94f4723a16423af00b9765f1736d15a524762930bfe86d4b16abf53a49	0x00536B0A		retained-path connection-failure anchor
DmAdvInit	0x004BAC2C	0x004BAC4E	34	898b50b09149a491ef0bc117025b07d708eeeca74bead2a3103e2879be37f11f	533	550	cfd7006b2ba6e64892f9e00e40f108b07f5f032a6d6219a0e913f65d66aa13a8	0x004B800E		linked component registration
DmAdvModeLeg			0		559	562	8fd1df9bfe1f6aa95bc2bb90db7e6bc13429b3aad327ad06db5d41a883c24db0			dead-stripped source-only API
