recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	direct_callers	evidence
1	terminal_encode_and_send	exact retained diagnostic symbol	0x005CE7C4	0x005CE990	460	de994310bb1b59aa27898cd1c257686fb15d067c12865f540238834e54c9b4e8	0x005CEB9A,0x005CEC6A,0x005CED30,0x005CEE00,0x005CEE84,0x005CEF0C,0x005CEF84,0x005CEFF2,0x005CF0B2,0x005CF12C,0x005CF1B6	clears the shared message, copies tag-specific payloads, nanopb-encodes, and selects transmit or notify
2	APP_PbTerminalRxFrameDataProcess	exact retained diagnostic symbol	0x005CE990	0x005CEAEC	348	90f0b7aed6711bd59a133cda2d427e5a0ace02df37b6a4364048d3abea7b41a9	0x005E44A4	decodes into caller storage with three-second magic/tick duplicate suppression
3	APP_PbTerminalTxEncodeCommResp	exact retained diagnostic symbol	0x005CEAEC	0x005CEBA2	182	68e0d463446b76e135a716e4133589a9527371d28da464fa812ccda53a301373	0x005E44B4,0x005E44C6,0x005E44E8	builds command 0xF0/tag 13 and transmits
4	APP_PbTerminalTxEncodeStatusReply	exact retained diagnostic symbol	0x005CEBA2	0x005CEC72	208	f92aabcfe121b5351322348e66358aecef2afdb49b9e9ba952310405e2ce6c3b	0x005E4320,0x005E8954,0x005E8BFA	builds command 0xA1/tag 9 and notifies
5	APP_PbTerminalTxEncodeVoiceInput	exact retained diagnostic symbol	0x005CEC72	0x005CED38	198	9091deaffbf14575cd541c48670a67a9b2e5fefe834f10661c2796722de0c33a	0x005E593C,0x005E59B2,0x005E5BFC,0x005E5CF0,0x005E5E20,0x005E8078	builds command 0xA2/tag 10 and notifies
6	APP_PbTerminalTxEncodeQueryReply	exact retained diagnostic symbol	0x005CED38	0x005CEE08	208	b12593ede335ffbedaddbd102bb0ff220399055320c04329dd82f992e79a6e54	0x005E6A12	builds command 0xA3/tag 11 and notifies
7	APP_PbTerminalTxEncodeAgentInterrupt	exact retained diagnostic symbol	0x005CEE08	0x005CEE8C	132	e5b00711d7017018d0d1c2b077c6044b511d330fd35695eeb95c36a9a0c28673	0x005E70BC	builds command 0xA4/tag 12 and notifies
8	APP_PbTerminalTxEncodeSessionSwitchRequest	exact retained diagnostic symbol	0x005CEE8C	0x005CEF14	136	808fef1b53a7d8887d14ee21db8ed15eff83165c9dc44fd1545f6bba60c7b403	0x005E6860,0x005ED5E8	builds command 0xA5/tag 18 and notifies
9	APP_PbTerminalTxEncodeNewSessionRequest	exact retained diagnostic symbol	0x005CEF14	0x005CEF8C	120	7a03dd26d8b62aee4a277e318b244442c176b7bd586e52c50e2a70dbc26b0850	0x005ED67E	builds command 0xA6/tag 19 and notifies
10	APP_PbTerminalTxEncodeNewSessionCancel	exact retained diagnostic symbol	0x005CEF8C	0x005CEFFA	110	bca7fe28a1f7af0a12aedae7910b9c2f89d7671df25c925eb1d26264594f9de2	0x005ED23A	builds command 0xA8/tag 22 and notifies
11	APP_PbTerminalTxEncodeDisplayStateNotify	exact retained diagnostic symbol	0x005CEFFA	0x005CF0BA	192	f34ffa1a0226aac59378ddd728a92b982127e61ac2ef3ebf4a41459c0b8c320a	0x005E548A	builds command 0xA7/tag 20 and notifies
12	APP_PbTerminalTxEncodeListFocus	exact retained diagnostic symbol	0x005CF0BA	0x005CF134	122	9f67ba67ebb416e576cda6ef27858d3ce491ee91795d14f7cc0330818c4ddb31	0x005E5492	builds command 0xA9/tag 24 and notifies
13	APP_PbTerminalTxEncodeOverlayFocus	exact retained diagnostic symbol	0x005CF134	0x005CF1BE	138	f1004bcae28453ed4f169a99ff3590ce0823b525d1ffb11dd130e2bd05f6d49c	0x005E549C	builds command 0xAA/tag 25 and notifies
