stock_start	stock_end_exclusive	path_anchored	ghidra_discovered
0x00472244	0x004722D8	yes	yes
0x004722D8	0x00472362	yes	yes
0x00472362	0x00472378	no	yes
0x00472378	0x004723D6	no	yes
0x004723D6	0x00472426	no	yes
0x00472426	0x0047243A	no	yes
0x0047243A	0x00472546	yes	yes
0x00472546	0x0047257C	no	yes
0x0047257C	0x00472588	no	yes
0x00472588	0x00472596	no	yes
0x00472596	0x00472630	yes	yes
0x00472630	0x0047263C	no	yes
0x0047263C	0x0047269E	yes	yes
0x0047269E	0x004727AA	yes	yes
0x004727AA	0x004728A0	yes	yes
0x004728A0	0x004728B2	no	yes
0x004728B2	0x00472988	yes	yes
0x00472988	0x00472BB0	yes	yes
