translation_unit	class	path	bytes	sha256
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_os.c	11665	892a7ae0283ba9274f80e48e6a2507cf49d3075fad7c3298656afc98a1a56e4a
wsf_os	probe_libc_shim	shim/string.h	155	566a8d1ac979fcc7934b21d6afcbf024a9e8118d9a27ace81f726228ce158fd3
wsf_os	compiler_builtin	/usr/lib/gcc/arm-none-eabi/13.2.1/include/stddef.h		9efc696d6c7eb8bb1831b149c6a92f88a775809cd63e4007312b617915f81188
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_types.h	2118	69c8b5382a397284b9c9ac686e2345503a396f1c5eb305064720feb83bed91b1
wsf_os	compiler_builtin	/usr/lib/gcc/arm-none-eabi/13.2.1/include/stdint.h		0a2e42d37b032271a0f6328a35bdb6fc694411a7627decaf857ba75ae7e00589
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/include/wsf_os.h	7073	8ea50e3b084ea103ed505e5dd328c89d751df4958f45f447fd083e1bea8d20c9
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_os_int.h	4118	24d06d04a64f5d1b3f7efa0a1be74ce5bae24e1cfb695cb2c865ec03caa0b3a4
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/include/wsf_queue.h	5730	3657f2e5bc8c9e9c77ba766ddb5b9488947464fc8077eee0d89cd3f08d6025cd
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_assert.h	2862	d3518013f48697e0033a5d8488cb7ec5a7cb75e6961f129f66a0d562802dcbe4
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_trace.h	15307	41d28cd39d4e0fda71ba031ed766321c4df1d90888cb40c1f7d62cad1198d50f
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/include/wsf_timer.h	6237	ae23e7b3bc17243d30aa300c58c73cb15ef1da070d90418b69cfb5da6862322b
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/include/wsf_buf.h	6995	e6940c2c2369b162465d622a9f7b3e1cc1b92edb5cb75bf1caba014ea838158c
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/include/wsf_msg.h	4930	56709406fefde3b7b01fb5146ac2c73b111c18debedab523c1ea74f2d3afa5d7
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_cs.h	2847	8837e8880b96b40f78fabc59bd65f7d892f576b13af5b14f32a12a13d4e0e10f
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/FreeRTOSv10.1.1/Source/include/FreeRTOS.h	36442	e0fb5ee2e925d2f4978eaf6ef45fd8a866bd540a6514ead83b806d98ce8e7844
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/boards/apollo3p_evb/examples/ble_freertos_barebone/src/FreeRTOSConfig.h	6565	da257e0299d8a01799fd086e442d29be09e331149bec790c19e175500cd82a8b
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/FreeRTOSv10.1.1/Source/include/projdefs.h	5627	9e6550e8769e1904d0248c3c3d9bcd008d2809cdf1ed9559642646460804fa54
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/FreeRTOSv10.1.1/Source/include/portable.h	5925	9af4ace96b433516da6b21acd839a4b80e1c590bfa7576d93e8460bb33731945
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/FreeRTOSv10.1.1/Source/include/deprecated_definitions.h	7295	54b55d065195a60065afca81b415a3af128fe03dd902a2c1252a52307affb73b
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/FreeRTOSv10.1.1/Source/portable/GCC/ARM_CM4F/portmacro.h	8200	58c31c97fec222e108090de0695730f7596db6ea45d4b94b10f9e4fb8f8b51c9
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/FreeRTOSv10.1.1/Source/include/mpu_wrappers.h	8828	6333db141f339d582cc0cec89d4da6d793888110351bf3389c61ba062b8e7a6b
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/FreeRTOSv10.1.1/Source/include/event_groups.h	29678	6659ce0282930d894db5f4e1f2abb1fa74a878d00345306f704e2bf4f103b803
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/FreeRTOSv10.1.1/Source/include/timers.h	58738	b1803fb91ff1d19f5549ca6083bb8ddcb43cbd1f21cf94baffaf404a6e004478
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/FreeRTOSv10.1.1/Source/include/task.h	95880	0fad7267cc6ad65586576f421add217b7e7925d29b9bcba414b27d065f87df67
wsf_os	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/FreeRTOSv10.1.1/Source/include/list.h	18178	243c68cc5a8a29d65d3d1bc7fb8492ae5bcd6cc30a0b1602cac60b4a62f62669
wsf_queue	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_queue.c	8650	7dd109b4509d31c3222827b73f7ed5587e46a2c9d2de54ed8f30c599d418cf86
wsf_queue	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_types.h	2118	69c8b5382a397284b9c9ac686e2345503a396f1c5eb305064720feb83bed91b1
wsf_queue	compiler_builtin	/usr/lib/gcc/arm-none-eabi/13.2.1/include/stdint.h		0a2e42d37b032271a0f6328a35bdb6fc694411a7627decaf857ba75ae7e00589
wsf_queue	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/include/wsf_queue.h	5730	3657f2e5bc8c9e9c77ba766ddb5b9488947464fc8077eee0d89cd3f08d6025cd
wsf_queue	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_assert.h	2862	d3518013f48697e0033a5d8488cb7ec5a7cb75e6961f129f66a0d562802dcbe4
wsf_queue	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_cs.h	2847	8837e8880b96b40f78fabc59bd65f7d892f576b13af5b14f32a12a13d4e0e10f
wsf_queue	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/include/wsf_os.h	7073	8ea50e3b084ea103ed505e5dd328c89d751df4958f45f447fd083e1bea8d20c9
wsf_queue	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_os_int.h	4118	24d06d04a64f5d1b3f7efa0a1be74ce5bae24e1cfb695cb2c865ec03caa0b3a4
