ordinal	function	naming_confidence	stock_start	stock_end_exclusive	interval_bytes	interval_sha256	path_anchored	ingress	behavior
1	threadBleProductionTask	inferred from task-entry ABI	0x005382E4	0x0053835C	120	37900bf490a4febf1155cd23a1e8368b308b224a2df8d3b9f42115ff11cc0941	no	stored Thumb pointer at 0x00538B64	enters and initializes the task then waits for flags and dispatches notifications forever
2	threadBleProductionLoopInit	inferred lifecycle role	0x0053835C	0x0053835E	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	no	direct BL at 0x005382EE	no-op lifecycle hook retained by object linkage
3	_thread_resource_init	inferred lifecycle role	0x0053835E	0x005383A8	74	e83e042621c07e7b6452ac8d325461dcdd0d64ae2ecf9a5b6b6220e7743b1715	no	direct BL at 0x005382EA	creates a three-entry message queue and a three-block 0x104-byte memory pool; fail-stops on failure
4	threadBleProductionStart	inferred lifecycle role	0x005383A8	0x005383AA	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	no	direct BL at 0x005382F2	no-op lifecycle hook retained by object linkage
5	threadBleProductionEnter	inferred lifecycle role	0x005383AA	0x005383B4	10	9122a62cdb67126e47d5081fa8dacc72c363247c1f9459b2552913d1b4f831aa	no	direct BL at 0x005382E6	enters product task lifecycle state 11
6	threadBleProductionReady	inferred lifecycle role	0x005383B4	0x005383BE	10	6b9ee6ae7908d74bbbbf6daf3472abdc228f10224b9101752a2e378bf0a1144c	no	direct BL at 0x005382F6	marks product task lifecycle state 11 ready
7	threadBleProductionInit	inferred public lifecycle name	0x005383BE	0x005383EA	44	76da93459e5d02b58c2c5fb116f401f870310f2b9c81368aa99727b93e7da81c	no	no direct ingress found	creates the static CMSIS-RTOS2 thread from task entry 0x005382E5 and attributes at 0x0075B910
8	threadBleProductionDeinit	inferred public lifecycle name	0x005383EA	0x00538402	24	ba9f35881c3e1d9992b9ea78fbeb68544ff8a9c2d266cb9a76bd640005bd12ed	no	no direct ingress found	terminates a non-null CMSIS thread and clears its handle
9	_thread_msg_handler	exact retained symbol string	0x00538402	0x005387AA	936	83418982c1606991789cd84a91ecd8d716d430175757195b0d09ab4504af69f6	yes	direct BL at 0x005387F8	dequeues production messages; routes AT commands or validates and executes product-test frames; frees each pool block
10	_thread_notify_event_handler	exact retained symbol string	0x005387AA	0x00538806	92	171a53a30f764c4e172d3ff384e5c99baa978c30228dac9bd5e3450ee7f15b60	yes	direct BL at 0x005382FC	logs notification flags and dispatches message or exit bits
11	_thread_exit	exact retained symbol string	0x0053880C	0x005388B6	170	7cee99b51703973593fc6a63ea9c8598927e57cc13cf308500c7f6010514a299	yes	direct BL at 0x00538800	marks state 11 exited; deletes the queue; then delays forever
12	_thread_ble_production_msg_head_check	exact retained symbol string	0x005388B6	0x00538910	90	5deea2a4816bb23dc24e6cab34a9a8829d38798f07980f9b7e3e2846fa3dd52c	yes	direct BL at 0x005386F8	accepts the three-byte 0x5A 0xA5 0x7F production frame header
13	_thread_ble_production_msg_crc_check	exact retained symbol string	0x00538910	0x00538992	130	886fc3f7b1b335e18411fc5da0038b082bb4817737fa8a46e1d9c8ffc7932ebd	yes	direct BL at 0x00538702	checks the additive byte checksum after the four-byte header and payload
14	Thread_SendMsgToBleProductionTask	exact retained symbol string	0x00538992	0x00538B46	436	c67da20f79265ce3fe34423a53174f2fe736081d804d9251af24cbc2a181c7ce	yes	direct BL at 0x004BE7EC	allocates and zeroes a 0x104-byte pool block; copies the message; enqueues it; and sets task flag 0x400000
