lane	config	functions	exact_size	aggregate_abs_size_delta	raw_matches	strict_normalized_matches
stockabi_1024__O0	O0	2	0	164	0	0
stockabi_1024__O1	O1	2	0	152	0	0
stockabi_1024__Og	Og	2	0	152	0	0
stockabi_1024__Og_nosibling	Og_nosibling	2	0	152	0	0
stockabi_1024__O2	O2	2	0	152	0	0
stockabi_1024__O2_noinline	O2_noinline	2	0	152	0	0
stockabi_1024__O3	O3	2	0	152	0	0
stockabi_1024__O3_noinline	O3_noinline	2	0	152	0	0
stockabi_1024__Os	Os	2	0	152	0	0
stockabi_1024__Os_noinline	Os_noinline	2	0	152	0	0
stockabi_1024__Os_nosibling	Os_nosibling	2	0	152	0	0
stockabi_1024__Oz	Oz	2	0	152	0	0
stockabi_1024__Oz_nosibling	Oz_nosibling	2	0	152	0	0
