retained_path	function	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	recovery	selected_source_symbol	assessment
app_master_leg.c	appMasterScanMode	0x00503298	0x0050337c	228	d306dd8950b83c3c6a7f514c06a1b23f33fb226d41594d451d7c29f10b5b238d	path_anchor	appMasterScanMode	Ambiq legacy scan-mode helper with G2 diagnostics
app_master_leg.c	AppScanStart	0x0050337c	0x005033b2	54	46bcfa1d28b76ef845fc52a1cc18057bf94be5a8d017cc481f2d3e9586136b72	contiguous_symbol	AppScanStart	Ambiq API topology retained
app_master_leg.c	AppScanStop	0x005033b2	0x005033ca	24	87bb2d0ed9d32b90b86e0bc0dc32f16f16a2f4198986f03eefd012d89d1727d7	contiguous_symbol	AppScanStop	Ambiq API topology retained
app_master_leg.c	AppConnOpen	0x005033ca	0x0050345e	148	4363a82626dfde01a17fc1f6f94f01ed0fc0f68518fc1b2bf1de8ce61d3d6078	path_anchor	AppConnOpen	Ambiq connection-open wrapper with G2 diagnostics
app_slave_leg.c	appSlaveLegAdvStart	0x004b2a04	0x004b2a92	142	afdf523c85483939f523d275298b48ecb234d29537251d5eaff63a015a102689	contiguous_symbol	appSlaveLegAdvStart	legacy advertising callback retained
app_slave_leg.c	appSlaveLegAdvTypeChanged	0x004b2a92	0x004b2aaa	24	f2df76f26c4b32dfe7acf0d2675ce10d51f8b272dc69f068c8365ecc1dc1579f	contiguous_symbol	appSlaveLegAdvTypeChanged	legacy advertising type callback retained
app_slave_leg.c	appSlaveNextLegAdvState	0x004b2aaa	0x004b2afe	84	54fa18d0781f5e2865b8eaa1c036abdc392b45efd79759d98866f64fd325ec6c	contiguous_symbol	appSlaveNextLegAdvState	legacy advertising state transition retained
app_slave_leg.c	appSlaveLegAdvStop	0x004b2afe	0x004b2b90	146	867022602e0bb0f6cb63c9ee4e78af36e98105d7ff071c97df9504979d8e2e69	stored_callback	appSlaveLegAdvStop	registered through stock cell 0x004b2ddc
app_slave_leg.c	appSlaveLegAdvRestart	0x004b2b90	0x004b2bde	78	a4afe7fdcd1121b8615463a0dbfa553b9fd58a3e3e02fae2eb897879eb604794	stored_callback	appSlaveLegAdvRestart	registered through stock cell 0x004b2de0
app_slave_leg.c	appSlaveAdvMode	0x004b2bde	0x004b2cec	270	30b8b745ac85cc6ee040a0ee059abedb28b64c09265a93897ff96ec616ba5df6	path_anchor	appSlaveAdvMode	legacy advertising mode/state machine retained
app_slave_leg.c	AppAdvSetData	0x004b2cec	0x004b2d22	54	b3b224d2e1e359f09e84944b0b1786e5ad0c9c6ad49fc83295c8d822f4990a5a	contiguous_symbol	AppAdvSetData	Ambiq advertising-data API retained
app_slave_leg.c	AppAdvStart	0x004b2d22	0x004b2d62	64	ed19cc5b419e096846638e5b82c5b4684bdba45e4beed6660aead6234ed6adb3	contiguous_symbol	AppAdvStart	Ambiq advertising-start API retained
app_slave_leg.c	AppAdvStop	0x004b2d62	0x004b2d7c	26	a1736361eba827c7d45f2face737db1778d90d51d1d97b95c7553fb5f739e0f0	contiguous_symbol	AppAdvStop	Ambiq advertising-stop API retained
app_slave_leg.c	AppSetAdvType	0x004b2d7c	0x004b2dbc	64	6eb050f4a6e03382aec267c3935b36d1c68c88232eeb18977b324dc4ce702cd0	contiguous_symbol	AppSetAdvType	2.5.1 default advertising-state assignment is a lineage discriminator
