module	recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	direct_bl_callers	direct_bl_caller_digest	evidence
thread_ble_msgtx.c	1	threadBleMsgTxTask	inferred from task-entry ABI	0x00475290	0x00475308	120	36c19cfc57aa6422fe563c151c02a076a495dc52bda010029172b516a8fae878	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stored Thumb entry at 0x00475E68; lifecycle state 8; waits on 24-bit thread flags
thread_ble_msgtx.c	2	threadBleMsgTxApplicationInit	inferred lifecycle name	0x00475308	0x0047530A	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	1	df63106f3c7e06d482e0f5775c88c2d4e0af4527b7ea6019b1a73d1d55fca84a	intentional BX LR hook
thread_ble_msgtx.c	3	threadBleMsgTxQueueInit	inferred lifecycle name	0x0047530A	0x00475332	40	a020963d9913616d24b4f51ecf4507e3ec24c122dc2dbb77673be3e405a64cdd	1	41c40a122691f645f03e4bc068d15d4cbac8bfc9e5d4f0fd4d5008dbfcac3512	creates 150-element four-byte CMSIS queue at state +0x0C
thread_ble_msgtx.c	4	threadBleMsgTxThreadInitHook	inferred lifecycle name	0x00475332	0x00475334	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	1	48873c997c79d820311cc10b259d3be5b507b898a1aa5ab029a1dcfe6afac6eb	intentional BX LR hook
thread_ble_msgtx.c	5	threadBleMsgTxEnter	inferred lifecycle role	0x00475334	0x0047533E	10	5eb8e4041212d43bfd70dd4d9434a29700f8db3b839dd6240c92be8db588af9c	1	a9c51a856e8428162c0e02c50108c3e67bda28180d7b0e1a2a5935a581b61372	enters product lifecycle state 8
thread_ble_msgtx.c	6	threadBleMsgTxReady	inferred lifecycle role	0x0047533E	0x00475348	10	61236b4c2240ff16e1be37f39c7a12fa98af666c889120705cdad6b9b6269367	1	8023faf89c30fcf3f591c4143e5b2cdb6c918f65b5d3a58f5227dcbd3fe63795	marks lifecycle state 8 ready
thread_ble_msgtx.c	7	threadBleMsgTxInit	inferred public lifecycle name	0x00475348	0x00475374	44	f9814ba27c6a69e62653259a47ef384fb872d8fd368975bfb1fde250b1ad9983	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stored Thumb entry at 0x007940C8; static CMSIS attributes at 0x0075B85C
thread_ble_msgtx.c	8	threadBleMsgTxDeinit	inferred public lifecycle name	0x00475374	0x0047538C	24	91b23b57297bf2ba3383a1f2b55a253d54e777085219d5bb737de49482d50487	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	conditionally terminates and clears thread handle
thread_ble_msgtx.c	9	threadBleMsgTxQueueDrain	inferred private dispatcher	0x0047538C	0x004754BA	302	6e9d8bd1a480636ffed921682dec3ca44a806656790f89097bde2ef3027f946c	1	046a8022daff32a9d8ccc969d85374430347c58d312bf3a6a427874f979c9e50	nonblocking drain routes message types 1 2 4 and 8 then frees each record
thread_ble_msgtx.c	10	threadBleMsgTxDispatchFlags	inferred private dispatcher	0x004754BA	0x004754D0	22	2bbd1a96d85c7157014b0d9ff94386a34e93ffc67452ec30e3c633bd8e361065	1	fd6ac7a38e49cbfc7f474160ea90e0f9df3a747c88b7840f309ac210e05d8b79	routes queue bit 0x00400000 before exit bit 0x00800000
thread_ble_msgtx.c	11	threadBleMsgTxExit	inferred from retained exit diagnostic	0x004754D0	0x00475524	84	3b9cbbc41b334046d8950dd4fc39152d07222f0c4d458268ef218518bc5dddad	1	8352c4d554db0eb53ede89d6b5e77add6cdeff30d72844fac0a3122c08ed2cc2	announces lifecycle state 8 and waits forever
thread_ble_msgtx.c	12	Thread_BleMsgtxQueueClear	exact retained diagnostic symbol	0x00475524	0x0047564E	298	210429fee397ee7449a20c4c28bef611fd40ebaae4f1c7f715aab55eaad17072	1	bcf1a4b62712fb83ec2fb1fc07a4c0afeac3690ea8dddd1c6a62257fc780a4d3	drains and frees queued messages; returns freed count
thread_ble_msgtx.c	13	Thread_MsgTxByBle	inferred from retained wrapper topology	0x0047564E	0x00475A38	1002	e6afa41af84de6f67d81ab939eb576dc1851c34485d0be95c03eea5852ab4c01	8	0e8d4b3d89fb366051791d91731cd0ff511577c8ef95499213338da1727f26e6	common four-layout allocation enqueue backpressure and wakeup core
thread_ble_msgtx.c	14	Thread_MsgPbTxByBleDirect	exact retained diagnostic symbol	0x00475A38	0x00475AA6	110	0da96c3c41520ffe5a9bb11fd6a315821882e44b28c540edcbc32263d88755ff	3	02d51803f93367605f03359cd9869b6e1fccfdebfd0c99442e4cdcf50a582976	direct protobuf transport-zero subtype-zero wrapper
thread_ble_msgtx.c	15	Thread_MsgPbNotifyByBleDirect	exact retained diagnostic symbol	0x00475AA6	0x00475B14	110	dc17c18b0b063792a9492c3f1b9fc136d2728b24d1191df7aa141c70b145222e	2	5eb8ac9104f40e4fe55778b96127216a98830ef804a41fdf0a102d0ba35f7076	direct protobuf transport-zero subtype-one wrapper
thread_ble_msgtx.c	16	Thread_MsgPbTxByBle	exact retained diagnostic symbol	0x00475B14	0x00475C1A	262	6ea569a77990f9df338832a3e582b6485be6b1252d5973c257fc603e1f475891	76	872afedb7ca5cd51f8a0605312e21a95a4219bebf853b4c9050ea5af42d21bb5	guarded protobuf transmitter with OTA and side rejection
thread_ble_msgtx.c	17	Thread_MsgPbNotifyByBle	exact retained diagnostic symbol	0x00475C1A	0x00475D5E	324	f1d89025d75c4f8d73b5df8081d8b6b6683ca6125e4dbf21d4652038386c4323	39	e75a8bf9618f2a9895880ac653265e0c8fd51964f79ac00b7425390214062401	guarded protobuf notification with OTA side and command-role rejection
thread_ble_msgtx.c	18	Thread_MsgStreamingNotifyByBle	exact retained diagnostic symbol	0x00475D78	0x00475DD8	96	9738625dffe90aab90f320c3d4765b892f8824d513695ffb588570ed05cabbd1	2	ef9a9f603bc735a668a2991029011934bea293eb548315ff7599f729491017c5	transport-one subtype-one wrapper
thread_ble_msgtx.c	19	Thread_MsgTransport3TxByBle	inferred transport role	0x00475DE0	0x00475DFA	26	ce53a6022e3d938b8c192f7c2f66c85dc8f5672e9a01757c0208fd2a2f0a047d	6	91fbd1b43959e738957447e3cdae3623b904ec5c85e1da903c299b050ac939b9	ungated transport-three subtype-zero wrapper
thread_ble_msgtx.c	20	Thread_MsgEfsTxByBle	exact retained diagnostic symbol	0x00475DFA	0x00475E62	104	890591f1dafa6a27af3ed80ccf5dd60568f2889744b5c709297c9b9562559e8d	5	79fc03fbb2c32c6fec2b0389f094fdbce6b60e91c8d04715280cc0c5f0b74993	EFS transport-two subtype-zero wrapper
thread_ble_msgtx.c	21	Thread_MsgEfsNotifyByBle	exact retained diagnostic symbol	0x00475E6C	0x00475ED4	104	05b9da87cbfc6c5272e53a9e51d878348d2663499630a1a2f39a229a78076b28	1	c05867fea52400abf37118130b518ca4860b9e81839f6a3cc8f9abff1d48cae6	EFS transport-two subtype-one wrapper
thread_ble_msgrx.c	1	threadBleMsgRxTask	inferred from task-entry ABI	0x0048EDB0	0x0048EE28	120	710a75ffc1419fbf73bc416da42181bcc118ce56846dc80ebdc100b6f1f3c562	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	stored Thumb entry at 0x0048F340; lifecycle state 7; waits on 24-bit thread flags
thread_ble_msgrx.c	2	threadBleMsgRxApplicationInit	inferred lifecycle name	0x0048EE28	0x0048EE2A	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	1	206b57f7b81e590d4733a3a7ef6b85d9f904cd7ff9da6e551f40334de38b427f	intentional BX LR hook
thread_ble_msgrx.c	3	threadBleMsgRxQueueInit	inferred lifecycle name	0x0048EE2A	0x0048EE52	40	89ce6f958927474c084f797c7b2a06f98e26528639e3c386b8e98c6c95d98dd9	1	dbe22d0f8c49e1c467c85268629ae68fc0d4537f63df990a2eb37c7786c5411a	creates 150-element four-byte CMSIS queue at state +0x0C
