recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ghidra_discovered	entry_evidence	qualification
1	case_insensitive_strcmp	upstream cJSON 1.7.9-1.7.12 static symbol	0x004D798C	0x004D79DA	78	38a8b147d1dbbe49e7a759ddc13703c05a683233de63aaa15f1881f6b25e73f4	no	no	internal BL at 0x004D8390	tolower-based case-insensitive compare used only by get_object_item; structurally identical to upstream case_insensitive_strcmp
2	cJSON_New_Item	upstream cJSON 1.7.9-1.7.12 static symbol	0x004D79DA	0x004D79FA	32	9a281ed49ef71c697af040c7005c1879b8bac75ddfa3f61c23fe45526ca30dd0	no	no	internal BL at 0x004D7F06	hooks->allocate(sizeof(cJSON)=0x28) then zero fill; structurally identical to upstream cJSON_New_Item
3	cJSON_Delete	upstream cJSON 1.7.9-1.7.12 public symbol	0x004D79FA	0x004D7A54	90	c28954ef3d54a6fe8a6d2f95ffe8a829957ca8eb5920c06cc0e8bb389f613023	no	no	external BL at 0x0048E61A	recursive child delete with cJSON_IsReference (bit 8) and cJSON_StringIsConst (bit 9) gates and three global_hooks.deallocate hook calls
4	get_decimal_point	upstream cJSON 1.7.9-1.7.12 static symbol	0x004D7A54	0x004D7A58	4	abb282b50860639ee18170c25f6bcc37173b294c5a2eb1d1abb75d8453c3bf90	no	no	internal BL at 0x004D7A6C	returns constant 0x2E ('.'); upstream ENABLE_LOCALES=Off shape
5	parse_number	upstream cJSON 1.7.9-1.7.12 static symbol	0x004D7A5C	0x004D7B36	218	9dc806267413a4190f9905aaf1effd14f64bc421ad501632e7bb76105e172c9f	no	no	internal BL at 0x004D8084	64-byte stack number buffer; accepts + - . 0-9 e E only; strtod; INT_MAX/INT_MIN valueint saturation; structurally identical to upstream parse_number
6	parse_hex4	upstream cJSON 1.7.9-1.7.12 static symbol	0x004D7B50	0x004D7B9A	74	88266bc27448ee9436a2a276ee3233571c49922cad8c8d703d8125cb1dc452ab	no	no	internal BL at 0x004D7BBE	four-nibble hex accumulate with 0-9/A-F/a-f ranges; structurally identical to upstream parse_hex4
7	utf16_literal_to_utf8	upstream cJSON 1.7.9-1.7.12 static symbol	0x004D7B9A	0x004D7C90	246	faab6c3906999111a6d1fb86a50df4d7bebb078263a189274952677eb930a3dd	no	no	internal BL at 0x004D7DE8	surrogate-pair handling with 0xD800/0xDC00 windows and 0x000FFC00 mask; 1-4 byte UTF-8 emission; structurally identical to upstream utf16_literal_to_utf8
8	parse_string	upstream cJSON 1.7.9-1.7.12 static symbol	0x004D7C90	0x004D7E1E	398	21e2507836d87d7234c5d6453d6d842a1c8fbb6557011137c2298eadcc6082fb	no	no	internal BL at 0x004D8058	skipped-bytes allocation estimate via buffer.hooks.allocate; escape set b f n r t " \ / u; structurally identical to upstream parse_string
9	buffer_skip_whitespace	upstream cJSON 1.7.9-1.7.12 static symbol	0x004D7E1E	0x004D7E58	58	562a9238737fa0d1d51ff029e3cb1c327167591bb1deddfe92b6ae86d129aa96	no	no	internal BL at 0x004D7F18	<=0x20 whitespace walk with offset==length decrement and no exhausted-buffer early return; pre-1.7.13 upstream shape
10	skip_utf8_bom	upstream cJSON 1.7.9-1.7.12 static symbol	0x004D7E58	0x004D7E9A	66	f23622a6d5f79a65007056d01a2f8d387039e097b7263abe102ca8854988700a	no	no	internal BL at 0x004D7F14	offset-zero-guarded EF BB BF strncmp skip; upstream 1.6.0+ shape
11	cJSON_ParseWithOpts	upstream cJSON 1.7.9-1.7.12 public symbol	0x004D7E9A	0x004D7F7C	226	56a954aaa5c6faf7f5f086ab77c54ae2b92b65b525e3eb2b5fee8c27593bb16d	no	no	internal BL at 0x004D7F84	monolithic 1.7.12-era body: strlen+1 length, buffer.hooks=global_hooks copy, BOM/whitespace skip, parse_value, require_null_terminated check, global_error fail path
12	cJSON_Parse	upstream cJSON 1.7.9-1.7.12 public symbol	0x004D7F7E	0x004D7F8A	12	7d280bb9c9b5f2cd1ffa9ce9bb12ef4903305a02fe664874cb94e8a139540279	no	no	external BL at 0x0048E58A	cJSON_ParseWithOpts(value, 0, 0) tail wrapper
13	parse_value	upstream cJSON 1.7.9-1.7.12 static symbol	0x004D7F98	0x004D80CE	310	7092b62f11d085c9c24718b029b68f27a826a029078dce89b98736d0aaef0ec6	no	no	internal BL at 0x004D7F20	null/false/true strncmp dispatch in upstream order then string/number/array/object; type codes 4/1/2 with valueint=1 for true
14	parse_array	upstream cJSON 1.7.9-1.7.12 static symbol	0x004D80D8	0x004D81CC	244	f37fce547025ecb473cde9eaa11b4e8ddccc1ea7375248e31100fccb8a4aab1a	no	no	internal BL at 0x004D80A4	depth counter at buffer+0x0C with 1000 (CJSON_NESTING_LIMIT) gate; no head->prev tail store (pre-1.7.14 shape)
15	parse_object	upstream cJSON 1.7.9-1.7.12 static symbol	0x004D81CC	0x004D830C	320	b39545ca31a56eb96e911be98f56147b8ded9d6a39e64932f1c8ec039fdeb555	no	no	internal BL at 0x004D80C4	depth gate; parse_string key then valuestring->string swap; no head->prev tail store (pre-1.7.14 shape)
16	cJSON_GetArraySize	upstream cJSON 1.7.9-1.7.12 public symbol	0x004D830C	0x004D8328	28	681bef2b3f7e6038e96883bbfe8a20f69e01c8275b33504a44160f4e041db981	no	no	external BL at 0x004D5D36	child-list count walk
