# AmbiqSuite 2.5.1 proprietary source is not redistributed; line spans and hashes authenticate the inspected official archive.
stock_name	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	ambiq_source_start_line	ambiq_source_end_line	ambiq_source_span_bytes	ambiq_source_span_sha256	ghidra_state	classification
WsfCsEnter	0x0052B8A4	0x0052B8B6	18	e0ff3f4fa338e939616823c70ae7fc13df075b7de32178db2810cf9eb39edb87	95	111	230	d58a54b4f443842a5fe302d802b5ba4bd115b932c0879e17448e3d4099f71cf5	discovered	exact 2.5.1 implementation-family mapping; clean-room candidate present
WsfCsExit	0x0052B8B6	0x0052B8C8	18	8685a9a54cba4040bb297f58f5bc9e0d5beed1f46a7159363edc8f80648e824c	122	140	262	1b12da82858679c2754e36ea5fcbb133402916d492fe0bad5e1d76a6c69b91e5	discovered	exact 2.5.1 implementation-family mapping; assertions compiled out; clean-room candidate present
WsfTaskLock	0x0052B8C8	0x0052B8D0	8	4ae68a8cc15e75c482171f6fdd1e56d9bf7a9a787f56a9761e89af9833911f02	151	154	43	8d0458ab90e94a8a30eab2c7eeba6fc9501756b742c4898ef59e2b4b5da87fbf	discovered	exact 2.5.1 implementation-family mapping; clean-room candidate present
WsfTaskUnlock	0x0052B8D0	0x0052B8D8	8	19785a8c5eb6c2e10cd274c554a5d7d1b649a94433f558511c02cdb5405397a1	165	168	44	0c94c77d549ca1423daa8f77dc1580eaba64fedaacc7d3136ed49100423f3688	discovered	exact 2.5.1 implementation-family mapping; clean-room candidate present
WsfSetOsSpecificEvent	0x0052B8D8	0x0052B91E	70	a7a1285078ac515a4fea7ad18a50ab44ec84ba9f1c39e07df875dfa0f8681465	170	211	1125	93c71e2f86258997dbfdf9d4e5daeb0ddc0b5c574bfabb68d333a7d675dc2d45	discovered	exact 2.5.1 implementation-family mapping; ISR/task wake paths recreated
WsfSetEvent	0x0052B91E	0x0052B95E	64	62fda22da8f5aec6255e52e820a4570a593fa4637a710ce93ebfbdca428f7db8	225	241	443	282ebad2afac8ca4353136e644a943d5b224abc0c45ce984f6267bd9cfdda51d	missed	exact 2.5.1 implementation-family mapping; clean-room candidate present
WsfTaskSetReady	0x0052B95E	0x0052B97C	30	feaf10178e32248aebd53109fd9c1a95e1d757484102fc7a775203160e257ff7	255	269	267	54c2f64b2a7d815de20dd625fb1b86f1347173b67ed3cf60bba1dcf7ddc94c2f	discovered	exact 2.5.1 implementation-family mapping; clean-room candidate present
WsfTaskMsgQueue	0x0052B97C	0x0052B980	4	c38df642688ef2e1df139d8ba9e7854fe109c68c84bfe8e97010f955fa56291b	282	288	136	07b976d283481deaa427fdbf37a52b01507a307fd1b820ca380cf24a26f36874	discovered	exact 2.5.1 implementation-family mapping; clean-room candidate present
WsfOsSetNextHandler	0x0052B980	0x0052B99E	30	614f7f6c030d12ac7cb0ace224d26318a3089bc47a0d1fc24a17cf51cb7a396b	302	311	230	ae1f2422d333b100c6dc56d64c6776a84f1f9d2156c3121aab5eed90be6ad748	missed	exact implementation-family mapping; stock-effective handler count is 10 and exact definition site is unavailable; later official Ambiq source changes only the guarded default 9 to 10
wsfOsReadyToSleep	0x0052B99E	0x0052B9B2	20	633892695925666e4dc9d7d89588807653985ae2321217b58b5c215bb6ab6ebc	325	328	77	7c4f3aadd788c9638a9707447050030818f58e0a87301a76dccdf9d7a946afed	missed	exact 2.5.1 implementation-family mapping; clean-room candidate present
WsfOsInit	0x0052B9B2	0x0052B9D0	30	f9c905e97f08e91afc84d8c6df9ed24e71e26accbea503f8f423f98e8e8ff6bb	338	348	204	991014e8cde0b7f2af80c56dfbaba279139b912c1c484e30a2b4163f57a01c75	missed	exact 2.5.1 implementation-family mapping; 64-byte stock OS object; clean-room candidate present
wsfOsDispatcher	0x0052B9D0	0x0052BAB8	232	49ba08ce0c35eb58c098babd1ad0e4d68c303c67bf8e2543be552511732474d8	361	432	1688	e2ff0d05e5b80b87cb603816d98fa4a5fea7788290710de2822a91b55cecf519	missed	exact 2.5.1 source discriminator; second timer update and guarded event wait present; clean-room candidate present
