# shard_id	entry	start	end-exclusive
qf_resume_caller	0x30ec92	0x30ec92	0x30ed20
qf_on_resume	0x3110f4	0x3110f4	0x31114c
qf_on_resume_ext	0x31114c	0x31114c	0x311150
qf_on_resume_internal_hook	0x311150	0x311150	0x311154
qf_on_startup	0x311154	0x311154	0x31119e
qf_on_startup_ext	0x3111a0	0x3111a0	0x3111a4
qf_on_startup_internal_hook	0x3111a4	0x3111a4	0x3111a8
qf_resume	0x311218	0x311218	0x311230
qf_run	0x311230	0x311230	0x31125e
qk_on_idle	0x3115e4	0x3115e4	0x31161c
qk_on_idle_ext	0x31161c	0x31161c	0x311620
qk_on_idle_internal_hook	0x311620	0x311620	0x311634
q_on_assert	0x3117d8	0x3117d8	0x3117e8
q_on_assert_ext	0x3117e8	0x3117e8	0x3117f8
sleep_manager_go_to_sleep	0x3126e0	0x3126e0	0x3128e4
wsf_os_assert_path	0x3140d0	0x3140d0	0x314112
