# G2 Apollo unanchored-function provenance census; regenerated by tools/analyze_g2_apollo_unanchored_census.py
entry	body_start	body_end_exclusive	envelope_bytes	official_opaque_bytes	bucket	evidence	confidence	detail
0x00438504	0x00438504	0x00438604	256	256	investigation-required-no-evidence	none	none	no closed-world evidence
0x00438770	0x00438770	0x004387B0	64	64	investigation-required-no-evidence	none	none	no closed-world evidence
0x004387B0	0x004387B0	0x00438924	372	372	investigation-required-no-evidence	none	none	no closed-world evidence
0x00438924	0x00438924	0x00438BCC	680	680	investigation-required-no-evidence	none	none	no closed-world evidence
0x00438BF0	0x00438BF0	0x00438D8A	410	410	investigation-required-no-evidence	none	none	no closed-world evidence
0x00438D8A	0x00438D8A	0x00438EBA	304	304	investigation-required-no-evidence	none	none	no closed-world evidence
0x00438EBA	0x00438EBA	0x00438ED4	26	26	investigation-required-no-evidence	none	none	no closed-world evidence
0x00438ED4	0x00438ED4	0x00438EEE	26	26	investigation-required-no-evidence	none	none	no closed-world evidence
0x00438EF0	0x00438EF0	0x00438F98	168	168	investigation-required-no-evidence	none	none	no closed-world evidence
0x00438FB8	0x00438FB8	0x00439666	1710	1710	investigation-required-no-evidence	none	none	no closed-world evidence
0x004396B8	0x004396B8	0x004396C2	10	10	investigation-required-no-evidence	none	none	no closed-world evidence
0x004396C2	0x004396C2	0x00439710	78	78	investigation-required-no-evidence	none	none	no closed-world evidence
0x00439710	0x00439710	0x004397A6	150	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x004397A6	0x004397A6	0x004397A8	2	2	investigation-required-no-evidence	none	none	no closed-world evidence
0x004397A8	0x004397A8	0x004397C4	28	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x004397D0	0x004397D0	0x004397FA	42	42	investigation-required-no-evidence	none	none	no closed-world evidence
0x004397FA	0x004397FA	0x00439868	110	110	investigation-required-no-evidence	none	none	no closed-world evidence
0x00439868	0x00439868	0x00439BC6	862	862	investigation-required-no-evidence	none	none	no closed-world evidence
0x00439914	0x00439914	0x0043992C	24	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043992C	0x0043992C	0x0043996C	64	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x0043996C	0x0043996C	0x004399E4	120	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x004399E4	0x004399E4	0x00439B12	302	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x00439B12	0x00439B12	0x00439B52	64	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x00439B54	0x00439B54	0x00439B78	36	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x00439BE4	0x00439BE4	0x00439C8A	166	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x00439C04	0x00439C04	0x00439C42	62	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x00439CA4	0x00439CA4	0x00439CB2	14	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x00439CB2	0x00439CB2	0x00439CC4	18	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x00439CC4	0x00439CC4	0x00439CD0	12	0	investigation-required-no-evidence	none	none	no closed-world evidence
0x00439CE0	0x00439CE0	0x00439E7E	414	414	investigation-required-no-evidence	none	none	no closed-world evidence
0x00439E90	0x00439E90	0x00439E9C	12	12	investigation-required-no-evidence	none	none	no closed-world evidence
0x00439E9C	0x00439E9C	0x00439EFC	96	96	investigation-required-no-evidence	none	none	no closed-world evidence
