recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ingress	evidence
1	tracepoint_role_char	semantic helper label	0x005EDADC	0x005EDAF0	20	2ffa4fd929f6d8824d7524c0910a313fc885f8d18b3710e544b84b3b437db170	no	12 internal direct BL sites	maps right/master role to R and the other role to L
2	tracepoint_parse_file_sequence	semantic helper label	0x005EDAF0	0x005EDB68	120	ae8deb43983fe3d7a264fd39b22f97408f7625390760fc3de2dcbff178fd0a8d	no	4 internal direct BL sites	validates tp_ decimal .bin and returns its sequence number
3	tracepoint_get_file_size	semantic helper label	0x005EDB68	0x005EDBA2	58	941a455bdbc13c26ec0720c1ef686e7852c69da31cc01a18089a429e54cb2856	no	1 internal direct BL site	opens seeks tells and closes a tracepoint file
4	tracepoint_format_file_path	semantic helper label	0x005EDBA2	0x005EDBB0	14	2430942f5e015fc9e279c5d5541c3af3381b207efff4ab392cd82770e67e08cd	no	3 internal direct BL sites	formats /log/tp/tp_%u.bin into an 80-byte destination
5	tracepoint_insert_file_sorted	exact retained function string	0x005EDBB0	0x005EDC5A	170	12484ccc563e4bdf92a3b63a979d8df0da66d6b260f8e4458901448df4712f64	yes	1 internal direct BL site	inserts a sequence and size into the bounded sorted file inventory
6	tracepoint_scan_files	exact retained function string	0x005EDC5A	0x005EDDC2	360	c0a0186872d9e53fea55e47e170daef3c3f288fe0a9ef6bcec371afe687ba190	yes	1 internal direct BL site	enumerates /log/tp validates .bin names obtains sizes and populates the sorted list
7	tracepoint_format_display_name	semantic helper label	0x005EDDC8	0x005EDDF6	46	ea103447ce8861d73ed0bbe61ac6a218978a35ccb85e6a04b3deeb71c1ef903b	no	1 internal direct BL site	formats role-prefixed display name %c:%c%u
8	tracepoint_resolve_file_name	semantic helper label	0x005EDDF6	0x005EDE2A	52	beee7a3e35a7de747570af7dcadea300a90a13093fd574d13dfd6a9121c9b157	no	2 internal direct BL sites	accepts a local tracepoint display name and resolves its backing path
9	tracepoint_map_requested_file	semantic helper label	0x005EDE30	0x005EDED0	160	f833af442b5f2c44825118060e8c923636847829ea7e5ce26bfb7dfefbc68300	no	1 internal direct BL site	validates the requested role and filename then produces sequence and local path
10	tracepoint_encode_response	exact retained function string	0x005EDED0	0x005EDFD8	264	2916dc54d3118a5f368cb999d7f1adfc4565e15c1de7ad82c34977e1f52c4541	yes	2 internal direct BL sites	encodes the response union with nanopb into a 518-byte scratch buffer
11	tracepoint_send_to_phone	exact retained function string	0x005EDFD8	0x005EE066	142	f7ba80326f8e229feec39b2f0df94c4214f3810f873f237fcd6b5db71c864695	yes	2 internal direct BL sites	encodes and transmits a response over guarded protobuf BLE transport
12	tracepoint_send_to_master	exact retained function string	0x005EE066	0x005EE10A	164	a16760bd7fd841bf16d23af6c4d257896770a40d5ed8abbfc95a72e559dfaba3	yes	2 internal direct BL sites	encodes and sends a response to peer service transport
13	tracepoint_make_result_message	semantic helper label	0x005EE10A	0x005EE134	42	4843023504357234b124c077aa8d459d03cc2700303b46008209ca1ba7de44ef	no	2 internal direct BL sites	builds the small command result response union
14	tracepoint_reply_result	exact retained function string	0x005EE134	0x005EE1F8	196	10553c614ab68577f51163c4abeca4197d31e1aa1a41177376e4f5f1dd24edc1	yes	2 internal direct BL sites	routes delete results to master or phone according to role
15	tracepoint_handle_request_file_name	exact retained function string	0x005EE1F8	0x005EE488	656	c930a6fc1a7999c8f4844dc6e5364b4490ff7434df7d6c0b8b8763d2c4ad5ce6	yes	1 internal direct BL site	scans local files requests peer files and returns or stores the bounded list by role
16	tracepoint_handle_delete_file	exact retained function string	0x005EE488	0x005EE648	448	8a61849009d4f568d867af5fc214a24112db28d93fb2df19c476657575073609	yes	1 internal direct BL site	maps validates removes a requested file and replies with a result
17	tracepoint_delete_all_files	exact retained function string	0x005EE650	0x005EE78A	314	399337e7266275734679d864085e468d3662f62fc1c04bd69707980cda9fa75a	no	1 internal direct BL site	enumerates /log/tp removes valid tracepoint files and closes the active trace stream
18	tracepoint_handle_delete_all	exact retained function string	0x005EE7B4	0x005EE87E	202	d1e859c91a9320381430b850b4c04a12273f54d35a921235bdd7f04e3bb56973	no	1 internal direct BL site	invokes delete-all and returns success or failure to the requester
19	tracepoint_handle_ble_data	exact retained function string	0x005EE8BC	0x005EEB44	648	180e71fabc784783b7d5dc46fd0273e7821ee3153c278f133fd14f0ee09e77ec	no	1 internal direct BL site	decodes nanopb commands and dispatches heartbeat list delete and delete-all operations
20	tracepoint_handle_slave_file_list	exact retained function string	0x005EEB98	0x005EEEB2	794	b16ce843c61aca28253e2a8a0127ffd8ef2ec640c25a884c987b17bcc3263786	yes	1 internal direct BL site	decodes the slave list merges it with the stored master list and returns the bounded combined response
21	tracepoint_setting_common_data_handler	exact retained function string and stored callback	0x005EEEC4	0x005EEFAA	230	935dc122b72f518d97393160d4684b1ac34a69b7ccfc20e8262379438285c5b3	no	stored Thumb pointer at 0x006A46D4	dispatches local BLE peer-list and forward-result events
