source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r20_r44_lines	r20_r44_body_sha256
1	attsPendIndNtfHandle	linked	0x005338AC	0x0053390E	98	8c2b18ca9e905e66f5af163b215e1d376f851085e01046489194f03d86b305a5	68-106	05728b16f4146da5cbfe85245d86ea87a5f127348a873d2be4f7361f84f59e49
2	attsSetPendNtfHandle	linked	0x0053390E	0x00533934	38	d6d3e17516514b6369adb2bf87d2e3241e4d38583a4215f2fef95c38f630e141	118-132	b56145da5e651e90dd3b7ea99c7f3721337f9ca18a18c6a6ceec05508ff75d76
3	attsExecCallback	linked	0x00533934	0x0053394C	24	deb8cf478b9427a577bae4d10c773d3bb21b04532bf5d2496e3f7cb84ec430ec	145-148	82e14d791758262ba3444b9a43c339d952d14499d0d350c769bc198efa69cb7b
4	attsIndNtfCallback	linked	0x0053394C	0x005339AC	96	277bd0011ebd688dfbfb103b7dacd17fc947417b241391c1f10a572650dad8b3	161-183	497412160bfc49b6f952bf711ea8c5431534c0a85c863ff0bf31c1cdf3d82ca3
5	attsSetupMsg	linked	0x005339AC	0x00533A40	148	f82214ac2888411b5f23b01673f9a06fc7c1e85d4d6b7b28ff262c79762895b0	196-236	8b13df9b71a2ff769f31928e1c842fb667ad13c49622ddd5538ac87ac885b32d
6	attsIndConnCback	linked	0x00533A40	0x00533BC6	390	137a7fd756c4b2bb9635bff4992bce71447095953168123d22603b583f9fbdba	248-289	68c53e183af201573860ced211bc60efe7a778413eb0297a4bc96b039132d09c
7	attsIndMsgCback	linked	0x00533BCC	0x00533C4C	128	fedf7f9dbb82d4a55423d4c2ea0c8222e7ca2df38aa2969fdc9d3942130f5899	300-357	0a372c1cc50c026f9ae4f3ce1940d2b5c3de624181ac942d27d4939d30900e1d
8	attsIndCtrlCback	linked	0x00533C4C	0x00533C6C	32	da4227cd1029c20e31e1f72649795dee1ce7f304d4235e6aaefa779298b5ecb4	368-380	b0c2a21f1c1fecf7cfd0f269bfddb74217498da40ebbbdc48e58aa9fac357626
9	attsHandleValueIndNtf	linked	0x00533C6C	0x00533DD2	358	559111e534923a1074c0158b103e1fffea9a26a34377f04ae149fbe382f60cf1	397-507	658d0e2b41308b01a6cf890a5a2c41664e8a80bfe59906545d40ed5b04c7bc37
10	attsProcValueCnf	linked	0x00533DD8	0x00533E40	104	47cc9e8b338acea9bf2a1fcb044f97affcaa5b5954f8985417f3caac40502b65	520-550	1c425aba425313310f70d40a68aa901d25113c7f0e84fdeccf52c6818b051ffc
11	AttsIndInit	linked	0x00533E40	0x00533E90	80	a526a5a852710ed4a74dae43ef1e902775bf38f7eab1c0f7a8b1a440881dba9e	559-582	7267f81d5abe4c035254509ab695054a947055a70ce7f65e27d61022413f20ca
12	AttsHandleValueInd	linked	0x00533EBC	0x00533ED8	28	9c730837b4a55e9d76eafe6870229e847e5ac20d384181a41564c5dfcb7d09bc	596-599	a931db837a94e8ffef2a053258c2cdf2b7fc390882e8bb91304ffa4d29f1a375
13	AttsHandleValueNtf	linked	0x00533ED8	0x00533EF4	28	e4d397bf7f80221f55892fd15b2c68d1dc985c453a8002bca27407edbbfe7ca7	613-616	9c759304b4fbc60adad63fb0dbcb036295ab07206ce2c06d5981c652cf345f6f
14	AttsHandleValueIndZeroCpy	source_only			0		633-637	0629a205d930ca593465d215242e28a168c6c5442c4158bc2452f597b3c2eb07
15	AttsHandleValueNtfZeroCpy	source_only			0		654-658	1b59f7c1e674cf593db44c5c9c220d79f9ee7a72d9a8a697879c7eaa52de61e0
