recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ingress	evidence
1	_ringLinkStateName	descriptive name from enum-string behavior	0x0049F828	0x0049F870	72	2bc8b61c1ebc5dfd74cbe6341579879f63bcb7879ab732f1651e7275dfd0bf08	no	20 direct BL sites	maps RingLink states 0 through 6 to retained IDLE OPENING CONNECTED LOCAL_DISCONNECTING SWITCH_DISCONNECTING CANCELLING and UNPAIRING strings
2	_SetRingLinkState	exact retained function string	0x0049F870	0x0049F97C	268	ecbf50f60e5f4d79890ef09323f8640bfb90601aa17a006917e35b1606b258cd	yes	15 direct BL sites	logs stable and changing RingLink transitions and updates the state byte
3	ring_master_reconnect	prior-G2 exact topology and unchanged provider sequence	0x0049F97C	0x0049F994	24	6e165153801e2be078a5a15c54221518dfd6e773292fbca6bf12762ea4bbef8f	no	direct BL at 0x004A08C6	calls dmConnCopy then dmConnInit like the prior named body
4	ring_master_scan_start	prior-G2 exact topology and unchanged behavior	0x0049F994	0x0049F9B4	32	3ac837e26762489bee13c79b4edc1c264e4789119e1aa218f4e2018f9e02f21c	no	direct BL at 0x004A0820	on successful scan-start indication sets master scan state and RSSI sentinel
5	_bleMasterScanStop	exact retained function string and prior-G2 symbol	0x0049F9B4	0x0049FB0A	342	54128e23f5947ec6fd2cda772d8308a6a95a2047880d501b122be0136b3fc92a	yes	direct BL at 0x004A086E	stops scan and routes auto-connect retry policy
6	_masterScan	exact retained function string and prior-G2 symbol	0x0049FB14	0x0049FCD2	446	9932053dc904415e7974dffa1870324cb3241a060d22e8ab7b1e86213bd2a43b	yes	direct BL at 0x004A140A	dispatches master scan start stop and security-request state
7	_bleMasterScanReport	exact retained function string and prior-G2 symbol	0x0049FCD2	0x004A01FC	1322	45fa6100f16e196e1acea70b3bd05a66a54ebf0fbd0e657eb0095747035a7085	yes	direct BL at 0x004A0878	matches paired records resolves RPAs and selects the target by RSSI
8	_masterConnectCancel	exact retained function string and prior-G2 symbol	0x004A01FC	0x004A02AA	174	7056c8c33498ce1be90126a1b77426e37dc521bdc0c5f11931372aa0fc82c3b1	yes	2 direct BL sites and 3 stored Thumb pointers	allocates and posts EVEN_MASTER_CONNECT_CANCEL_EVT
9	_masterConnect	exact retained function string and prior-G2 symbol	0x004A02E8	0x004A04FA	530	4522fed4687db7a1e0ec921686ef0c8b6fb679bf85456ead6a464f1590cbf00d	yes	direct BL at 0x004A1158	persists the ring target and opens a master connection unless already opening
10	dmDiscCancel	prior-G2 exact symbol and unchanged 24-byte callback body	0x004A04FA	0x004A0512	24	b868bb1af189e5e8f2b97e50ce9304be34cde2a02c8087c9e3a814a0d8ba11f0	no	direct BL at 0x004A0772	cancels ATT discovery on a successful callback status
11	_bleMasterGetCB	exact retained function string and prior-G2 symbol	0x004A0530	0x004A05E2	178	62d2e731cfa1ff18cf7fc948b3d60e5312076de43a77be6c88311db131f75a7a	yes	direct BL at 0x004A09DC	updates master control-block connection state from a DM message
12	_masterProcMsg	exact retained function string and prior-G2 symbol	0x004A06D4	0x004A1518	3652	31a57a7208677141f0bdd4200bac84af6a20d69b5a9a0d3b63dc4a67547ef1c1	yes	direct BL at 0x004A19CC	dispatches DM ATT and application events including event IDs 0xAE through 0xB4
13	central_emit_ring_link_event_004a153c	descriptive address-qualified name	0x004A153C	0x004A1546	10	a93935680dabe294352e3699506ab4d0d74bd52a8c504e4b5d89a7647025e095	no	5 direct BL sites	one-call wrapper that emits a ring link notification reason
14	APP_MasterBeginRingConnectFailureNotifyAfterRetry	exact retained function string	0x004A1546	0x004A159E	88	cffc7bdd08430d9722f3689ca30736911e98e2d60b511b518434aba752ab0b15	yes	2 direct BL sites	arms delayed failure notification after the second failure
15	APP_MasterClearRingConnectFailureNotifyAfterRetry	exact retained function string	0x004A15C0	0x004A1636	118	61aaf7ba12b86303f23472630370d62c05b14b5facaa4364f66252847ffd064c	yes	13 direct BL sites	clears the failure-notification arm and failure count
16	_masterMaybeNotifyRingConnectFailure	exact retained function string	0x004A1660	0x004A17F4	404	83a9204af0d6921cedd56669117420fd9db6e93dc4b489b5d56bdd67618e8a65	yes	direct BL at 0x004A0D1C	gates app failure notification across retry and disconnect reasons
17	central_cancel_connect_retry_work_004a17f4	descriptive address-qualified name	0x004A17F4	0x004A1814	32	a8e923cea15b27aca4bccddeebd6a84a4cb529704418dead76043df90f104039	no	3 direct BL sites	clears a pending retry flag optionally emits reason 6 and removes delayed work
18	_masterConnectEventRetry	exact retained function string and prior-G2 symbol	0x004A1840	0x004A19BA	378	3e6c7e8dce12d38b774b54e8e3f8d2b1414a9cebc5dabae62d65bf1a28a493d2	yes	direct BL at 0x004A0ED8	computes escalating reconnect intervals and schedules retry work
19	ring_dm_event_dispatch	prior-G2 exact symbol and unchanged dispatch topology	0x004A19C0	0x004A19DC	28	4729a01936d58af097235c65c8de94a74302e6c0a361c285c40b1651393f56c4	no	direct BL at 0x004B7E6C	dispatches non-null messages to _masterProcMsg then APP_BleRingProcMsg
20	APP_MasterHanderInit	exact retained misspelled function string	0x004A19F4	0x004A1AEE	250	cc1a0fa5476f701d3ef60f16e620ea80b124c9fa80b205e5772d1fab5b22d215	yes	direct BL at 0x004B7EB8	initializes the handler and queues owner-side ring connection when a MAC is stored
21	APP_MasterConnectEvent	exact current diagnostics and prior-G2 symbol	0x004A1B60	0x004A1F30	976	75acf3d135ac51efe4c7af4db4070afe733726938f9dcac53b1de1ff29997782	no	2 direct BL sites and 7 stored Thumb pointers	posts connect and disconnect application events with owner target and retry policy
22	APP_MasterUnpairDevEvent	exact retained function string and prior-G2 symbol	0x004A1F38	0x004A1FAA	114	7c321d32cb3647717227d0debb5ef964ad456c6fc580d6a3743863776435a350	yes	direct BL at 0x004D9104	posts an address-based EVEN_MASTER_UNPAIR_DEV_EVT
23	APP_MasterUnpairConnIdEvent	exact retained function string	0x004A1FC4	0x004A204A	134	3789167c2981214148daf60fa7acbde480ced3b7b2858643125848563f770ef5	yes	direct BL at 0x004D9098	posts unpair for a connection ID
24	APP_MasterSetTargetAddrName	exact retained function string and prior-G2 symbol	0x004A2068	0x004A2164	252	0ed9fa26ff75b103153765831ab91719ba950827d8a69c37f85171b453f74f75	yes	9 direct BL sites	copies the six-byte target address and bounded target name
25	auth_mode_set	prior-G2 exact symbol and byte-identical 34-byte behavior	0x004A2168	0x004A218A	34	66ed84ac40334206869113f99659b4bc908c636f06a19fff3f7de6920f6fb5c2	no	10 direct BL sites	sets values below 0x5A and returns whether auth mode is nonzero
26	target_addr_name_copy_004a2190	descriptive address-qualified name	0x004A2190	0x004A21BC	44	aed3627923d702852d898337458651b4eaf9741a073b8cbbf6e4de44ea122699	no	2 direct BL sites	copies the six-byte target address and seven-byte target name to caller buffers
27	APP_MasterScanEvent	exact retained function string	0x004A21CC	0x004A224A	126	6270acf0c66e0de0279875b5c4793fa89f21a82e0ece9df5bfb65db86db8b60d	no	2 direct BL sites	allocates and posts EVEN_MASTER_SCAN_EVT 0xB2 with the requested state
28	APP_MasterSetPhyEvent	exact retained function string and prior-G2 symbol	0x004A2254	0x004A22C6	114	03d6b1bb1a3c2a4699f3cc2e17d8b5e17d8d85f933fa721cf30df95c2ccb58ea	yes	direct BL at 0x00472580	allocates and posts EVEN_MASTER_SET_PHY_EVT 0xB4
29	master_conn_id_is_set_004a22c6	descriptive address-qualified name	0x004A22C6	0x004A22DE	24	7c1457617bfdc7d472761ffcfd191bb44532bd9762e5bb3c411a3aa881038564	no	2 direct BL sites	returns a normalized boolean for the active master connection ID
30	auth_state_clear_wrapper	prior-G2 exact symbol and unchanged raw-byte getter	0x004A22E8	0x004A22F2	10	e66741955dc0d3a2f9849544f6c75f8f924204617dc19c7c7708a57b6c712177	no	direct BL at 0x004D902A	returns the active master connection ID byte
31	APP_MasterResetRetryConnectCnt	exact retained function string and prior-G2 symbol	0x004A2300	0x004A235E	94	b86c23d2f57193e02aafc39eece3d96cbd82213551b1d9b95eb384f944a5c0dd	yes	9 direct BL sites	logs and clears the retry counter
32	APP_MasterSysStartTryConnectRing	exact retained function string	0x004A23AC	0x004A2618	620	1f1b0aa1805e08a29ea07b84ae90f66facf73054afcbb1c27052f38a4961f1ad	yes	4 stored Thumb pointers	starts owner-side connection from stored ring MAC and name
33	central_schedule_master_connect_004a2618	descriptive address-qualified name	0x004A2618	0x004A2644	44	daf0fc076f36cf9b0cba0e927101c648178abe701af85a5fb716f50337683db2	no	5 direct BL sites	cancels stale retry work marks state 2 and schedules connect event 1 or 0x81
34	APP_MasterResetSceneConnectPending	exact retained function string	0x004A2658	0x004A26B2	90	6bff31b212d5a4a48a47f5e8a74a5b12d08ca233d3c06e92f35127dcee18c436	yes	3 direct BL sites	clears stale scene-connect pending state and delayed work
35	ring_address_is_unset_004a26e8	descriptive address-qualified name	0x004A26E8	0x004A271E	54	4505824d3686f6fb23a2e99c574688e82dffca30c7068c4b405f02b6df1ed81f	no	2 direct BL sites	returns true for null or all-0xFF six-byte addresses
36	APP_MasterPublishRingLinkReady	exact retained function string	0x004A271E	0x004A284C	302	c69499caac488c04209f165571f8656326919fb72b9b0edd5e4d4e75b69f95d3	yes	2 direct BL sites	publishes a ready master Ring link to UX and app after touch enablement
37	central_publish_ring_link_ready_work_004a285c	descriptive address-qualified name	0x004A285C	0x004A2864	8	e2740a4cdb3d0c1c0d8afb778ae8d32d16c998e138de5926cae3fea3af9b68f6	no	3 stored Thumb pointers	one-call delayed-work wrapper for APP_MasterPublishRingLinkReady
38	central_master_link_matches_target_004a2864	descriptive address-qualified name	0x004A2864	0x004A28CC	104	b536c2282f0b26d836b2e5bcad88cb621972f3554da79257f7716ab77cbb53d8	no	3 direct BL sites	checks RingLink connected state active connection and optional six-byte peer match
39	central_is_ring_owner_side_004a2914	descriptive address-qualified name	0x004A2914	0x004A2948	52	e8cb823224a96727e9f07233c5ff415ec3db494664a076d6660e730bf704c920	no	20 direct BL sites	accepts the two observed dominant-hand and device-role owner combinations
40	APP_MasterOnDominantHandChangedEx	exact retained function string	0x004A2948	0x004A2C6A	802	9c652bea54ddd9d2a528f0de17c967a9ebb878a0a009b235fe28dfc8cb0f8040	yes	2 direct BL sites	switches owner policy and queues or tears down Ring connection state
41	APP_MasterCleanupRingUnpair	exact retained function string	0x004A2C9C	0x004A2E88	492	785282304fcdf776ac403bbf64a553b2d521f69c57e2aedbf85e5c837c1f8bbf	yes	3 direct BL sites	clears Ring KV connection retry state and cancels or silently disconnects the active link
42	APP_MasterCancelRingConnectRetry	exact retained function string	0x004A2EA4	0x004A2FB2	270	d57902db0a16bbef59824114121ba0b2508cfaa592e5384cae18b3b29043090e	no	2 direct BL sites	cancels delayed retries resets counters and optionally disconnects the active Ring
43	APP_MasterRingMacIsSet	exact retained function string	0x004A2FDC	0x004A311C	320	20b0355a91397577f1308fbaae167ebe76262cf7ad3ea9af85791b9217fea3bb	yes	4 direct BL sites	loads and validates the persisted six-byte ring MAC
44	APP_MasterTryReconnectRingByScene	exact retained function string	0x004A316C	0x004A34B0	836	0714d97b04e88a17a0d3bbe824d531c9e85558b6473eb80b2848fec00d8783d3	no	direct BL at 0x004AC1B8	gates scene-triggered owner reconnect and queues a 500 or 1000 ms attempt
