# SPDX-License-Identifier: MIT
entry	name	status	instruction_bytes	instruction_sha256	source_or_provider	license	action	evidence
0x0268	touch_config_read_adapter	project_source_candidate	60	3d7f1abeee801aecccc624ce1b67bb81f30fd5cee704ef9d4c0efd34cf666080	components/shared/touch/runtime_touch_policy_helpers.c	MIT	256-byte logical bound and provider-status translation	bounds logical address+length to 256, gates initialized state, calls Em_EEPROM read and translates status
0x02F4	sensor_read_mux	external_eula_clean_room_required	38	86fc9c778fddca63851f08f780c7998d6de9451c428bde861696cb61bc637355	runtime_touch_sensing.c provider wrapper	MIT OR GPL-3.0-only wrapper; LicenseRef-Infineon-EULA provider excluded	implement/choose a CapSense sensor provider without copying EULA source	I2C protocol sensor_read_mux span
0x0378	i2c_slave_init	project_fail_closed_contract	98	14859a32e5cb14c433222df6ddf0e50eccc68a424161e9088db386d03f6da026	runtime_touch_i2c_protocol.c transport boundary	MIT OR GPL-3.0-only wrapper	supply SCB/resident-HAL initialization provider	I2C protocol initialization span
0x0400	i2c_irq_handler	project_source_candidate	134	bbd9d49b223280d85fe623ab19336d1c5c06d49249b3f9e23944cd325ba99ec0	runtime_touch_i2c_protocol.c	MIT OR GPL-3.0-only	retain source candidate; supply IRQ/HAL integration externally	I2C protocol IRQ span
0x071C	saved_proximity_baseline_read	project_source_candidate	20	db4ba4dcad45d6ea43ca7973565cb8b0a5057bf4bc095e5c6b3d0802241700eb	components/shared/touch/runtime_touch_policy_helpers.c	MIT	magic/config-valid gate then u16 baseline read	reads config u16 +4 only after UNVE/config-ready sentinel
0x0738	touch_config_load_from_eeprom	project_source_candidate	50	b4833d3c2103aa531869af5e60fb07c9472535d1689c7c8019a1df5773af8553	components/shared/touch/runtime_touch_policy_helpers.c	MIT	UNVE defaults, eight-byte read, magic validation; defaults retained on failure	installs UNVE defaults, reads eight bytes through touch_config_read_adapter, logs resulting fields
0x07FC	attention_release_timeout_rearm	project_fail_closed_contract	26	e9689a44d2e4adb88b6e5b4638a1f0474a3f1110cfdf4816a95f7a1bed3a1157	components/shared/touch/runtime_touch_policy_helpers.c	MIT	transaction is external; no GPIO or timing implementation in MIT candidate	writes GPIO_PRT4 state offsets +0x44/+0x40 around a 200 ms delay and dead logger call
0x0824	report_builder	project_source_candidate	316	2dfdebfc817b8de4a5cab6d0e046511c89edd817a8f5d51cc42575f352074128	runtime_touch_i2c_protocol.c	MIT OR GPL-3.0-only	retain source candidate and validate before production routing	I2C protocol report span
0x0BE0	logger_stub	unsupported_intentional_noop	8	d5af164eb1253e2dc1faf4d9271ca5119221d2f156233a278dcbf632803173de	compiled-out logger	not applicable	omit or retain an explicit no-op logger	I2C protocol compiled-out logger span
0x0BE8	timeout_default_1000_if_zero	project_source_candidate	18	e4383b80287ce886045ea4ff0d2bd15ef44c2a9aaf8048c3d6aa2c7c35e4f966	components/shared/touch/runtime_touch_policy_helpers.c	MIT	zero becomes 1000; nonzero remains unchanged	if non-null u16 state is zero, stores 1000; otherwise leaves it unchanged
0x0BFC	gesture_policy_helper_0bfc	project_fail_closed_contract	324	9859f7a02f401ffe336bb8b77ccdd227af185462091ddffa126e6ebbcef07288	components/shared/touch/runtime_touch_policy_helpers.c	MIT	exact private gesture sub-policy unavailable; no fallback semantics invented	called only by touch_gesture_state_machine; arithmetic/division plus resident dead-log pointers; exact policy name unavailable
0x0D70	touch_gesture_state_machine	project_fail_closed_contract	874	7ad5a22271f77982723b158a901ba6f50d9c8c7c8ea6e142509be0b626fb6863	components/shared/touch/runtime_touch_policy_helpers.c	MIT	shared typed gesture provider; exact stock state-machine ABI unavailable	report-builder callee using sensor state, gesture timing helpers, copy/fill, and resident gesture log pointers
